candidate_id,title_abstract_decision,decision_rationale,screening_reviewer,screening_date
POOL-1279,uncertain,The available metadata are insufficient for a reliable eligibility decision.,Codex-assisted preliminary screen,2026-08-06
POOL-1280,exclude_title_abstract,Available title/abstract indicates adjacent software-engineering work without a direct review signal.,Codex-assisted preliminary screen,2026-08-06
POOL-1281,uncertain,The available metadata are insufficient for a reliable eligibility decision.,Codex-assisted preliminary screen,2026-08-06
POOL-1282,exclude_title_abstract,Available title/abstract indicates adjacent software-engineering work without a direct review signal.,Codex-assisted preliminary screen,2026-08-06
POOL-1283,exclude_title_abstract,Available title/abstract indicates adjacent software-engineering work without a direct review signal.,Codex-assisted preliminary screen,2026-08-06
POOL-1284,uncertain,The available metadata are insufficient for a reliable eligibility decision.,Codex-assisted preliminary screen,2026-08-06
POOL-1285,uncertain,The available metadata are insufficient for a reliable eligibility decision.,Codex-assisted preliminary screen,2026-08-06
POOL-1286,uncertain,The available metadata are insufficient for a reliable eligibility decision.,Codex-assisted preliminary screen,2026-08-06
POOL-1287,uncertain,The available metadata are insufficient for a reliable eligibility decision.,Codex-assisted preliminary screen,2026-08-06
POOL-1288,uncertain,The available metadata are insufficient for a reliable eligibility decision.,Codex-assisted preliminary screen,2026-08-06
POOL-1289,uncertain,The available metadata are insufficient for a reliable eligibility decision.,Codex-assisted preliminary screen,2026-08-06
POOL-1290,uncertain,The available metadata are insufficient for a reliable eligibility decision.,Codex-assisted preliminary screen,2026-08-06
