candidate_id,title_abstract_decision,exclusion_reason,decision_basis,screening_reviewer
ARXIV-0031,include_full_text,,Direct security code-review-agent benchmark with adversarial PR narratives.,Codex
ARXIV-0032,exclude_title_abstract,insufficient method/evaluation,Position paper without an evaluated method or empirical evidence.,Codex
ARXIV-0034,exclude_title_abstract,no review-feedback connection,Code-maintenance and review-prioritization study without review feedback.,Codex
ARXIV-0035,include_full_text,,Participatory study of workflows for reviewing LLM-generated code changes.,Codex
ARXIV-0036,include_full_text,,Direct LLM code-review study of context coverage and pruning trade-offs.,Codex
ARXIV-0037,exclude_title_abstract,no review-feedback connection,Formal-verification pipeline rather than code-review feedback.,Codex
ARXIV-0038,include_full_text,,Industrial deployment of risk-calibrated automated code review with safety and latency outcomes.,Codex
ARXIV-0039,include_full_text,,Supporting study of LLM-assisted code-change labeling for review prioritization.,Codex
ARXIV-0040,include_full_text,,Empirical evaluation of AI reviewer behavior on pull requests.,Codex
ARXIV-0041,include_full_text,,Supporting human-review evidence concerning review of LLM-generated student code.,Codex
ARXIV-0042,exclude_title_abstract,no review-feedback connection,Literary-review generation rather than software code review.,Codex
ARXIV-0043,exclude_title_abstract,insufficient method/evaluation,Vision paper without an evaluated method or empirical evidence.,Codex
ARXIV-0044,exclude_title_abstract,no review-feedback connection,General agent architecture; code review is only an example workload.,Codex
ARXIV-0045,exclude_title_abstract,no review-feedback connection,Issue-resolution benchmark with no evaluated code-review-feedback artifact.,Codex
ARXIV-0046,include_full_text,,Automated programming-feedback study; retain as bounded supporting evidence pending full text.,Codex
ARXIV-0047,exclude_title_abstract,no review-feedback connection,Security study of workflow hijacking rather than code-review feedback.,Codex
ARXIV-0048,include_full_text,,Supporting developer-study evidence on code-quality evaluation through code-review processes.,Codex
ARXIV-0049,exclude_title_abstract,no review-feedback connection,Coding-agent safety benchmark without a code-review-feedback evaluation.,Codex
ARXIV-0051,include_full_text,,Supporting multivocal review of AI productivity reliability and code-review bottlenecks.,Codex
ARXIV-0052,include_full_text,,Supporting study of evaluation validity for LLM-based software-engineering tools.,Codex
ARXIV-0053,include_full_text,,Direct industrial study of automated evaluation for code-review bots.,Codex
ARXIV-0054,include_full_text,,Empirical study of usefulness characteristics in human code-review comments.,Codex
ARXIV-0057,exclude_title_abstract,no review-feedback connection,Academic peer-review opinions rather than software code review.,Codex
ARXIV-0058,include_full_text,,Supporting evidence on cost observability for AI-enabled developer workflows including code review.,Codex
ARXIV-0059,exclude_title_abstract,insufficient method/evaluation,Developer-dashboard system description without an evaluated review-feedback artifact.,Codex
ARXIV-0060,exclude_title_abstract,no review-feedback connection,Code-summarization review rather than code-review feedback.,Codex
ARXIV-0061,include_full_text,,Supporting code-review-comment filtering and rewriting intervention for developer communication.,Codex
ARXIV-0062,exclude_title_abstract,no review-feedback connection,Integration-test diagnosis rather than code-review feedback.,Codex
ARXIV-0063,exclude_title_abstract,no review-feedback connection,Code-generation safety evaluation rather than code-review feedback.,Codex
ARXIV-0064,exclude_title_abstract,no review-feedback connection,Academic peer-review benchmark rather than software code review.,Codex
ARXIV-0065,exclude_title_abstract,no review-feedback connection,Smell and vulnerability detection-repair framework without code-review feedback evaluation.,Codex
ARXIV-0066,include_full_text,,Supporting empirical evidence on code-change rationale and review context.,Codex
ARXIV-0067,exclude_title_abstract,no review-feedback connection,General multi-agent coordination protocol; code review is only an example context.,Codex
ARXIV-0068,include_full_text,,Direct comparative evaluation of LLM-based automated code review including cost.,Codex
ARXIV-0069,include_full_text,,Supporting benchmark evidence on design constraints mined from code-review discussions.,Codex
ARXIV-0070,exclude_title_abstract,no review-feedback connection,General coding-agent training study; code review is one atomic task only.,Codex
ARXIV-0071,exclude_title_abstract,no review-feedback connection,Software-lifecycle orchestration case study without code-review-feedback evaluation.,Codex
ARXIV-0072,include_full_text,,Supporting empirical study of coding-agent pull requests reviews and code-change outcomes.,Codex
ARXIV-0074,include_full_text,,Potentially relevant specification-grounding proposal with reported experiments; assess method quality in full text.,Codex
ARXIV-0075,include_full_text,,Direct study of bias in LLM code-review decisions.,Codex
ARXIV-0076,exclude_title_abstract,no review-feedback connection,Web-application trustworthiness assessment rather than code-review feedback.,Codex
ARXIV-0077,exclude_title_abstract,no review-feedback connection,Interactive SQL authoring rather than code-review feedback.,Codex
ARXIV-0078,duplicate_or_version_of_existing,duplicate/companion,Near-exact title match with the existing contextual-bias security-review record; verify version relationship.,Codex
ARXIV-0079,include_full_text,,Repository-level automated code-review system; full text required to assess reported evidence.,Codex
ARXIV-0080,exclude_title_abstract,no review-feedback connection,General multi-agent safety experiment with no code-review-feedback artifact.,Codex
ARXIV-0084,exclude_title_abstract,no review-feedback connection,Agent privacy architecture; code review is only an example workload.,Codex
ARXIV-0085,exclude_title_abstract,no review-feedback connection,Change-aware testing rather than code-review feedback.,Codex
ARXIV-0086,exclude_title_abstract,no review-feedback connection,General agentic-development explainability framework without an evaluated review-feedback artifact.,Codex
ARXIV-0087,include_full_text,,Supporting evidence on explicit reasoning and verification for code judgments.,Codex
ARXIV-0088,include_full_text,,Supporting static-analysis evidence on false positives and false negatives relevant to review workflows.,Codex
ARXIV-0090,include_full_text,,Supporting benchmark of context effects across software-engineering tasks; verify code-review evidence in full text.,Codex
ARXIV-0093,include_full_text,,Direct comparison of manual and automated code-review quality-improvement comments.,Codex
ARXIV-0094,exclude_title_abstract,no review-feedback connection,Code-generation selection with no code-review-feedback evaluation.,Codex
ARXIV-0095,include_full_text,,Supporting use of code-review discussions as evidence for testing and review value.,Codex
ARXIV-0096,include_full_text,,Supporting neuro-symbolic security-review evidence; verify review-feedback connection in full text.,Codex
ARXIV-0097,exclude_title_abstract,insufficient method/evaluation,Vision paper without an evaluated method or empirical evidence.,Codex
ARXIV-0098,include_full_text,,Supporting PR-intent and patch-validation evidence relevant to grounded review.,Codex
ARXIV-0099,exclude_title_abstract,no review-feedback connection,Code-generation strategy evaluation rather than code-review feedback.,Codex
ARXIV-0100,include_full_text,,Supporting evaluation-method evidence for software-engineering agents; verify review-task detail in full text.,Codex
ARXIV-0101,include_full_text,,Supporting benchmark evidence using LLM-assisted code review for repository-level evaluation.,Codex
ARXIV-0102,include_full_text,,Direct automated-code-review benchmark with repository-level context and verified annotations.,Codex
ARXIV-0103,include_full_text,,Direct empirical study of review comments on agent-authored pull requests.,Codex
ARXIV-0104,include_full_text,,Direct agentic secure-code-review study.,Codex
ARXIV-0106,include_full_text,,Supporting industrial study of LLM-assisted false-positive reduction in code-review workflow.,Codex
ARXIV-0107,include_full_text,,Supporting industrial evidence on LLM fixes and human code-review acceptance.,Codex
ARXIV-0108,include_full_text,,Supporting evidence on operational cost in multi-agent software-engineering workflows; verify review-stage results.,Codex
ARXIV-0109,exclude_title_abstract,no review-feedback connection,General agile quality-control survey without LLM code-review-feedback focus.,Codex
ARXIV-0110,exclude_title_abstract,no review-feedback connection,LLM-program safety and execution study without code-review-feedback evaluation.,Codex
ARXIV-0111,exclude_title_abstract,no review-feedback connection,Scientific-claim evaluation rather than software code review.,Codex
ARXIV-0112,include_full_text,,Direct benchmark and model for LLM-driven pull-request review.,Codex
ARXIV-0114,exclude_title_abstract,no review-feedback connection,Industrial AI-coding reflection without an evaluated code-review-feedback artifact.,Codex
ARXIV-0116,exclude_title_abstract,no review-feedback connection,Education scoping review; code review is only one application domain.,Codex
ARXIV-0117,exclude_title_abstract,no review-feedback connection,Resume-screening security study rather than software code review.,Codex
ARXIV-0120,include_full_text,,Empirical comparison of peer and LLM interactions in code review.,Codex
ARXIV-0122,include_full_text,,Direct LLM enhancement of code-review links and context.,Codex
ARXIV-0123,duplicate_or_version_of_existing,duplicate/companion,Near-exact title match with the existing enriched-context code-review benchmark.,Codex
ARXIV-0124,include_full_text,,Direct retrieval trade-off study for code-review generation.,Codex
ARXIV-0125,exclude_title_abstract,no review-feedback connection,Software-engineering inclusion study without code-review-feedback focus.,Codex
ARXIV-0126,include_full_text,,Direct framework for automated review-comment generation.,Codex
ARXIV-0127,exclude_title_abstract,no review-feedback connection,Method-comment generation rather than code-review feedback.,Codex
ARXIV-0128,include_full_text,,Direct secure-code-review fine-tuning study.,Codex
ARXIV-0130,exclude_title_abstract,no review-feedback connection,CUDA optimization rather than code-review feedback.,Codex
ARXIV-0131,include_full_text,,Supporting study combining code review with fuzzing and invariants.,Codex
ARXIV-0133,include_full_text,,Direct grounded AI code-review serving and operational-cost study.,Codex
ARXIV-0134,exclude_title_abstract,no review-feedback connection,General multi-provider coordination and bug-investigation case study.,Codex
ARXIV-0135,include_full_text,,Empirical evidence about which code-review comments developers resolve.,Codex
ARXIV-0136,include_full_text,,LLM-assisted mining and analysis of code-review evidence.,Codex
ARXIV-0137,exclude_title_abstract,no review-feedback connection,Program-repair-agent refinement rather than review feedback.,Codex
ARXIV-0138,include_full_text,,Potential automated-building-code-review case study; full text needed to establish artifact boundary.,Codex
ARXIV-0139,include_full_text,,Supporting evidence on verified code reasoning and grounding.,Codex
ARXIV-0140,include_full_text,,Direct multi-dimensional LLM analysis of code review.,Codex
ARXIV-0141,include_full_text,,Direct end-to-end code-review evaluation benchmark.,Codex
ARXIV-0142,exclude_title_abstract,no review-feedback connection,Vibe-coding qualitative study without code-review-feedback evaluation.,Codex
ARXIV-0143,exclude_title_abstract,no review-feedback connection,Requirements generation and traceability rather than code review.,Codex
ARXIV-0144,exclude_title_abstract,no review-feedback connection,Developer-ChatGPT refactoring conversations rather than review feedback.,Codex
ARXIV-0145,include_full_text,,Potential supporting evidence on semantic-similarity measurement limits; establish review connection in full text.,Codex
ARXIV-0146,include_full_text,,Supporting comparison of synthetic and real data for review recommendation.,Codex
ARXIV-0147,include_full_text,,Direct real-world code-review-comment benchmark; verify relationship to existing corpus version.,Codex
ARXIV-0148,include_full_text,,Direct case study of code-change outcomes from AI code review.,Codex
ARXIV-0150,include_full_text,,Supporting empirical study of ChatGPT usage in pull requests.,Codex
ARXIV-0151,exclude_title_abstract,no review-feedback connection,Academic peer-review benchmark rather than software code review.,Codex
ARXIV-0152,include_full_text,,Supporting study of LLM failure in code-specification verification.,Codex
ARXIV-0153,include_full_text,,Supporting design-principle feedback study in student code; full-text boundary check required.,Codex
ARXIV-0154,include_full_text,,Direct study of LLM impact on code-review process.,Codex
ARXIV-0156,exclude_title_abstract,no review-feedback connection,Education-focused refactoring study rather than review feedback.,Codex
ARXIV-0157,include_full_text,,Supporting evidence on hallucinations in code-change natural-language generation.,Codex
ARXIV-0158,exclude_title_abstract,insufficient method/evaluation,Future-oriented code-review paper without a stated evaluated method.,Codex
ARXIV-0159,include_full_text,,Supporting study of LLM code-quality evaluation.,Codex
ARXIV-0160,include_full_text,,Supporting empirical merge-request outcome evidence.,Codex
ARXIV-0161,exclude_title_abstract,no review-feedback connection,Coding-assistant clarification study rather than code-review feedback.,Codex
ARXIV-0162,exclude_title_abstract,no review-feedback connection,General multi-agent software-development framework.,Codex
ARXIV-0163,include_full_text,,Direct industrial study of multilingual LLM code review.,Codex
ARXIV-0164,include_full_text,,Direct industrial experience report on LLM code review.,Codex
ARXIV-0165,include_full_text,,Direct LLM code-review study with symbolic reasoning.,Codex
ARXIV-0166,exclude_title_abstract,no review-feedback connection,Commit-untangling rather than review feedback.,Codex
ARXIV-0167,exclude_title_abstract,no review-feedback connection,General collaborative-software-engineering vocabulary work.,Codex
ARXIV-0168,include_full_text,,Supporting cognitive model of code-review decisions.,Codex
ARXIV-0169,include_full_text,,Supporting evaluator-validity study of code-readability quality judgments.,Codex
ARXIV-0171,include_full_text,,Direct reinforcement-learning and verifiable-feedback study for code review.,Codex
ARXIV-0172,exclude_title_abstract,no review-feedback connection,Issue classification rather than code-review feedback.,Codex
ARXIV-0173,include_full_text,,Direct evaluation of LLMs for code review.,Codex
ARXIV-0174,exclude_title_abstract,no review-feedback connection,Autonomous-vehicle code co-generation rather than review feedback.,Codex
ARXIV-0175,exclude_title_abstract,no review-feedback connection,Science-and-society research rather than software code review.,Codex
ARXIV-0176,include_full_text,,Direct defect-focused automated code-review study.,Codex
ARXIV-0177,include_full_text,,Empirical study of code-review workflows with LLM assistance.,Codex
ARXIV-0178,exclude_title_abstract,insufficient method/evaluation,General quality blueprint without an evaluated review-feedback artifact.,Codex
ARXIV-0180,exclude_title_abstract,no review-feedback connection,Academic peer-review and rebuttal dataset.,Codex
ARXIV-0181,include_full_text,,Supporting multi-task LLM benchmark; verify review-task evidence in full text.,Codex
ARXIV-0182,include_full_text,,Direct secure-code-review dataset and evaluation study.,Codex
ARXIV-0183,exclude_title_abstract,no review-feedback connection,Automated data-race repair rather than review feedback.,Codex
ARXIV-0184,include_full_text,,Supporting study of code-review comprehension strategies.,Codex
ARXIV-0185,include_full_text,,Direct AI-augmented secure-code-review system for pull requests.,Codex
ARXIV-0187,exclude_title_abstract,no review-feedback connection,Code optimization rather than review feedback.,Codex
ARXIV-0188,exclude_title_abstract,no review-feedback connection,Academic paper-review study.,Codex
ARXIV-0189,include_full_text,,Supporting review of psycholinguistic evidence in software-engineering text including review communication.,Codex
ARXIV-0190,include_full_text,,Direct study of LLM determinism in software code review.,Codex
ARXIV-0191,include_full_text,,Supporting study of accountability and LLM impact in code review.,Codex
ARXIV-0197,exclude_title_abstract,no review-feedback connection,Automated grading feedback rather than code-review feedback.,Codex
ARXIV-0199,include_full_text,,Direct LLM study of desired code-review comments.,Codex
ARXIV-0202,include_full_text,,Direct federated-LLM automated code-review study.,Codex
ARXIV-0203,exclude_title_abstract,no review-feedback connection,General software-engineering challenges overview.,Codex
ARXIV-0204,include_full_text,,Supporting evidence on toxicity in open-source review communication.,Codex
ARXIV-0206,exclude_title_abstract,no review-feedback connection,Code-summarization evaluation rather than review feedback.,Codex
ARXIV-0207,include_full_text,,Supporting evaluation-method benchmark for coding assistance; verify code-review task in full text.,Codex
ARXIV-0208,include_full_text,,Supporting synthesis of deep-learning-based code reviews.,Codex
ARXIV-0209,exclude_title_abstract,no review-feedback connection,Software-analytics data-generation study without review-feedback focus.,Codex
ARXIV-0212,exclude_title_abstract,no review-feedback connection,Code debugging rather than code-review feedback.,Codex
ARXIV-0213,include_full_text,,Supporting evidence on understandability improvements in code reviews.,Codex
ARXIV-0214,include_full_text,,Supporting public-code-review request-quality study.,Codex
ARXIV-0215,exclude_title_abstract,no review-feedback connection,Code generation and exception safety rather than review feedback.,Codex
ARXIV-0216,include_full_text,,Supporting empirical study of refactoring branches in modern code review.,Codex
ARXIV-0217,include_full_text,,Direct grounding evaluation for automated code-review comments.,Codex
ARXIV-0218,exclude_title_abstract,no review-feedback connection,Code-reasoning benchmark without review-feedback evaluation.,Codex
ARXIV-0219,include_full_text,,Supporting integration of analysis tools in code-review workflow.,Codex
ARXIV-0220,exclude_title_abstract,no review-feedback connection,Literate-programming study rather than review feedback.,Codex
ARXIV-0221,exclude_title_abstract,no review-feedback connection,Source-code-quality evaluation rather than review feedback.,Codex
ARXIV-0222,exclude_title_abstract,no review-feedback connection,General software-development-task evaluation without code-review-feedback focus.,Codex
ARXIV-0223,exclude_title_abstract,no review-feedback connection,Quantitative review summarization without identified software-code-review artifact.,Codex
ARXIV-0224,include_full_text,,Supporting study of LLM capabilities for code-change-related tasks.,Codex
ARXIV-0226,include_full_text,,Supporting GPT-based code-review feedback in programming education.,Codex
ARXIV-0227,exclude_title_abstract,no review-feedback connection,Conversational software repair for tutoring rather than review feedback.,Codex
ARXIV-0228,exclude_title_abstract,no review-feedback connection,General code-model training study.,Codex
ARXIV-0229,exclude_title_abstract,insufficient method/evaluation,Roadmap paper without an evaluated method or empirical evidence.,Codex
ARXIV-0230,include_full_text,,Supporting AI-assisted assessment of coding practices in modern code review.,Codex
ARXIV-0231,include_full_text,,Direct early empirical results for AI-powered code review.,Codex
ARXIV-0232,include_full_text,,Supporting empirical study of code-review activity prediction and impact.,Codex
ARXIV-0233,include_full_text,,Supporting LLM patch generation from code-review comments.,Codex
ARXIV-0234,exclude_title_abstract,no review-feedback connection,General software-process code generation.,Codex
ARXIV-0235,exclude_title_abstract,no review-feedback connection,Vulnerability detection rather than review feedback.,Codex
ARXIV-0236,exclude_title_abstract,no review-feedback connection,Malicious-package detection rather than review feedback.,Codex
ARXIV-0237,exclude_title_abstract,no review-feedback connection,Vulnerability assessment without review-feedback artifact.,Codex
ARXIV-0238,exclude_title_abstract,insufficient method/evaluation,Vision paper on contextualized code reviews.,Codex
ARXIV-0239,exclude_title_abstract,no review-feedback connection,Developer-ChatGPT refactoring conversations rather than review feedback.,Codex
ARXIV-0240,exclude_title_abstract,no review-feedback connection,General assured software-engineering framing.,Codex
ARXIV-0241,include_full_text,,Direct automated-code-review improvement study.,Codex
ARXIV-0242,include_full_text,,Direct autonomous-agent code-review system.,Codex
ARXIV-0243,exclude_title_abstract,no review-feedback connection,Commit-message generation rather than review feedback.,Codex
ARXIV-0244,include_full_text,,Direct fine-tuning and prompting study for code-review automation.,Codex
ARXIV-0246,include_full_text,,Supporting survey of LLM security code-review capabilities and obstacles.,Codex
ARXIV-0248,include_full_text,,Supporting repair from code-review defects; full text needed to check feedback connection.,Codex
ARXIV-0249,exclude_title_abstract,no review-feedback connection,Defect prediction rather than review feedback.,Codex
ARXIV-0250,include_full_text,,Supporting reviewer-recommendation study for pull requests.,Codex
ARXIV-0251,duplicate_or_version_of_existing,duplicate/companion,Near-exact title match with the existing explanation-in-code-reviews study.,Codex
ARXIV-0253,exclude_title_abstract,no review-feedback connection,Vulnerability detection classification and repair rather than review feedback.,Codex
ARXIV-0254,exclude_title_abstract,no review-feedback connection,Sentiment-analysis quality assurance rather than software code review.,Codex
ARXIV-0255,exclude_title_abstract,no review-feedback connection,Program-comprehension study rather than review feedback.,Codex
ARXIV-0257,exclude_title_abstract,no review-feedback connection,Smart-contract vulnerability prioritization rather than review feedback.,Codex
ARXIV-0258,exclude_title_abstract,no review-feedback connection,AI-assisted code-generation team case study.,Codex
ARXIV-0259,include_full_text,,Supporting study of emoji reactions in pull-request review.,Codex
ARXIV-0260,include_full_text,,Supporting automated classification of code-review feedback.,Codex
ARXIV-0261,include_full_text,,Supporting security-defect detection evidence from code-review communities.,Codex
ARXIV-0262,exclude_title_abstract,no review-feedback connection,Mutant-ranking study rather than review feedback.,Codex
ARXIV-0263,exclude_title_abstract,no review-feedback connection,Architecture-erosion symptom identification rather than review feedback.,Codex
ARXIV-0264,exclude_title_abstract,no review-feedback connection,General ChatGPT utility study rather than code-review feedback.,Codex
ARXIV-0265,include_full_text,,Supporting empirical evidence on code-review speed and quality.,Codex
ARXIV-0266,include_full_text,,Supporting reviewer-recommendation evidence for pull requests.,Codex
ARXIV-0267,exclude_title_abstract,no review-feedback connection,Automated program repair rather than review feedback.,Codex
ARXIV-0268,exclude_title_abstract,no review-feedback connection,Bug-introducing-change analysis rather than review feedback.,Codex
ARXIV-0269,include_full_text,,Supporting empirical evidence on code understandability.,Codex
ARXIV-0270,include_full_text,,Supporting empirical study of useful code-review feedback.,Codex
ARXIV-0271,include_full_text,,Supporting study of cross-patch collaboration in code review.,Codex
ARXIV-0272,include_full_text,,Supporting study of gender bias in code-review participation and outcomes.,Codex
ARXIV-0273,exclude_title_abstract,no review-feedback connection,DevOps gamification rather than review feedback.,Codex
ARXIV-0274,exclude_title_abstract,no review-feedback connection,Code pretraining and editing rather than review feedback.,Codex
ARXIV-0275,exclude_title_abstract,no review-feedback connection,Definition-of-done survey without code-review-feedback focus.,Codex
ARXIV-0276,include_full_text,,Supporting study of example-driven code-review explanations.,Codex
ARXIV-0277,include_full_text,,Supporting empirical study of technical debt in code reviews.,Codex
ARXIV-0278,include_full_text,,Supporting study of code-smell detection in modern code review.,Codex
ARXIV-0279,include_full_text,,Supporting empirical study of code-change size and review speed.,Codex
ARXIV-0280,exclude_title_abstract,no review-feedback connection,Bus-factor study rather than review feedback.,Codex
ARXIV-0281,include_full_text,,Supporting empirical study of interpersonal conflicts during code review.,Codex
ARXIV-0282,include_full_text,,Supporting empirical study of information diffusion in code review.,Codex
ARXIV-0283,include_full_text,,Supporting recommendations for code understandability from reviews.,Codex
ARXIV-0284,include_full_text,,Supporting empirical study of code-review completion time.,Codex
ARXIV-0285,exclude_title_abstract,no review-feedback connection,Virtual-reality and development-metrics study.,Codex
ARXIV-0286,include_full_text,,Supporting empirical study of incivility in code-review discussions.,Codex
ARXIV-0287,include_full_text,,Supporting patch-linkage detection in code review.,Codex
ARXIV-0288,exclude_title_abstract,no review-feedback connection,Defect-prediction study rather than review feedback.,Codex
ARXIV-0289,include_full_text,,Supporting evidence on code-smell detection in code review.,Codex
ARXIV-0290,include_full_text,,Supporting pull-request comment analysis of bot activity.,Codex
ARXIV-0291,exclude_title_abstract,no review-feedback connection,Student-team work-division study.,Codex
ARXIV-0292,exclude_title_abstract,no review-feedback connection,Mutation-testing study rather than review feedback.,Codex
ARXIV-0293,include_full_text,,Supporting industrial case study of refactoring in modern code review.,Codex
