candidate_id,title,arxiv_id,source,full_text_path,acquisition_status,full_text_decision,inclusion_group,exact_criterion,evidence_location,decision_rationale,duplicate_or_companion,screening_reviewer,screening_date
ARXIV-0002,TrustChain-Review: A Risk-Adaptive Blockchain and Game-Theoretic Framework for Trustworthy AI-Assisted Code Review,2607.27310v1,arXiv,papers/candidates/pdfs/ARXIV-0002_2607.27310.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: human-AI review workflow and operational-cost evidence.,Abstract; Sections 1 and 3.,"Evaluates a risk-adaptive governance simulation for AI-assisted code review, including trust/detection outcomes and governance cost. It does not evaluate generated review comments directly, so it is supporting evidence only.",,Codex,2026-08-02
ARXIV-0003,Rethinking Training Data for Generating Code Review Comments,2607.25851v1,arXiv,papers/candidates/pdfs/ARXIV-0003_2607.25851.pdf,downloaded_valid_pdf,include,core,Core inclusion: generated review comments and dataset/context validity.,Abstract; Sections 1 and 2.,"Empirically analyses diff-comment training pairs for automated review-comment generation and derives a taxonomy covering semantic ambiguity, lack of actionability, and context dependence.",,Codex,2026-08-02
ARXIV-0004,ALIBI: Adaptive Agentic Attacks on LLM-Based Vulnerability Detectors via Adversarial Code Comments,2607.24964v1,arXiv,papers/candidates/pdfs/ARXIV-0004_2607.24964.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: closely related security/static-analysis setting with a review-feedback connection.,Abstract; Sections 1 and 2.,Demonstrates that adversarial natural-language source comments can mislead LLM vulnerability reviewers and evaluates defenses. Its artifact is a security detector rather than generated review comments.,,Codex,2026-08-02
ARXIV-0005,Evaluating the Impact of Explainable AI on Trust in AI-Assisted Code Review,2607.24601v1,arXiv,papers/candidates/pdfs/ARXIV-0005_2607.24601.pdf,downloaded_valid_pdf,include,core,Core inclusion: AI-assisted code review and reviewer trust/usefulness evaluation.,Abstract; Sections 1 and 3.,"Within-subject user study directly evaluates explanation level, trust, agreement with AI review recommendations, and review time for AI-assisted code review.",,Codex,2026-08-02
ARXIV-0007,Cross-Model LLM Code Review: Should you use Claude to review Codex or vice versa?,2607.21656v1,arXiv,papers/candidates/pdfs/ARXIV-0007_2607.21656.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: human-AI review workflow and operational-cost evidence.,Abstract; Sections 1 and 2.,"Controlled writer-reviewer experiment reports correctness, reviewer fixes and regressions, cost, and latency. The reviewer rewrites code rather than producing a review-comment artifact, so it is supporting workflow evidence.",,Codex,2026-08-02
ARXIV-0009,"Agentic Code Review in the Terminal: A Trajectory-Level Analysis of Behavior, Cost, and Human-Alignment",2607.16740v1,arXiv,papers/candidates/pdfs/ARXIV-0009_2607.16740.pdf,downloaded_valid_pdf,include,core,Core inclusion: LLM-based code review and trade-off-aware evaluation.,Abstract; Sections 1 and 2.,"Empirically evaluates terminal-based agentic reviewers using a human-verified review dataset, review precision, repository-grounded trajectories, human alignment, and operational cost.",,Codex,2026-08-02
ARXIV-0023,"Same Scrutiny, More Time: Eye Tracking Insights into Reviewing LLM-Labelled Code",2606.26505v1,arXiv,papers/candidates/pdfs/ARXIV-0023_2606.26505.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: human-AI review workflow and reviewer burden/usefulness.,Abstract; Section 1.,"Wizard-of-Oz eye-tracking study evaluates how an LLM-generated label affects developers' review attention, time, and strategies; it does not assess generated review feedback.",,Codex,2026-08-02
ARXIV-0028,Assessing Language Models for Salient Class Identification,2606.21629v1,arXiv,papers/candidates/pdfs/ARXIV-0028_2606.21629.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: context and reviewability support in code review.,Abstract; Section 1.,"Evaluates language models for identifying salient classes in multi-class commits, a review-navigation and context-selection aid rather than a review-comment generator.",,Codex,2026-08-02
ARXIV-0031,SEVRA-BENCH: Social Engineering of Vulnerabilities in Review Agents,2606.13757v2,arXiv,papers/candidates/pdfs/ARXIV-0031_2606.13757.pdf,downloaded_valid_pdf,include,core,Core inclusion: LLM-based code-review benchmark and adversarial evaluation.,Abstract; Section 1.,Introduces an adversarial pull-request benchmark that directly measures LLM review-agent approvals under narrative manipulation across security vulnerabilities.,,Codex,2026-08-02
ARXIV-0035,Trust-Calibrated Code Review: A Participatory Design Study of Review Workflows for LLM-Generated Multi-File Changes,2606.01969v1,arXiv,papers/candidates/pdfs/ARXIV-0035_2606.01969.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: human-AI review workflow and trust calibration.,Abstract; Section 1.,Participatory design and survey study develops and evaluates workflow constructs for humans reviewing LLM-generated multi-file changes; it is not an evaluation of generated review comments.,,Codex,2026-08-02
ARXIV-0036,Improving LLM-Based Go Code Review through Issue-List Generation and Context Augmentation,2606.01859v1,arXiv,papers/candidates/pdfs/ARXIV-0036_2606.01859.pdf,downloaded_valid_pdf,include,core,Core inclusion: directly evaluates generated code-review comments and context/mitigation strategies.,Abstract; Sections 1–5; Tables 3–8.,Evaluates issue-list versus primary-issue generation, neighboring/LSP/similar co-change context, candidate integration, and refinement-guided pruning on 1,438 Go review instances. Reports refinement exact match, coverage-oriented issue discovery, candidate count, and comparison with human comments.,,Codex,2026-08-04
ARXIV-0038,"Automating Low-Risk Code Review at Meta: RADAR, Risk Calibration, and Review Efficiency",2605.30208v2,arXiv,papers/candidates/pdfs/ARXIV-0038_2605.30208.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: automated code-review workflow, risk gating, human escalation, safety, and operational-cost evidence.,Abstract; Sections 1–4; Tables 1–5.,Evaluates production-scale risk-stratified automated review and landing over 535K+ diffs. It does not make generated review comments the primary artifact, but provides relevant evidence on eligibility gates, escalation boundaries, review latency, reverts, incidents, and automation yield.,,Codex,2026-08-04
ARXIV-0039,Beyond Summaries: Structure-Aware Labeling of Code Changes with Large Language Models,2605.26100v1,arXiv,papers/candidates/pdfs/ARXIV-0039_2605.26100.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: LLM-assisted code-review context interpretation and evaluation methodology.,Abstract; Sections 1–5; Tables 1–6.,Studies taxonomy-based labeling of code changes across context configurations using a manually curated benchmark of natural and synthetic patches. It evaluates precision, recall, and relational metadata, but labels changes rather than generating review comments.,,Codex,2026-08-04
ARXIV-0040,Philosophical Dispositions as Behavioral Constraints for AI-Assisted Code Review: An Empirical Study,2605.23108v1,arXiv,papers/candidates/pdfs/ARXIV-0040_2605.23108.pdf,downloaded_valid_pdf,include,core,Core inclusion: directly evaluates an AI-assisted code-review intervention and generated findings.,Abstract; Sections I–V; Tables 1–4.,Evaluates disposition-constrained review behavior on 50 pull requests across 7 repositories and compares it with generic expert prompting. Reports convergence with human review, unique findings, author-judged false positives, cross-model agreement, and a stated limitation that inter-rater agreement was not assessed.,,Codex,2026-08-04
ARXIV-0041,Combating Harms of Generative AI in CS1 with Code Review Interviews and a Flipped Classroom,2605.21374v1,arXiv,papers/candidates/pdfs/ARXIV-0041_2605.21374.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: human code-review workflow and escalation/validity evidence in an AI-assisted development context.,Abstract; Sections 1–5.,Studies mandatory human code-review interviews for students using generative AI, with exam, keystroke-log, and survey outcomes. It does not evaluate AI-generated review comments, but informs the role of human explanation and human review as an accountability mechanism.,,Codex,2026-08-04
ARXIV-0046,Fine-Tuning Models for Automated Code Review Feedback,2605.12610v1,arXiv,papers/candidates/pdfs/ARXIV-0046_2605.12610.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: automated feedback generation and evaluation/annotation methodology transferable to review-comment assessment.,Abstract; Sections 1–5.,Evaluates PEFT and prompting for feedback on buggy Java code using student ratings, manual annotation, and automated metrics. The feedback is pedagogical rather than software code-review comments, so evidence is supporting and bounded.,,Codex,2026-08-04
ARXIV-0048,Evaluating LLM-Generated Code: A Benchmark and Developer Study,2605.09059v2,arXiv,papers/candidates/pdfs/ARXIV-0048_2605.09059.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: developer review methodology and multidimensional evaluation of LLM-produced code.,Abstract; Sections 1–4.,Combines correctness benchmarking with structured developer review of generated code and reports quality findings unavailable from unit-test pass rates. It evaluates generated code rather than generated review comments, so transfer is methodological.,,Codex,2026-08-04
ARXIV-0051,The Productivity-Reliability Paradox: Specification-Driven Governance for AI-Augmented Software Development,2605.01160v1,arXiv,papers/candidates/pdfs/ARXIV-0051_2605.01160.pdf,downloaded_valid_pdf,exclude,,,Abstract; Sections 1–2.,The paper is a broad governance position/synthesis about AI-augmented software development. It does not provide a sufficiently identifiable empirical evaluation of generated review comments or a review-specific method within this protocol.,,Codex,2026-08-04
ARXIV-0052,"Evaluation of LLM-Based Software Engineering Tools: Practices, Challenges, and Future Directions",2604.24621v1,arXiv,papers/candidates/pdfs/ARXIV-0052_2604.24621.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: methodological evidence on evaluating open-ended LLM-based software-engineering tools and evaluator validity.,Abstract; Sections 1–6.,Synthesizes challenges including unstable ground truth, multidimensional quality, nondeterminism, automated evaluation limits, and fragmented practices. It is not a primary code-review experiment, so it supports evaluation-framework interpretation only.,,Codex,2026-08-04
ARXIV-0053,Understanding the Limits of Automated Evaluation for Code Review Bots in Practice,2604.24525v1,arXiv,papers/candidates/pdfs/ARXIV-0053_2604.24525.pdf,downloaded_valid_pdf,include,core,Core inclusion: directly evaluates automated evaluation of generated code-review comments and evaluator validity.,Abstract; Sections 1–5.,Compares G-Eval and LLM-as-a-Judge against engineer labels for 2,604 industrial bot comments, finding moderate and design-sensitive agreement. It directly informs evaluator validity, context dependence, and the limits of workflow labels as ground truth.,,Codex,2026-08-04
ARXIV-0054,Characterizing the Usefulness of Code Review Comments in Scientific Software for Software Quality and Scientific Rigor,2604.23832v1,arXiv,papers/candidates/pdfs/ARXIV-0054_2604.23832.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: direct empirical evidence on code-review comment usefulness and failure characteristics.,Abstract; Sections 1–5; Tables 2–7.,Mines and analyzes code-review comments in scientific open-source software, reporting usefulness-related features and 6–33% non-useful comments. It does not study LLM-generated comments, so it supports the taxonomy and usefulness constructs rather than direct LLM claims.,,Codex,2026-08-04
ARXIV-0058,AI Observability for Developer Productivity Tools: Bridging Cost Awareness and Code Quality,2604.17092v1,arXiv,papers/candidates/pdfs/ARXIV-0058_2604.17092.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: operational cost instrumentation for AI-assisted code review.,Abstract; Sections 1–5.,Presents token-level cost tracking, response validation, and observability for AI developer tools, including AI code reviews, with a six-month workflow evaluation. It supports cost and operational-metric design but is not primarily a comment-quality study.,,Codex,2026-08-04
ARXIV-0061,ToxiShield: Promoting Inclusive Developer Communication through Real-Time Toxicity Filtering,2604.14408v1,arXiv,papers/candidates/pdfs/ARXIV-0061_2604.14408.pdf,downloaded_valid_pdf,include,core,Core inclusion: directly evaluates filtering, classification, and rewriting of code-review comments.,Abstract; Sections 1–6; Tables 1–8.,Evaluates toxicity detection, explanation, and LLM-based reframing of review comments using code-review datasets and human acceptance evidence. It directly informs problematic-comment taxonomy and before-display mitigation, with content-preservation and style-transfer trade-offs.,,Codex,2026-08-04
ARXIV-0066,Recovering Fine-Grained Code Change Rationale from Multiple Software Artifacts,2604.10345v2,arXiv,papers/candidates/pdfs/ARXIV-0066_2604.10345.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: context and rationale recovery relevant to grounded code-review evaluation.,Abstract; Sections 1–6; Tables 2–6.,Analyzes rationale fragmentation across issues, pull requests, commits, and reviews, then evaluates an LLM synthesis approach on 63 commits and with 12 programmers. It informs context quality and grounding, not generated review-comment quality directly.,,Codex,2026-08-04
ARXIV-0068,Bigger Isn’t Always Better: A Comparative Evaluation of LLMs for Automated Code Review,2606.15689v1,arXiv,papers/candidates/pdfs/ARXIV-0068_2606.15689.pdf,downloaded_valid_pdf,include,core,Core inclusion: direct comparative evaluation of automated LLM code-review comments and evaluation validity.,Abstract; Sections 1–6; Tables 1–9.,Compares five models on synthetic and real pull requests using deterministic matching and LLM adjudication. It reports model quality, synthetic-to-real degradation, diff-size effects, language differences, performance-bug blind spots, and review cost.,,Codex,2026-08-04
ARXIV-0069,Does Pass Rate Tell the Whole Story? Evaluating Design Constraint Compliance in LLM-based Issue Resolution,2604.05955v1,arXiv,papers/candidates/pdfs/ARXIV-0069_2604.05955.pdf,downloaded_valid_pdf,exclude,,,Abstract; Sections 1–2.,Evaluates LLM-generated issue resolutions and design-constraint compliance rather than code-review comments or a review workflow. The connection to review feedback is indirect and does not satisfy the protocol’s evidence boundary.,,Codex,2026-08-04
ARXIV-0072,Investigating Autonomous Agent Contributions in the Wild: Activity Patterns and Code Change over Time,2604.00917v1,arXiv,papers/candidates/pdfs/ARXIV-0072_2604.00917.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: empirical evidence on autonomous-agent code contributions and review/workflow context.,Abstract; Sections 1–5.,Constructs a large dataset of agent-authored pull requests and associated reviews/comments and studies longitudinal activity and maintenance outcomes. It is workflow evidence rather than a direct evaluation of generated review comments.,,Codex,2026-08-04
ARXIV-0074,The Specification as Quality Gate: Three Hypotheses on AI-Assisted Code Review,2603.25773v1,arXiv,papers/candidates/pdfs/ARXIV-0074_2603.25773.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: review architecture and correlated-error hypotheses with bounded preliminary experiments.,Abstract; Sections 1–5.,Argues for executable specifications and deterministic checks before AI review, and reports small planted-bug experiments. The evidence is directional and methodologically limited, but relevant to context/verification intervention points.,,Codex,2026-08-04
ARXIV-0075,Gendered Prompting and LLM Code Review: How Gender Cues in the Prompt Shape Code Quality and Evaluation,2603.24359v1,arXiv,papers/candidates/pdfs/ARXIV-0075_2603.24359.pdf,downloaded_valid_pdf,include,core,Core inclusion: directly evaluates bias and evaluator behavior in LLM-assisted code review.,Abstract; Sections 1–5; Tables 1–7.,Mixed-methods study examines prompt styles, generated-code quality, and simulated reviewer decisions, reporting differential approval behavior for gender-coded authorship despite comparable quality. It informs fairness, evaluator validity, and context-sensitive review quality.,,Codex,2026-08-04
ARXIV-0079,RepoReviewer: A Local-First Multi-Agent Architecture for Repository-Level Code Review,2603.16107v1,arXiv,papers/candidates/pdfs/ARXIV-0079_2603.16107.pdf,downloaded_valid_pdf,include,core,Core inclusion: directly presents an LLM-based repository-level code-review workflow and practical failure modes.,Abstract; Sections 1–6.,Describes multi-agent repository acquisition, context synthesis, file-level analysis, prioritization, deduplication, and structured review reporting. It is systems-oriented and does not claim benchmark superiority, so empirical efficacy remains limited.,,Codex,2026-08-04
ARXIV-0087,Agentic Code Reasoning,2603.01896v2,arXiv,papers/candidates/pdfs/ARXIV-0087_2603.01896.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: structured reasoning and evidence-grounding methodology transferable to code-review evaluation.,Abstract; Sections 1–6; Tables 1–5.,Evaluates semi-formal agent reasoning on patch equivalence, fault localization, and code question answering. It informs grounding, evidence tracing, and verification of semantic claims, but is not a review-comment study.,,Codex,2026-08-04
ARXIV-0088,"Taking a Closer Look at Warnings Generated by PMD and SonarQube, their Rules and Compliance to Established Coding Standards",2603.00821v1,arXiv,papers/candidates/pdfs/ARXIV-0088_2603.00821.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: bounded evidence on false positives, standards alignment, and warning usefulness in automated review tooling.,Abstract; Sections 1–6; Tables 2–8.,Analyzes PMD and SonarQube warnings against coding standards and identifies false-positive-prone rules. It does not involve LLMs or generated comments, so transfer is limited to problematic-warning taxonomy and precision/recall interpretation.,,Codex,2026-08-04
ARXIV-0090,CL4SE: Benchmarking Context Learning on Software Engineering,2602.23047v3,arXiv,papers/candidates/pdfs/ARXIV-0090_2602.23047.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: context taxonomy and benchmark methodology for LLM-based software-engineering tasks.,Abstract; Sections 1–6; Tables 1–7.,Introduces a taxonomy of SE context types and a benchmark spanning tasks including code review. It informs context-quality and context-intervention analysis, but is broader than review-comment generation.,,Codex,2026-08-04
ARXIV-0093,Studying Quality Improvements Recommended via Manual and Automated Code Review,2602.11925v1,arXiv,papers/candidates/pdfs/ARXIV-0093_2602.11925.pdf,downloaded_valid_pdf,include,core,Core inclusion: directly compares human and ChatGPT-generated code-review recommendations.,Abstract; Sections 1–5; Tables 2–6.,Mines 739 human comments from 240 PRs and compares their recommended quality improvements with ChatGPT reviews on the same PRs. It reports higher comment volume, low overlap with human issues, and meaningful additional findings, informing complementarity and workload trade-offs.,,Codex,2026-08-04
ARXIV-0095,Following Dragons: Code Review-Guided Fuzzing,2602.10487v1,arXiv,papers/candidates/pdfs/ARXIV-0095_2602.10487.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: security workflow that operationalizes review signals for downstream validation.,Abstract; Sections 1–6.,Uses developer review discussions and LLM extraction to guide fuzzing, finding previously unknown bugs. The artifact is vulnerability discovery rather than generated review comments, so it supports downstream usefulness and verification claims only.,,Codex,2026-08-04
ARXIV-0096,QRS: A Rule-Synthesizing Neuro-Symbolic Triad for Autonomous Vulnerability Discovery,2602.09774v1,arXiv,papers/candidates/pdfs/ARXIV-0096_2602.09774.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: security-analysis pipeline using LLM reasoning, validation, and false-positive reduction.,Abstract; Sections 1–6; Tables 1–5.,Evaluates autonomous query synthesis and semantic validation on Python packages and CVEs, with detection, false-positive, time, and token-cost outcomes. It is adjacent security analysis rather than review-comment generation, so claims remain bounded.,,Codex,2026-08-04
ARXIV-0098,PatchGuru: Patch Oracle Inference from Natural Language Artifacts,2602.05270v2,arXiv,papers/candidates/pdfs/ARXIV-0098_2602.05270.pdf,downloaded_valid_pdf,include,core,Core inclusion: directly evaluates an LLM-based PR analysis and self-review pipeline for actionable warnings.,Abstract; Sections 1–7; Tables 1–8.,Infers executable patch oracles from PR natural-language artifacts, validates them dynamically, and reports warnings on 400 PRs with precision, confirmed bugs, complementarity to Codex, and per-PR time/cost. It informs grounding, verification, false-positive control, and operational trade-offs.,,Codex,2026-08-04
ARXIV-0100,OmniCode: A Benchmark for Evaluating Software Engineering Agents,2602.02262v3,arXiv,papers/candidates/pdfs/ARXIV-0100_2602.02262.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: benchmark design includes code-review fixing and manually validated software-engineering tasks.,Abstract; Sections 1–6; Tables 1–6.,Introduces a 1,794-task benchmark spanning bug fixing, test generation, code-review fixing, and style fixing. It informs benchmark validity and task design, but is broader than generated review-comment evaluation.,,Codex,2026-08-04
ARXIV-0101,ProjDevBench: Benchmarking AI Coding Agents on End-to-End Project Development,2602.01655v2,arXiv,papers/candidates/pdfs/ARXIV-0101_2602.01655.pdf,downloaded_valid_pdf,include,supporting,Supporting inclusion: repository-level evaluation methodology using LLM-assisted code review.,Abstract; Sections 1–6; Tables 1–5.,Benchmarks end-to-end project development with tests and LLM-assisted code review across 20 problems and six agents. It supports context and multidimensional evaluation, but code-review comments are not the primary artifact.,,Codex,2026-08-04
ARXIV-0102,AACR-Bench: Evaluating Automatic Code Review with Holistic Repository-Level Context,2601.19494v3,arXiv,papers/candidates/pdfs/ARXIV-0102_2601.19494.pdf,downloaded_valid_pdf,include,core,Core inclusion: direct benchmark and annotation framework for automated code-review comments with repository context.,Abstract; Sections 1–7; Tables 1–9.,Introduces an AI-assisted, human-verified benchmark with cross-file context and latent-defect annotation, reporting issue-coverage gains and context/retrieval effects across models and languages. It directly supports taxonomy, annotation validity, and context-quality evaluation.,,Codex,2026-08-04
ARXIV-0103,Understanding Dominant Themes in Reviewing Agentic AI-authored Code,2601.19287v1,arXiv,papers/candidates/pdfs/ARXIV-0103_2601.19287.pdf,downloaded_valid_pdf,include,core,Core inclusion: directly analyzes review comments on agent-authored pull requests and evaluates comment-theme annotation.,Abstract; Sections 1–6; Tables 1–8.,Analyzes 19,450 human review comments across 3,177 agent-authored PRs, derives 12 themes, and evaluates LLM-assisted annotation against human labels. It directly informs failure taxonomy, annotation validity, and human-review oversight.,,Codex,2026-08-04
