candidate_id,reserve_status,synthesis_claim,mapped_high_level_themes
ARXIV-0088,substantive,"supporting evidence for tool-grounded review, warning validity, and actionability.",evaluation_or_evaluator_validity;context_or_grounding_quality;human_review_or_workflow_value
ARXIV-0090,substantive,supporting evidence for context quantity versus context quality and benchmark validity.,evaluation_or_evaluator_validity;context_or_grounding_quality
ARXIV-0095,substantive,"supporting evidence for behavioral validation, security asymmetry, and tool-grounded review.",context_or_grounding_quality
ARXIV-0096,substantive,supporting evidence for specialized validation and asymmetric security costs.,evaluation_or_evaluator_validity;trade_off_or_mitigation_design
ARXIV-0100,substantive,"supporting evidence for benchmark validity, trajectory cost, and workflow-level evaluation.",evaluation_or_evaluator_validity;human_review_or_workflow_value;trade_off_or_mitigation_design
ARXIV-0101,substantive,"supporting evidence for repository context, execution validation, and workflow-level cost reporting.",context_or_grounding_quality;human_review_or_workflow_value;trade_off_or_mitigation_design
ARXIV-0106,substantive,supporting evidence for precision–coverage trade-offs and tool-grounded filtering.,context_or_grounding_quality;trade_off_or_mitigation_design
ARXIV-0107,substantive,"supporting evidence for repair validation, execution evidence, and actionability.",human_review_or_workflow_value
ARXIV-0108,substantive,supporting evidence for computational-cost reporting and context-budget trade-offs.,context_or_grounding_quality;trade_off_or_mitigation_design
ARXIV-0120,substantive,"supporting evidence for socio-technical value, knowledge transfer, and reviewer burden.",human_review_or_workflow_value
ARXIV-0131,substantive,supporting evidence for execution-backed grounding and security/quality validation.,context_or_grounding_quality
ARXIV-0136,substantive,"supporting evidence for corpus construction, provenance, and review-artifact validity.",evaluation_or_evaluator_validity;context_or_grounding_quality;annotation_or_dataset_validity
ARXIV-0139,substantive,supporting evidence for evaluator validity and verification-backed comment decisions.,evaluation_or_evaluator_validity;trade_off_or_mitigation_design
ARXIV-0145,substantive,supporting evidence against lexical/similarity-only evaluation of review comments.,evaluation_or_evaluator_validity
ARXIV-0146,substantive,"supporting evidence for dataset validity, realism, and transferability.",evaluation_or_evaluator_validity;annotation_or_dataset_validity
ARXIV-0150,substantive,"supporting evidence for provenance, context acquisition, and human-centered workflow interpretation.",context_or_grounding_quality;human_review_or_workflow_value
ARXIV-0153,substantive,"supporting evidence for context enrichment, actionability, and student-review validity.",evaluation_or_evaluator_validity;context_or_grounding_quality;human_review_or_workflow_value
ARXIV-0154,substantive,supporting evidence for workflow impact and socio-technical evaluation.,evaluation_or_evaluator_validity;human_review_or_workflow_value
ARXIV-0160,substantive,"supporting evidence for downstream revision, acceptance limits, and reviewer cost.",human_review_or_workflow_value;trade_off_or_mitigation_design
ARXIV-0168,substantive,"supporting evidence for explanation quality, actionability, and review cognition.",human_review_or_workflow_value
ARXIV-0169,substantive,"supporting evidence for evaluator validity, construct validity, and context representation.",evaluation_or_evaluator_validity;context_or_grounding_quality
ARXIV-0181,substantive,"supporting evidence for benchmark scope, denominator discipline, and metric validity.",evaluation_or_evaluator_validity
ARXIV-0184,substantive,"supporting evidence for explanation quality, context usability, and knowledge transfer.",context_or_grounding_quality;human_review_or_workflow_value
ARXIV-0189,substantive,"supporting evidence for tone, fairness, and socio-technical review quality.",human_review_or_workflow_value
ARXIV-0191,substantive,"supporting evidence for accountability, human control, and knowledge-transfer preservation.",human_review_or_workflow_value
ARXIV-0204,substantive,"supporting evidence for tone, fairness, moderation, and context-sensitive filtering.",context_or_grounding_quality;trade_off_or_mitigation_design
ARXIV-0207,substantive,supporting evidence for benchmark validity and metric scope.,evaluation_or_evaluator_validity
ARXIV-0213,substantive,"supporting evidence for explanation quality, usefulness, and knowledge transfer.",human_review_or_workflow_value
ARXIV-0214,substantive,"supporting evidence for context enrichment, prompt validity, and relevance.",evaluation_or_evaluator_validity;context_or_grounding_quality
ARXIV-0216,substantive,"supporting evidence for review cost, downstream change, and workflow validity.",evaluation_or_evaluator_validity;human_review_or_workflow_value;trade_off_or_mitigation_design
ARXIV-0219,substantive,"supporting evidence for context quality, tool evidence, and reviewer effort.",context_or_grounding_quality;human_review_or_workflow_value
ARXIV-0226,substantive,"supporting evidence for comprehensibility, actionability, and human-centered feedback.",human_review_or_workflow_value
ARXIV-0230,substantive,"supporting evidence for workflow utility, actionability, and operational cost.",human_review_or_workflow_value;trade_off_or_mitigation_design
ARXIV-0232,substantive,"supporting evidence for routing, reviewer effort, and workflow-level metrics.",evaluation_or_evaluator_validity;human_review_or_workflow_value;trade_off_or_mitigation_design
ARXIV-0250,substantive,"supporting evidence for context completeness, reviewer routing, and fairness.",context_or_grounding_quality;human_review_or_workflow_value;trade_off_or_mitigation_design
ARXIV-0259,substantive,"supporting evidence for downstream feedback, acceptance proxies, and socio-technical interpretation.",human_review_or_workflow_value
ARXIV-0260,scaffold,,
ARXIV-0261,scaffold,,
ARXIV-0265,scaffold,,
ARXIV-0266,scaffold,,
ARXIV-0269,scaffold,,
ARXIV-0270,scaffold,,
ARXIV-0271,scaffold,,
ARXIV-0272,scaffold,,
ARXIV-0277,scaffold,,
ARXIV-0278,no_packet,,
ARXIV-0279,no_packet,,
ARXIV-0281,no_packet,,
ARXIV-0282,no_packet,,
ARXIV-0284,no_packet,,
ARXIV-0286,no_packet,,
ARXIV-0287,no_packet,,
ARXIV-0289,no_packet,,
ARXIV-0290,no_packet,,
ARXIV-0293,no_packet,,
