candidate_id,proposed_doi,status,decision
POOL-0898,10.48550/arxiv.2308.10620,manual_review,not_high_confidence
POOL-0899,10.1016/j.infsof.2025.107831,high_confidence_suggestion,duplicate_doi
POOL-0900,10.1016/j.jss.2025.112760,high_confidence_suggestion,duplicate_doi
POOL-0901,10.1016/j.iot.2025.101735,high_confidence_suggestion,duplicate_doi
POOL-0902,10.48550/arxiv.2504.09059,manual_review,not_high_confidence
POOL-0903,10.1039/d5dd00306g,high_confidence_suggestion,duplicate_doi
POOL-0904,10.1016/j.compmedimag.2025.102581,high_confidence_suggestion,duplicate_doi
POOL-0905,10.32604/cmc.2025.061185,high_confidence_suggestion,duplicate_doi
POOL-0906,10.32604/cmc.2025.059696,high_confidence_suggestion,duplicate_doi
POOL-0907,10.1016/j.infsof.2024.107661,high_confidence_suggestion,duplicate_doi
POOL-0908,10.1016/j.aei.2025.103246,high_confidence_suggestion,duplicate_doi
POOL-0909,10.1016/j.infsof.2025.107707,high_confidence_suggestion,duplicate_doi
POOL-0910,10.1016/j.jenvman.2025.124373,high_confidence_suggestion,duplicate_doi
POOL-0911,10.1016/j.jval.2025.09.2868,high_confidence_suggestion,duplicate_doi
POOL-0912,10.2196/74231,high_confidence_suggestion,duplicate_doi
POOL-0913,10.1016/j.is.2024.102473,manual_review,not_high_confidence
POOL-0914,10.1016/j.jss.2025.112406,high_confidence_suggestion,duplicate_doi
POOL-0915,10.1016/j.engappai.2024.109291,high_confidence_suggestion,duplicate_doi
POOL-0916,10.1016/j.rcim.2024.102883,manual_review,not_high_confidence
POOL-0917,10.1016/j.csi.2024.103917,manual_review,not_high_confidence
POOL-0918,10.1016/j.cola.2026.101396,high_confidence_suggestion,duplicate_doi
POOL-0919,10.1016/j.jvir.2024.12.465,high_confidence_suggestion,duplicate_doi
POOL-0920,10.1016/j.dcan.2019.01.005,manual_review,not_high_confidence
POOL-0921,10.1016/j.procs.2026.07.117,high_confidence_suggestion,duplicate_doi
POOL-0922,10.1098/rsif.2005.0073,manual_review,not_high_confidence
POOL-0923,10.1016/j.jss.2026.112989,high_confidence_suggestion,duplicate_doi
POOL-0924,10.2139/ssrn.6027954,manual_review,not_high_confidence
POOL-0925,10.1016/j.net.2026.104524,high_confidence_suggestion,duplicate_doi
POOL-0926,10.1016/j.infsof.2024.107490,high_confidence_suggestion,duplicate_doi
POOL-0927,10.1016/j.artmed.2025.103187,high_confidence_suggestion,duplicate_doi
POOL-0928,10.1016/j.infsof.2025.107913,manual_review,not_high_confidence
POOL-0929,10.48550/arxiv.2402.01841,manual_review,not_high_confidence
POOL-0930,10.1016/j.jss.2026.113036,high_confidence_suggestion,duplicate_doi
POOL-0931,10.1007/s11846-023-00647-8,manual_review,not_high_confidence
POOL-0932,10.1155/2021/8812542,manual_review,not_high_confidence
POOL-0933,10.1016/j.engappai.2026.114865,high_confidence_suggestion,duplicate_doi
POOL-0934,10.1016/j.ijmedinf.2026.106605,high_confidence_suggestion,duplicate_doi
POOL-0935,10.1016/j.scico.2026.103446,high_confidence_suggestion,duplicate_doi
POOL-0936,10.1016/j.chbah.2026.100278,high_confidence_suggestion,duplicate_doi
POOL-0937,10.1186/s42400-025-00361-w,manual_review,not_high_confidence
POOL-0938,10.2139/ssrn.6235282,manual_review,not_high_confidence
POOL-0939,10.1016/j.acalib.2026.103273,high_confidence_suggestion,duplicate_doi
POOL-0940,10.1016/j.jposna.2026.100433,high_confidence_suggestion,duplicate_doi
POOL-0941,10.1162/coli_a_00502,manual_review,not_high_confidence
POOL-0942,10.32604/cmc.2025.068137,high_confidence_suggestion,duplicate_doi
POOL-0943,10.1016/j.scico.2026.103530,high_confidence_suggestion,duplicate_doi
POOL-0944,10.1109/access.2019.2909530,manual_review,not_high_confidence
POOL-0945,10.48550/arxiv.2307.03109,manual_review,not_high_confidence
POOL-0946,10.1016/j.infsof.2026.108018,high_confidence_suggestion,duplicate_doi
POOL-0947,10.1016/j.cola.2026.101403,high_confidence_suggestion,duplicate_doi
POOL-0948,10.48550/arxiv.2308.10620,manual_review,not_high_confidence
POOL-0949,10.1016/j.jiixd.2026.07.002,high_confidence_suggestion,duplicate_doi
POOL-0950,10.1016/j.array.2025.100547,high_confidence_suggestion,duplicate_doi
POOL-0951,10.1016/j.future.2026.108587,high_confidence_suggestion,duplicate_doi
POOL-0952,10.32604/cmc.2026.080737,high_confidence_suggestion,duplicate_doi
POOL-0953,10.1016/j.jss.2025.112635,manual_review,not_high_confidence
POOL-0954,10.1016/j.inffus.2026.104241,high_confidence_suggestion,duplicate_doi
POOL-0955,10.1016/j.tsc.2026.102307,high_confidence_suggestion,duplicate_doi
POOL-0956,10.2139/ssrn.6247781,manual_review,not_high_confidence
POOL-0957,10.1016/j.asoc.2026.116127,high_confidence_suggestion,duplicate_doi
POOL-0958,10.2139/ssrn.6663280,manual_review,not_high_confidence
POOL-0959,10.1186/s42400-025-00361-w,manual_review,not_high_confidence
POOL-0960,10.1016/j.tbench.2025.100204,high_confidence_suggestion,duplicate_doi
POOL-0961,10.1016/j.coche.2025.101209,manual_review,not_high_confidence
POOL-0962,10.1016/j.jss.2026.112862,high_confidence_suggestion,duplicate_doi
POOL-0963,10.48550/arxiv.2606.12065,manual_review,not_high_confidence
POOL-0964,10.1016/j.infsof.2026.108184,high_confidence_suggestion,duplicate_doi
POOL-0965,10.1016/j.procs.2025.09.204,high_confidence_suggestion,duplicate_doi
POOL-0966,10.1016/j.jss.2026.113009,high_confidence_suggestion,duplicate_doi
POOL-0967,10.1186/s40537-021-00444-8,manual_review,not_high_confidence
POOL-0968,10.1016/j.matt.2025.102577,high_confidence_suggestion,duplicate_doi
POOL-0969,10.48550/arxiv.2509.16671,manual_review,not_high_confidence
POOL-0970,10.1016/j.caeo.2026.100374,high_confidence_suggestion,duplicate_doi
POOL-0971,10.1016/j.cose.2024.104151,manual_review,not_high_confidence
POOL-0972,10.1016/j.infsof.2025.107757,high_confidence_suggestion,duplicate_doi
POOL-0973,10.1016/j.jpi.2026.100687,high_confidence_suggestion,duplicate_doi
POOL-0974,10.1016/j.infsof.2025.107942,manual_review,not_high_confidence
POOL-0975,10.1109/tdsc.2004.2,manual_review,not_high_confidence
POOL-0976,10.1016/j.array.2026.100979,high_confidence_suggestion,duplicate_doi
POOL-0977,10.1016/j.compedu.2025.105486,manual_review,not_high_confidence
POOL-0978,10.1016/j.eswa.2024.125868,manual_review,not_high_confidence
POOL-0979,10.3390/jpm13060951,manual_review,not_high_confidence
POOL-0980,10.1016/j.jss.2026.112854,high_confidence_suggestion,duplicate_doi
POOL-0981,10.1016/j.infsof.2026.108096,high_confidence_suggestion,duplicate_doi
POOL-0982,10.1108/josm-04-2025-0165,high_confidence_suggestion,duplicate_doi
POOL-0983,10.1016/j.jss.2026.112885,high_confidence_suggestion,duplicate_doi
POOL-0984,10.1016/j.ajpe.2025.101882,high_confidence_suggestion,duplicate_doi
POOL-0985,10.1016/j.eswa.2026.132639,high_confidence_suggestion,duplicate_doi
POOL-0986,10.1016/j.dsm.2025.09.001,high_confidence_suggestion,duplicate_doi
POOL-0987,10.1016/j.compedu.2025.105448,manual_review,not_high_confidence
POOL-0988,10.1016/j.jss.2023.111682,manual_review,not_high_confidence
POOL-0989,10.1145/3485128,manual_review,not_high_confidence
POOL-0990,10.1108/itp-03-2024-0403,high_confidence_suggestion,duplicate_doi
POOL-0991,10.1016/j.bushor.2024.05.009,high_confidence_suggestion,duplicate_doi
POOL-0992,10.1016/j.infsof.2025.107828,high_confidence_suggestion,duplicate_doi
POOL-0993,10.18653/v1/2023.findings-acl.67,manual_review,not_high_confidence
POOL-0994,10.1016/j.sysarc.2024.103193,high_confidence_suggestion,duplicate_doi
POOL-0995,10.48550/arxiv.2507.22939,manual_review,not_high_confidence
POOL-0996,10.1007/s11042-022-13428-4,manual_review,not_high_confidence
POOL-0997,10.1016/j.jss.2025.112436,high_confidence_suggestion,duplicate_doi
POOL-0998,10.37074/jalt.2023.6.1.23,manual_review,not_high_confidence
POOL-0999,10.1016/j.neunet.2026.108650,high_confidence_suggestion,duplicate_doi
POOL-1000,10.1016/j.strueco.2024.09.011,high_confidence_suggestion,duplicate_doi
POOL-1001,10.1016/j.csi.2025.104012,high_confidence_suggestion,duplicate_doi
POOL-1002,10.1016/j.tsc.2026.102322,high_confidence_suggestion,duplicate_doi
POOL-1003,10.3145/epi.2020.ene.03,manual_review,not_high_confidence
POOL-1004,10.1016/j.chb.2025.108691,high_confidence_suggestion,duplicate_doi
POOL-1005,10.1016/j.iotcps.2026.04.001,high_confidence_suggestion,duplicate_doi
POOL-1006,,manual_review,not_high_confidence
POOL-1007,10.1016/j.infsof.2025.107805,high_confidence_suggestion,duplicate_doi
POOL-1008,10.1016/j.chbr.2025.100850,high_confidence_suggestion,duplicate_doi
POOL-1009,10.48550/arxiv.2203.02155,manual_review,not_high_confidence
POOL-1010,10.1016/j.ipm.2024.104005,manual_review,not_high_confidence
POOL-1011,10.1016/j.ins.2024.121753,manual_review,not_high_confidence
POOL-1012,10.1016/j.future.2026.108445,high_confidence_suggestion,duplicate_doi
POOL-1013,10.2196/63400,high_confidence_suggestion,duplicate_doi
POOL-1014,10.2196/85060,high_confidence_suggestion,duplicate_doi
POOL-1015,10.1016/j.ijhcs.2025.103471,high_confidence_suggestion,duplicate_doi
POOL-1016,10.48550/arxiv.2406.16224,manual_review,not_high_confidence
POOL-1017,10.1016/j.jss.2025.112435,high_confidence_suggestion,duplicate_doi
POOL-1018,10.1016/j.infsof.2024.107584,manual_review,not_high_confidence
POOL-1019,10.1016/j.jss.2024.112204,manual_review,not_high_confidence
POOL-1020,10.1016/j.inffus.2024.102712,manual_review,not_high_confidence
POOL-1021,10.1016/j.cancergen.2024.08.014,high_confidence_suggestion,duplicate_doi
POOL-1022,10.1016/j.ins.2024.120759,high_confidence_suggestion,duplicate_doi
POOL-1023,10.1016/j.eng.2019.12.012,manual_review,not_high_confidence
POOL-1024,10.1016/j.cose.2025.104670,high_confidence_suggestion,duplicate_doi
POOL-1025,10.1016/j.infsof.2026.108261,high_confidence_suggestion,duplicate_doi
POOL-1026,10.2139/ssrn.5168767,manual_review,not_high_confidence
POOL-1027,10.1016/j.simpa.2025.100765,high_confidence_suggestion,duplicate_doi
POOL-1028,10.2196/50236,high_confidence_suggestion,duplicate_doi
POOL-1029,10.1016/j.tjpad.2024.100002,high_confidence_suggestion,duplicate_doi
POOL-1030,10.1016/j.softx.2024.101677,high_confidence_suggestion,duplicate_doi
POOL-1031,10.1016/j.paid.2026.114030,high_confidence_suggestion,duplicate_doi
POOL-1032,10.1016/j.jand.2026.156320,manual_review,not_high_confidence
POOL-1033,10.1007/s11846-023-00696-z,manual_review,not_high_confidence
POOL-1034,10.1016/j.ijintrel.2026.102433,high_confidence_suggestion,duplicate_doi
POOL-1035,10.1016/j.mlwa.2026.100908,high_confidence_suggestion,duplicate_doi
POOL-1036,10.1016/j.infsof.2025.107971,high_confidence_suggestion,duplicate_doi
POOL-1037,10.1016/j.reumae.2026.502048,manual_review,not_high_confidence
POOL-1038,10.2196/93040,high_confidence_suggestion,duplicate_doi
POOL-1039,10.1016/j.bushor.2025.11.003,high_confidence_suggestion,duplicate_doi
POOL-1040,10.1016/j.pec.2026.109771,high_confidence_suggestion,duplicate_doi
POOL-1041,10.1186/s12859-017-1934-z,manual_review,not_high_confidence
POOL-1042,10.1016/j.jacr.2026.04.008,high_confidence_suggestion,duplicate_doi
POOL-1043,10.1016/j.cose.2026.104842,high_confidence_suggestion,duplicate_doi
POOL-1044,10.1016/j.jss.2026.112921,high_confidence_suggestion,duplicate_doi
POOL-1045,10.5281/zenodo.17799974,manual_review,not_high_confidence
POOL-1046,10.1109/access.2022.3182333,manual_review,not_high_confidence
POOL-1047,10.2139/ssrn.7119440,manual_review,not_high_confidence
POOL-1048,10.1016/j.jsse.2026.01.003,high_confidence_suggestion,duplicate_doi
POOL-1049,10.1016/j.array.2025.100509,high_confidence_suggestion,duplicate_doi
POOL-1050,10.1016/j.eswa.2023.122697,manual_review,not_high_confidence
POOL-1051,10.1016/j.japh.2026.103025,high_confidence_suggestion,duplicate_doi
POOL-1052,10.1111/1748-8583.12524,manual_review,not_high_confidence
POOL-1053,10.1016/j.infsof.2026.108070,high_confidence_suggestion,duplicate_doi
POOL-1054,10.1016/j.infsof.2026.108036,high_confidence_suggestion,duplicate_doi
POOL-1055,10.1016/j.acorp.2026.100206,high_confidence_suggestion,duplicate_doi
POOL-1056,10.3390/informatics11030058,manual_review,not_high_confidence
POOL-1057,10.1016/j.drudis.2026.104613,high_confidence_suggestion,duplicate_doi
POOL-1058,10.2139/ssrn.5611240,manual_review,not_high_confidence
POOL-1059,10.4324/9781003459026,manual_review,not_high_confidence
POOL-1060,10.1016/j.infsof.2025.107950,manual_review,not_high_confidence
POOL-1061,10.1016/j.jss.2025.112594,manual_review,not_high_confidence
POOL-1062,10.2196/85412,high_confidence_suggestion,duplicate_doi
POOL-1063,10.1016/j.infsof.2025.107993,manual_review,not_high_confidence
POOL-1064,10.1016/j.acalib.2025.103085,high_confidence_suggestion,duplicate_doi
POOL-1065,10.1016/j.caeai.2026.100570,high_confidence_suggestion,duplicate_doi
POOL-1066,10.1186/s40537-019-0197-0,manual_review,not_high_confidence
POOL-1067,10.1016/j.aej.2025.12.065,high_confidence_suggestion,duplicate_doi
POOL-1068,10.1038/s41467-019-09234-6,manual_review,not_high_confidence
POOL-1069,10.5281/zenodo.21098146,manual_review,not_high_confidence
POOL-1070,10.1016/j.jss.2026.112996,high_confidence_suggestion,duplicate_doi
POOL-1071,10.1016/j.eswa.2024.125821,manual_review,not_high_confidence
POOL-1072,10.2196/66223,high_confidence_suggestion,duplicate_doi
POOL-1073,10.1117/12.3017802,manual_review,not_high_confidence
POOL-1074,10.1016/j.jss.2024.112253,manual_review,not_high_confidence
POOL-1075,10.1016/j.tele.2026.102446,high_confidence_suggestion,duplicate_doi
POOL-1076,10.1016/j.fsidi.2026.302125,high_confidence_suggestion,duplicate_doi
POOL-1077,10.1016/j.jss.2026.112822,high_confidence_suggestion,duplicate_doi
POOL-1078,10.1016/j.tate.2025.105231,high_confidence_suggestion,duplicate_doi
POOL-1079,10.1016/j.tsc.2024.101522,high_confidence_suggestion,duplicate_doi
POOL-1080,10.1016/j.jss.2024.112169,high_confidence_suggestion,duplicate_doi
POOL-1081,10.1016/j.infsof.2026.108232,high_confidence_suggestion,duplicate_doi
POOL-1082,10.1016/j.sysarc.2026.103722,high_confidence_suggestion,duplicate_doi
POOL-1083,10.1016/j.caeai.2026.100633,high_confidence_suggestion,duplicate_doi
POOL-1084,10.4018/ijssmet.416696,high_confidence_suggestion,duplicate_doi
POOL-1085,10.5281/zenodo.18144150,manual_review,not_high_confidence
POOL-1086,10.1016/j.jnca.2019.102526,manual_review,not_high_confidence
POOL-1087,10.1016/j.apmr.2026.04.033,high_confidence_suggestion,duplicate_doi
POOL-1088,10.1016/j.pecinn.2025.100429,high_confidence_suggestion,duplicate_doi
POOL-1089,10.1016/j.plas.2023.100101,high_confidence_suggestion,duplicate_doi
POOL-1090,10.1016/j.bcra.2025.100390,manual_review,not_high_confidence
POOL-1091,10.1016/j.infsof.2025.107799,high_confidence_suggestion,duplicate_doi
POOL-1092,10.1016/j.jss.2024.112059,high_confidence_suggestion,duplicate_doi
POOL-1093,10.1016/j.bushor.2026.05.012,high_confidence_suggestion,duplicate_doi
POOL-1094,10.1080/23311983.2025.2531183,manual_review,not_high_confidence
POOL-1095,10.1016/j.neucom.2024.127951,high_confidence_suggestion,duplicate_doi
POOL-1096,10.1016/j.jss.2025.112555,high_confidence_suggestion,duplicate_doi
POOL-1097,10.1016/j.compedu.2025.105472,manual_review,not_high_confidence
POOL-1098,10.1016/j.scico.2025.103415,manual_review,not_high_confidence
POOL-1099,10.1016/j.csbj.2024.10.034,high_confidence_suggestion,duplicate_doi
POOL-1100,10.1016/j.infsof.2025.107840,high_confidence_suggestion,duplicate_doi
POOL-1101,10.1016/j.engappai.2025.113111,manual_review,not_high_confidence
POOL-1102,10.1016/j.infsof.2025.107951,high_confidence_suggestion,duplicate_doi
POOL-1103,10.2147/phmt.s85717,manual_review,not_high_confidence
POOL-1104,10.1093/nar/gky1055,manual_review,not_high_confidence
POOL-1105,10.1016/j.jss.2026.112826,high_confidence_suggestion,duplicate_doi
POOL-1106,10.1016/j.hcc.2024.100268,manual_review,not_high_confidence
POOL-1107,10.48550/arxiv.2407.03914,manual_review,not_high_confidence
POOL-1108,10.1016/j.jss.2026.112873,high_confidence_suggestion,duplicate_doi
POOL-1109,10.1016/j.visinf.2025.03.002,high_confidence_suggestion,duplicate_doi
POOL-1110,10.1016/j.clsr.2025.106111,high_confidence_suggestion,duplicate_doi
POOL-1111,10.1007/978-3-030-25425-4_1,manual_review,not_high_confidence
POOL-1112,10.1016/j.system.2026.104031,high_confidence_suggestion,duplicate_doi
POOL-1113,10.1080/10447318.2022.2153320,manual_review,not_high_confidence
POOL-1114,10.1016/j.jss.2026.112797,high_confidence_suggestion,duplicate_doi
POOL-1115,10.32604/cmc.2025.067536,high_confidence_suggestion,duplicate_doi
POOL-1116,10.1016/j.hcc.2026.100383,high_confidence_suggestion,duplicate_doi
POOL-1117,,manual_review,not_high_confidence
POOL-1118,10.1016/j.infsof.2025.107728,high_confidence_suggestion,duplicate_doi
POOL-1119,10.20870/ijvr.2010.9.2.2767,manual_review,not_high_confidence
POOL-1120,10.1016/j.infsof.2025.107677,high_confidence_suggestion,duplicate_doi
POOL-1121,10.1016/j.jss.2024.112179,high_confidence_suggestion,duplicate_doi
POOL-1122,10.1016/j.cose.2025.104659,high_confidence_suggestion,duplicate_doi
POOL-1123,10.1016/j.jss.2025.112479,high_confidence_suggestion,duplicate_doi
POOL-1124,10.1016/j.techfore.2026.124669,high_confidence_suggestion,duplicate_doi
POOL-1125,10.1109/tccn.2024.3435524,manual_review,not_high_confidence
POOL-1126,10.48550/arxiv.2406.09066,manual_review,not_high_confidence
POOL-1127,10.1016/j.chbr.2026.100973,high_confidence_suggestion,duplicate_doi
POOL-1128,10.1016/j.bcra.2025.100309,high_confidence_suggestion,duplicate_doi
POOL-1129,10.48550/arxiv.2307.15915,manual_review,not_high_confidence
POOL-1130,10.1016/j.fufo.2025.100847,high_confidence_suggestion,duplicate_doi
POOL-1131,10.1016/j.eswa.2025.128924,manual_review,not_high_confidence
POOL-1132,10.1016/j.eij.2026.100915,high_confidence_suggestion,duplicate_doi
POOL-1133,10.1016/j.jss.2025.112634,high_confidence_suggestion,duplicate_doi
POOL-1134,10.1016/j.cola.2025.101327,high_confidence_suggestion,duplicate_doi
POOL-1135,10.2196/66828,high_confidence_suggestion,duplicate_doi
POOL-1136,10.1016/j.jss.2025.112648,manual_review,not_high_confidence
POOL-1137,10.1016/j.is.2026.102695,high_confidence_suggestion,duplicate_doi
POOL-1138,10.1007/bf02291575,manual_review,not_high_confidence
POOL-1139,,manual_review,not_high_confidence
POOL-1140,10.1016/j.caeo.2025.100306,high_confidence_suggestion,duplicate_doi
POOL-1141,10.1016/j.compbiomed.2024.108632,high_confidence_suggestion,duplicate_doi
POOL-1142,10.1016/j.jpainsymman.2024.04.020,high_confidence_suggestion,duplicate_doi
POOL-1143,10.1016/j.jss.2026.113034,high_confidence_suggestion,duplicate_doi
POOL-1144,10.1016/j.tsc.2025.101766,high_confidence_suggestion,duplicate_doi
POOL-1145,10.1016/j.jss.2025.112471,high_confidence_suggestion,duplicate_doi
POOL-1146,10.1016/j.jss.2026.112844,high_confidence_suggestion,duplicate_doi
POOL-1147,10.1109/tccn.2024.3435524,manual_review,not_high_confidence
POOL-1148,10.1016/j.trd.2025.104716,high_confidence_suggestion,duplicate_doi
POOL-1149,10.2139/ssrn.5369484,manual_review,not_high_confidence
POOL-1150,10.1101/2023.07.10.547733,manual_review,not_high_confidence
POOL-1151,10.2196/53008,manual_review,not_high_confidence
POOL-1152,10.1016/j.eswa.2024.125164,high_confidence_suggestion,duplicate_doi
POOL-1153,10.1016/j.respol.2025.105336,high_confidence_suggestion,duplicate_doi
POOL-1154,10.1016/j.future.2025.108107,manual_review,not_high_confidence
POOL-1155,10.1016/j.future.2024.107640,manual_review,not_high_confidence
POOL-1156,10.1016/j.infsof.2025.108003,manual_review,not_high_confidence
POOL-1157,10.1016/j.jss.2024.112113,high_confidence_suggestion,duplicate_doi
POOL-1158,10.4018/jgim.387412,high_confidence_suggestion,duplicate_doi
POOL-1159,10.3390/educsci13090856,manual_review,not_high_confidence
POOL-1160,10.1111/j.1365-294x.2005.02553.x,manual_review,not_high_confidence
POOL-1161,10.1016/j.iotcps.2023.04.003,high_confidence_suggestion,duplicate_doi
POOL-1162,10.1016/j.jss.2024.112158,high_confidence_suggestion,duplicate_doi
POOL-1163,10.1016/j.infsof.2025.107768,high_confidence_suggestion,duplicate_doi
