database,exact_query,search_date,date_range,native_retrieved_count,title,year,url
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Enhancing Source Code Comment Generation via Retrieval-Augmented Generation with Design Document Term Dictionary","2024","https://ieeexplore.ieee.org/document/10967279/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Role-Aware Intelligent Agent Framework for Enhanced Code Generation Using Large Language Model","2025","https://ieeexplore.ieee.org/document/11341145/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Prompt Injection in Large Language Model Exploitation: A Security Perspective","2025","https://ieeexplore.ieee.org/document/11064209/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Failure-Aware Enhancements for Large Language Model (LLM) Code Generation: An Empirical Study on Decision Framework","2026","https://ieeexplore.ieee.org/document/11576529/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Harnessing Large Language Models for Curated Code Reviews","2025","https://ieeexplore.ieee.org/document/11025570/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","An Automated Code Review Framework Based on BERT and Qianwen Large Model","2025","https://ieeexplore.ieee.org/document/11189422/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Human and Machine: How Software Engineers Perceive and Engage with AI-Assisted Code Reviews Compared to Their Peers","2025","https://ieeexplore.ieee.org/document/11024268/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Research Status and Analysis of LLM-based Methods for Code Audit","2025","https://ieeexplore.ieee.org/document/11429962/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","AI-Driven Code Quality Assessment Model and Implementation for Complex Power Grid Software Systems","2026","https://ieeexplore.ieee.org/document/11621056/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Investigating Violations of Coding Standards in Large Language Models","2025","https://ieeexplore.ieee.org/document/11450900/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","From Misuse to Mastery: Enhancing Code Generation with Knowledge-Driven AI Chaining","2023","https://ieeexplore.ieee.org/document/10298349/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","SoapFL: A Standard Operating Procedure for LLM-Based Method-Level Fault Localization","2025","https://ieeexplore.ieee.org/document/10891926/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Automated Commit Message Generation With Large Language Models: An Empirical Study and Beyond","2024","https://ieeexplore.ieee.org/document/10713474/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Intention is All you Need: Refining your Code from your Intention","2025","https://ieeexplore.ieee.org/document/11029878/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Unseen Horizons: Unveiling the Real Capability of LLM Code Generation Beyond the Familiar","2025","https://ieeexplore.ieee.org/document/11029836/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","A Qualitative Study on Using ChatGPT for Software Security: Perception vs. Practicality","2024","https://ieeexplore.ieee.org/document/10835695/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Harnessing the Power of LLMs: LLM Summarization for Human-Centric DAST Reports","2024","https://ieeexplore.ieee.org/document/10714552/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","ChatGPT Incorrectness Detection in Software Reviews","2024","https://ieeexplore.ieee.org/document/10549751/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","AI Powered Integrated Code Repository Analyzer for Efficient Developer Workflow","2025","https://ieeexplore.ieee.org/document/11031000/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Generating Commit Messages for Configuration Files in 5G Network Deployment Using LLMs","2024","https://ieeexplore.ieee.org/document/10814636/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Generative AI Models to Revolutionize Data Engineering: Technical Perspective in Data Transformation","2025","https://ieeexplore.ieee.org/document/11341146/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Auto-repair without test cases: How LLMs fix compilation errors in large industrial embedded code","2025","https://ieeexplore.ieee.org/document/11272492/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Unity Is Strength: Collaborative LLM-Based Agents for Code Reviewer Recommendation","2024","https://ieeexplore.ieee.org/document/10764861/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Project Evolution-Aware Prompting of LLMs for Just-in-Time Defect Prediction in Edge-Cloud Systems","2026","https://ieeexplore.ieee.org/document/11481603/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Research on Security Vulnerability Patterns of Code Generated by Large Language Models","2026","https://ieeexplore.ieee.org/document/11604380/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","WIP: ARTful Insights from a Pilot Study on GPT-Based Automatic Code Reviews in Undergraduate Computer Science Programs","2024","https://ieeexplore.ieee.org/document/10893407/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","DevGPT: Studying Developer-ChatGPT Conversations","2024","https://ieeexplore.ieee.org/document/10555646/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","ALMAS: an Autonomous LLM-based Multi-Agent Software Engineering Framework","2025","https://ieeexplore.ieee.org/document/11334244/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Bridging the Gap Using GPT-4 to Summarize and Explain Static Analysis Warnings at Scale","2026","https://ieeexplore.ieee.org/document/11395881/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","AI-Augmented Technical Debt Management in Legacy Software Systems","2026","https://ieeexplore.ieee.org/document/11476061/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Scientific Software in the Age of Vibe Coding","2026","https://ieeexplore.ieee.org/document/11482007/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Detecting Confusion Comments with LLMs","2026","https://ieeexplore.ieee.org/document/11604063/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","A Systematic Mapping Study on Developer Profile Modeling in Software Engineering","2026","https://ieeexplore.ieee.org/document/11534064/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","CodEv: An Automated Grading Framework Leveraging Large Language Models for Consistent and Constructive Feedback","2024","https://ieeexplore.ieee.org/document/10825949/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","AI-Augmented Software Engineering for Rapid Feature Delivery and Operations Automation","2026","https://ieeexplore.ieee.org/document/11393761/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Intelligent Code Analysis and Automated Testing Technologies for Power Grid Software Systems","2026","https://ieeexplore.ieee.org/document/11509395/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Toward an AI Knowledge Assistant for Context-Aware Learning Experiences in Software Capstone Project Development","2024","https://ieeexplore.ieee.org/document/10518103/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Cross Pipeline Code Impact Analysis using Vector Embeddings, Telemetry Traces, Graph and LLMs","2025","https://ieeexplore.ieee.org/document/11280467/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Towards Better Answers: Automated Stack Overflow Post Updating","2025","https://ieeexplore.ieee.org/document/11029872/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","A Methodological Framework for Assessing Language Models for Security Applications","2026","https://ieeexplore.ieee.org/document/11620871/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Towards Automatically Addressing Self-Admitted Technical Debt: How Far Are We?","2023","https://ieeexplore.ieee.org/document/10298547/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","PyBugHive: A Comprehensive Database of Manually Validated, Reproducible Python Bugs","2024","https://ieeexplore.ieee.org/document/10644000/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Advancing LLM Agents for Code Generation: Observability, Orchestration, Reliable Performance","2025","https://ieeexplore.ieee.org/document/11428688/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","LLM Tools for Programming","2025","https://ieeexplore.ieee.org/document/11280153/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Coding Agents in the Wild: Failure Modes and Rejection Patterns of AI-Generated Pull Requests","2026","https://ieeexplore.ieee.org/document/11534612/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","SE-Blackboard: A Shared-State Architecture for Multi-Agent Software Engineering Pipelines","2026","https://ieeexplore.ieee.org/document/11527206/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Multi-Agent Software Development for Automotive Model-Based Graphical Programming","2026","https://ieeexplore.ieee.org/document/11599534/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Adaptive AI Productivity Assistant for Developers in Visual Studio Code","2026","https://ieeexplore.ieee.org/document/11594203/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","A Quantitative Analysis of Quality and Consistency in AI-generated Code","2024","https://ieeexplore.ieee.org/document/10608315/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Nemesis: An Adversarial Multi-Agent AI Framework for Proactive Vulnerability Discovery and Patch Synthesis","2026","https://ieeexplore.ieee.org/document/11448038/"
