candidate_id,arxiv_id,title,screening_tier,reconciliation_status,matched_project_file,match_basis,next_action
ARXIV-0036,2606.01859v1,Improving LLM-Based Go Code Review through Issue-List Generation and Context Augmentation,core,new_candidate,,best_title_similarity=0.53,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0038,2605.30208v2,"Automating Low-Risk Code Review at Meta: RADAR, Risk Calibration, and Review Efficiency",supporting,new_candidate,,best_title_similarity=0.54,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0039,2605.26100v1,Beyond Summaries: Structure-Aware Labeling of Code Changes with Large Language Models,supporting,new_candidate,,best_title_similarity=0.50,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0040,2605.23108v1,Philosophical Dispositions as Behavioral Constraints for AI-Assisted Code Review: An Empirical Study,core,new_candidate,,best_title_similarity=0.51,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0041,2605.21374v1,Combating Harms of Generative AI in CS1 with Code Review Interviews and a Flipped Classroom,supporting,new_candidate,,best_title_similarity=0.47,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0046,2605.12610v1,Fine-Tuning Models for Automated Code Review Feedback,supporting,new_candidate,,best_title_similarity=0.66,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0048,2605.09059v2,Evaluating LLM-Generated Code: A Benchmark and Developer Study,supporting,new_candidate,,best_title_similarity=0.47,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0052,2604.24621v1,"Evaluation of LLM-Based Software Engineering Tools: Practices, Challenges, and Future Directions",supporting,new_candidate,,best_title_similarity=0.53,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0053,2604.24525v1,Understanding the Limits of Automated Evaluation for Code Review Bots in Practice,core,new_candidate,,best_title_similarity=0.59,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0054,2604.23832v1,Characterizing the Usefulness of Code Review Comments in Scientific Software for Software Quality and Scientific Rigor,supporting,new_candidate,,best_title_similarity=0.46,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0058,2604.17092v1,AI Observability for Developer Productivity Tools: Bridging Cost Awareness and Code Quality,supporting,new_candidate,,best_title_similarity=0.37,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0061,2604.14408v1,ToxiShield: Promoting Inclusive Developer Communication through Real-Time Toxicity Filtering,core,new_candidate,,best_title_similarity=0.40,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0066,2604.10345v2,Recovering Fine-Grained Code Change Rationale from Multiple Software Artifacts,supporting,new_candidate,,best_title_similarity=0.44,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0068,2606.15689v1,Bigger Isn’t Always Better: A Comparative Evaluation of LLMs for Automated Code Review,core,new_candidate,,best_title_similarity=0.49,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0072,2604.00917v1,Investigating Autonomous Agent Contributions in the Wild: Activity Patterns and Code Change over Time,supporting,new_candidate,,best_title_similarity=0.40,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0074,2603.25773v1,The Specification as Quality Gate: Three Hypotheses on AI-Assisted Code Review,supporting,new_candidate,,best_title_similarity=0.47,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0075,2603.24359v1,Gendered Prompting and LLM Code Review: How Gender Cues in the Prompt Shape Code Quality and Evaluation,core,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0079,2603.16107v1,RepoReviewer: A Local-First Multi-Agent Architecture for Repository-Level Code Review,core,new_candidate,,best_title_similarity=0.58,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0087,2603.01896v2,Agentic Code Reasoning,supporting,new_candidate,,best_title_similarity=0.52,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0088,2603.00821v1,"Taking a Closer Look at Warnings Generated by PMD and SonarQube, their Rules and Compliance to Established Coding Standards",supporting,new_candidate,,best_title_similarity=0.37,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0090,2602.23047v3,CL4SE: Benchmarking Context Learning on Software Engineering,supporting,new_candidate,,best_title_similarity=0.50,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0093,2602.11925v1,Studying Quality Improvements Recommended via Manual and Automated Code Review,core,new_candidate,,best_title_similarity=0.53,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0095,2602.10487v1,Following Dragons: Code Review-Guided Fuzzing,supporting,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0096,2602.09774v1,QRS: A Rule-Synthesizing Neuro-Symbolic Triad for Autonomous Vulnerability Discovery,supporting,new_candidate,,best_title_similarity=0.39,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0098,2602.05270v2,PatchGuru: Patch Oracle Inference from Natural Language Artifacts,core,new_candidate,,best_title_similarity=0.35,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0100,2602.02262v3,OmniCode: A Benchmark for Evaluating Software Engineering Agents,supporting,new_candidate,,best_title_similarity=0.50,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0101,2602.01655v2,ProjDevBench: Benchmarking AI Coding Agents on End-to-End Project Development,supporting,new_candidate,,best_title_similarity=0.52,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0102,2601.19494v3,AACR-Bench: Evaluating Automatic Code Review with Holistic Repository-Level Context,core,new_candidate,,best_title_similarity=0.53,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0103,2601.19287v1,Understanding Dominant Themes in Reviewing Agentic AI-authored Code,core,new_candidate,,best_title_similarity=0.44,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0104,2601.19138v1,AgenticSCR: An Autonomous Agentic Secure Code Review for Immature Vulnerabilities Detection,core,new_candidate,,best_title_similarity=0.50,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0106,2601.18844v1,Reducing False Positives in Static Bug Detection with LLMs: An Empirical Study in Industry,supporting,new_candidate,,best_title_similarity=0.49,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0107,2601.14936v1,LLM-Based Repair of C++ Implicit Data Loss Compiler Warnings: An Industrial Case Study,supporting,new_candidate,,best_title_similarity=0.39,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0108,2601.14470v1,Tokenomics: Quantifying Where Tokens Are Used in Agentic Software Engineering,supporting,new_candidate,,best_title_similarity=0.51,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0112,2601.04252v1,Sphinx: Benchmarking and Modeling for LLM-Driven Pull Request Review,core,new_candidate,,best_title_similarity=0.61,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0120,2512.05309v1,"Engagement in Code Review: Emotional, Behavioral, and Cognitive Dimensions in Peer vs. LLM Interactions",supporting,new_candidate,,best_title_similarity=0.46,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0122,2511.09223v1,AILINKPREVIEWER: Enhancing Code Reviews with LLM-Powered Link Previews,core,new_candidate,,best_title_similarity=0.58,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0124,2511.05302v2,When More Retrieval Hurts: Retrieval-Augmented Code Review Generation,core,new_candidate,,best_title_similarity=0.71,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0126,2511.00517v1,Issue-Oriented Agent-Based Framework for Automated Review Comment Generation,core,new_candidate,,best_title_similarity=0.64,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0128,2510.26457v1,SecureReviewer: Enhancing Large Language Models for Secure Code Review through Secure-aware Fine-tuning,core,new_candidate,,best_title_similarity=0.63,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0131,2510.15512v1,Enhancing Code Review through Fuzzing and Likely Invariants,supporting,new_candidate,,best_title_similarity=0.46,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0133,2510.10290v1,Grounded AI for Code Review: Resource-Efficient Large-Model Serving in Enterprise Pipelines,core,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0135,2510.05450v1,What Types of Code Review Comments Do Developers Most Frequently Resolve?,core,new_candidate,,best_title_similarity=0.48,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0136,2510.04796v1,RevMine: An LLM-Assisted Tool for Code Review Mining and Analysis Across Git Platforms,supporting,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0139,2509.26546v2,Towards Verified Code Reasoning by LLMs,supporting,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0140,2509.21170v1,Fine-Tuning LLMs to Analyze Multiple Dimensions of Code Review: A Maximum Entropy Regulated Long Chain-of-Thought Approach,core,new_candidate,,best_title_similarity=0.49,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0141,2509.14856v3,CodeFuse-CR-Bench: A Comprehensiveness-aware Benchmark for End-to-End Code Review Evaluation in Python Projects,core,new_candidate,,best_title_similarity=0.47,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0145,2509.09714v1,How Small Transformation Expose the Weakness of Semantic Similarity Measures,supporting,new_candidate,,best_title_similarity=0.38,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0146,2509.04810v1,Code Review Without Borders: Evaluating Synthetic vs. Real Data for Review Recommendation,supporting,new_candidate,,best_title_similarity=0.37,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0147,2509.01494v2,SWR-Bench: Assessing LLM Performance in Real-World Code Review Comment Generation,core,duplicate_or_companion,P05-swrbench.md,arxiv_id,verify version and retain one study
ARXIV-0148,2508.18771v2,Does AI Code Review Lead to Code Changes? A Case Study of GitHub Actions,core,new_candidate,,best_title_similarity=0.55,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0150,2508.17161v1,What Developers Ask to ChatGPT in GitHub Pull Requests? an Exploratory Study,supporting,new_candidate,,best_title_similarity=0.64,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0152,2508.12358v1,Uncovering Systematic Failures of LLMs in Verifying Code Against Natural Language Specifications,core,new_candidate,,best_title_similarity=0.42,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0153,2508.11717v1,WIP: Leveraging LLMs for Enforcing Design Principles in Student Code: Analysis of Prompting Strategies and RAG,supporting,new_candidate,,best_title_similarity=0.47,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0154,2508.11034v2,The Impact of Large Language Models (LLMs) on Code Review Process,supporting,new_candidate,,best_title_similarity=0.67,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0157,2508.08661v1,Hallucinations in Code Change to Natural Language Generation: Prevalence and Evaluation of Detection Metrics,core,new_candidate,,best_title_similarity=0.39,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0159,2508.02732v1,A Note on Code Quality Score: LLMs for Maintainable Large Codebases,core,new_candidate,,best_title_similarity=0.46,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0160,2507.23640v1,An Empirical Study on the Amount of Changes Required for Merge Request Acceptance,supporting,new_candidate,,best_title_similarity=0.47,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0163,2507.19271v2,Fine-Tuning Multilingual Language Models for Code Review: An Empirical Study on Industrial C# Projects,core,new_candidate,,best_title_similarity=0.53,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0164,2507.19115v2,Automated Code Review Using Large Language Models at Ericsson: An Experience Report,core,new_candidate,,best_title_similarity=0.57,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0165,2507.18476v1,Automated Code Review Using Large Language Models with Symbolic Reasoning,core,new_candidate,,best_title_similarity=0.60,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0168,2507.09637v1,Code Review as Decision-Making -- Building a Cognitive Model from the Questions Asked During Code Review,supporting,new_candidate,,best_title_similarity=0.48,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0169,2507.05289v2,Measuring how changes in code readability attributes affect code quality evaluation by Large Language Models,supporting,new_candidate,,best_title_similarity=0.49,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0171,2506.00296v1,CRScore++: Reinforcement Learning with Verifiable Tool and AI Feedback for Code Review,core,new_candidate,,best_title_similarity=0.44,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0173,2505.20206v1,Evaluating Large Language Models for Code Review,core,new_candidate,,best_title_similarity=0.80,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0176,2505.17928v2,Towards Practical Defect-Focused Automated Code Review,core,new_candidate,,best_title_similarity=0.56,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0177,2505.16339v1,Rethinking Code Review Workflows with LLM Assistance: An Empirical Study,core,new_candidate,,best_title_similarity=0.51,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0181,2504.20673v1,CoCo-Bench: A Comprehensive Code Benchmark For Multi-task Large Language Model Evaluation,supporting,new_candidate,,best_title_similarity=0.55,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0184,2503.21455v1,Code Review Comprehension: Reviewing Strategies Seen Through Code Comprehension Theories,supporting,new_candidate,,best_title_similarity=0.46,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0185,2503.17302v1,Bugdar: AI-Augmented Secure Code Review for GitHub Pull Requests,core,new_candidate,,best_title_similarity=0.53,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0189,2503.05992v2,Psycholinguistic Analyses in Software Engineering Text: A Systematic Literature Review,supporting,new_candidate,,best_title_similarity=0.52,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0190,2502.20747v1,Measuring Determinism in Large Language Models for Software Code Review,core,new_candidate,,best_title_similarity=0.72,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0191,2502.15963v1,Accountability in Code Review: The Role of Intrinsic Drivers and the Impact of LLMs,supporting,new_candidate,,best_title_similarity=0.46,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0199,2412.20340v2,Distilling Desired Comments for Enhanced Code Review with Large Language Models,core,new_candidate,,best_title_similarity=0.54,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0202,2412.15676v1,Code Review Automation Via Multi-task Federated LLM -- An Empirical Study,core,new_candidate,,best_title_similarity=0.51,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0204,2412.13133v3,Analyzing Toxicity in Open Source Software Communications Using Psycholinguistics and Moral Foundations Theory,supporting,new_candidate,,best_title_similarity=0.44,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0207,2412.05288v1,StackEval: Benchmarking LLMs in Coding Assistance,supporting,new_candidate,,best_title_similarity=0.60,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0208,2411.11401v3,Deep Learning-based Code Reviews: A Paradigm Shift or a Double-Edged Sword?,core,new_candidate,,best_title_similarity=0.49,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0213,2410.21990v2,Understanding Code Understandability Improvements in Code Reviews,supporting,new_candidate,,best_title_similarity=0.46,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0214,2410.21673v4,Knowledge-Guided Prompt Learning for Request Quality Assurance in Public Code Review,supporting,new_candidate,,best_title_similarity=0.46,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0216,2410.04678v2,Deciphering Refactoring Branch Dynamics in Modern Code Review: An Empirical Study on Qt,supporting,new_candidate,,best_title_similarity=0.59,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0217,2409.19801v2,CRScore: Grounding Automated Evaluation of Code Review Comments in Code Claims and Smells,core,new_candidate,,best_title_similarity=0.54,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0219,2408.08141v1,Visual Integration of Static and Dynamic Software Analysis in Code Reviews via Software City Visualization,supporting,new_candidate,,best_title_similarity=0.44,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0224,2407.02824v1,Exploring the Capabilities of LLMs for Code Change Related Tasks,core,new_candidate,,best_title_similarity=0.47,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0226,2407.04722v1,A GPT-based Code Review System for Programming Language Learning,supporting,new_candidate,,best_title_similarity=0.53,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0230,2405.13565v1,AI-Assisted Assessment of Coding Practices in Modern Code Review,supporting,new_candidate,,best_title_similarity=0.51,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0232,2404.10703v2,An Empirical Study on Code Review Activity Prediction and Its Impact in Practice,supporting,new_candidate,,best_title_similarity=0.53,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0241,2402.03777v1,Improving Automated Code Reviews: Learning from Experience,core,new_candidate,,best_title_similarity=0.61,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0242,2402.02172v5,CodeAgent: Autonomous Communicative Agents for Code Review,core,new_candidate,,best_title_similarity=0.52,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0244,2402.00905v4,Fine-Tuning and Prompt Engineering for Large Language Models-based Code Review Automation,core,new_candidate,,best_title_similarity=0.63,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0246,2401.16310v6,"An Insight into Security Code Review with LLMs: Capabilities, Obstacles, and Influential Factors",core,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0248,2312.17485v1,The Right Prompts for the Job: Repair Code-Review Defects with Large Language Model,core,new_candidate,,best_title_similarity=0.53,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0250,2312.06244v1,Team-related Features in Code Review Prediction Models,supporting,new_candidate,,best_title_similarity=0.53,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0259,2307.07111v1,More Than React: Investigating The Role of Emoji Reaction in GitHub Pull Requests,supporting,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0260,2307.03852v1,Towards Automated Classification of Code Review Feedback to Support Analytics,supporting,new_candidate,,best_title_similarity=0.48,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0261,2307.02326v1,Security Defect Detection via Code Review: A Study of the OpenStack and Qt Communities,supporting,new_candidate,,best_title_similarity=0.46,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0265,2305.05770v1,"How is the speed of code review affected by activity, usage and code quality?",supporting,new_candidate,,best_title_similarity=0.49,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0266,2305.05654v1,Using Knowledge Units of Programming Languages to Recommend Reviewers for Pull Requests: An Empirical Study,supporting,new_candidate,,best_title_similarity=0.43,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0269,2303.07722v2,Early Career Developers' Perceptions of Code Understandability. A Study of Complexity Metrics,supporting,new_candidate,,best_title_similarity=0.44,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0270,2302.11686v2,What Makes a Code Review Useful to OpenDev Developers? An Empirical Investigation,supporting,new_candidate,,best_title_similarity=0.58,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0271,2211.15007v1,An Exploration of Cross-Patch Collaborations via Patch Linkage in OpenStack,supporting,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0272,2210.00139v2,Code Reviews in Open Source Projects : How Do Gender Biases Affect Participation and Outcomes?,supporting,new_candidate,,best_title_similarity=0.38,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0276,2207.11627v1,Example Driven Code Review Explanation,core,new_candidate,,best_title_similarity=0.59,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0277,2206.14764v2,Potential Technical Debt and Its Resolution in Code Reviews: An Exploratory Study of the OpenStack and Qt Communities,supporting,new_candidate,,best_title_similarity=0.42,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0278,2205.07535v1,Code Smells Detection via Modern Code Review: A Study of the OpenStack and Qt Communities,supporting,new_candidate,,best_title_similarity=0.50,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0279,2203.05045v1,Do Small Code Changes Merge Faster? A Multi-Language Empirical Investigation,supporting,new_candidate,,best_title_similarity=0.59,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0281,2201.05425v1,Interpersonal Conflicts During Code Review,supporting,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0282,2110.07291v6,Only Time Will Tell: Modelling Information Diffusion in Code Review with Time-Varying Hypergraphs,supporting,new_candidate,,best_title_similarity=0.44,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0284,2109.15141v1,Predicting Code Review Completion Time in Modern Code Review,supporting,new_candidate,,best_title_similarity=0.56,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0286,2108.09905v1,"The ""Shut the f**k up"" Phenomenon: Characterizing Incivility in Open Source Code Review Discussions",supporting,new_candidate,,best_title_similarity=0.47,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0287,2106.02306v1,Automatic Patch Linkage Detection in Code Review Using TextualContent and File Location Features,supporting,new_candidate,,best_title_similarity=0.47,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0289,2103.11446v1,Understanding Code Smell Detection via Code Review: A Study of the OpenStack Community,supporting,new_candidate,,best_title_similarity=0.48,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0290,2103.06042v1,Identifying bot activity in GitHub pull request and issue comments,supporting,new_candidate,,best_title_similarity=0.53,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0293,2102.05201v1,Refactoring Practices in the Context of Modern Code Review: An Industrial Case Study at Xerox,supporting,new_candidate,,best_title_similarity=0.57,"assign project ID, verify metadata, create note and BibTeX"
