provisional_project_id,candidate_id,arxiv_id,title,authors,submitted,full_text_path,screening_tier,reconciliation_status,metadata_status,next_action
P82,ARXIV-0061,2604.14408v1,ToxiShield: Promoting Inclusive Developer Communication through Real-Time Toxicity Filtering,MD Awsaf Alam Anindya; Showvik Biswas; Anindya Iqbal; Jaydeb Sarker; Amiangshu Bosu,2026-04-15T20:46:40Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P83,ARXIV-0068,2606.15689v1,Bigger Isn’t Always Better: A Comparative Evaluation of LLMs for Automated Code Review,Shivam Pankaj Kumar; Swati Bararia; Kislay Raj,2026-04-09T06:56:13Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P84,ARXIV-0075,2603.24359v1,Gendered Prompting and LLM Code Review: How Gender Cues in the Prompt Shape Code Quality and Evaluation,Lynn Janzen; Üveys Eroglu; Dorothea Kolossa; Pia Knöferle; Sebastian Möller; Vera Schmitt; Veronika Solopova,2026-03-25T14:41:28Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P85,ARXIV-0079,2603.16107v1,RepoReviewer: A Local-First Multi-Agent Architecture for Repository-Level Code Review,Peng Zhang,2026-03-17T04:17:51Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P86,ARXIV-0093,2602.11925v1,Studying Quality Improvements Recommended via Manual and Automated Code Review,Giuseppe Crupi; Rosalia Tufano; Gabriele Bavota,2026-02-12T13:23:43Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P87,ARXIV-0098,2602.05270v2,PatchGuru: Patch Oracle Inference from Natural Language Artifacts,Thanh Le-Cong; Bach Le; Toby Murray; Michael Pradel; Cristian Cadar,2026-02-05T03:48:17Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P88,ARXIV-0102,2601.19494v3,AACR-Bench: Evaluating Automatic Code Review with Holistic Repository-Level Context,Lei Zhang; Yongda Yu; Minghui Yu; Xinxin Guo; Zhengqi Zhuang; Guoping Rong; Dong Shao; Haifeng Shen; Hongyu Kuang; Zhengfeng Li; Boge Wang; Guoan Zhang; Bangyu Xiang; Xiaobin Xu,2026-01-27T11:28:44Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P89,ARXIV-0103,2601.19287v1,Understanding Dominant Themes in Reviewing Agentic AI-authored Code,Md. Asif Haider; Thomas Zimmermann,2026-01-27T07:21:09Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P90,ARXIV-0104,2601.19138v1,AgenticSCR: An Autonomous Agentic Secure Code Review for Immature Vulnerabilities Detection,Wachiraphan Charoenwet; Kla Tantithamthavorn; Patanamon Thongtanunam; Hong Yi Lin; Minwoo Jeong; Ming Wu,2026-01-27T03:10:12Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P91,ARXIV-0112,2601.04252v1,Sphinx: Benchmarking and Modeling for LLM-Driven Pull Request Review,Daoan Zhang; Shuo Zhang; Zijian Jin; Jiebo Luo; Shengyu Fu; Elsie Nallipogu,2026-01-06T18:49:56Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P92,ARXIV-0122,2511.09223v1,AILINKPREVIEWER: Enhancing Code Reviews with LLM-Powered Link Previews,Panya Trakoolgerntong; Tao Xiao; Masanari Kondo; Chaiyong Ragkhitwetsagul; Morakot Choetkiertikul; Pattaraporn Sangaroonsilp; Yasutaka Kamei,2025-11-12T11:36:12Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P93,ARXIV-0124,2511.05302v2,When More Retrieval Hurts: Retrieval-Augmented Code Review Generation,Qianru Meng; Xiao Zhang; Zhaochen Ren; Joost Visser,2025-11-07T15:02:42Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P94,ARXIV-0126,2511.00517v1,Issue-Oriented Agent-Based Framework for Automated Review Comment Generation,Shuochuan Li; Dong Wang; Patanamon Thongtanunam; Zan Wang; Jiuqiao Yu; Junjie Chen,2025-11-01T11:44:11Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P95,ARXIV-0128,2510.26457v1,SecureReviewer: Enhancing Large Language Models for Secure Code Review through Secure-aware Fine-tuning,Fang Liu; Simiao Liu; Yinghao Zhu; Xiaoli Lian; Li Zhang,2025-10-30T13:06:11Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P96,ARXIV-0133,2510.10290v1,Grounded AI for Code Review: Resource-Efficient Large-Model Serving in Enterprise Pipelines,Sayan Mandal; Hua Jiang,2025-10-11T17:08:45Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P97,ARXIV-0135,2510.05450v1,What Types of Code Review Comments Do Developers Most Frequently Resolve?,Saul Goldman; Hong Yi Lin; Jirat Pasuksmit; Patanamon Thongtanunam; Kla Tantithamthavorn; Zhe Wang; Ray Zhang; Ali Behnaz; Fan Jiang; Michael Siers; Ryan Jiang; Mike Buller; Minwoo Jeong; Ming Wu,2025-10-06T23:32:26Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P98,ARXIV-0140,2509.21170v1,Fine-Tuning LLMs to Analyze Multiple Dimensions of Code Review: A Maximum Entropy Regulated Long Chain-of-Thought Approach,Yongda Yu; Guohao Shi; Xianwei Wu; Haochuan He; XueMing Gu; Qianqian Zhao; Kui Liu; Qiushi Wang; Zhao Tian; Haifeng Shen; Guoping Rong,2025-09-25T13:51:56Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P99,ARXIV-0141,2509.14856v3,CodeFuse-CR-Bench: A Comprehensiveness-aware Benchmark for End-to-End Code Review Evaluation in Python Projects,Hanyang Guo; Xunjin Zheng; Zihan Liao; Hang Yu; Peng DI; Ziyin Zhang; Hong-Ning Dai,2025-09-18T11:24:09Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P100,ARXIV-0148,2508.18771v2,Does AI Code Review Lead to Code Changes? A Case Study of GitHub Actions,Kexin Sun; Hongyu Kuang; Sebastian Baltes; Xin Zhou; He Zhang; Xiaoxing Ma; Guoping Rong; Dong Shao; Christoph Treude,2025-08-26T07:55:23Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P101,ARXIV-0152,2508.12358v1,Uncovering Systematic Failures of LLMs in Verifying Code Against Natural Language Specifications,Haolin Jin; Huaming Chen,2025-08-17T13:07:26Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P102,ARXIV-0157,2508.08661v1,Hallucinations in Code Change to Natural Language Generation: Prevalence and Evaluation of Detection Metrics,Chunhua Liu; Hong Yi Lin; Patanamon Thongtanunam,2025-08-12T05:59:33Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P103,ARXIV-0159,2508.02732v1,A Note on Code Quality Score: LLMs for Maintainable Large Codebases,Sherman Wong; Jalaj Bhandari; Leo Zhou Fan Yang; Xylan Xu; Yi Zhuang; Cem Cayiroglu; Payal Bhuptani; Sheela Yadawad; Hung Duong,2025-08-01T21:09:45Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P104,ARXIV-0163,2507.19271v2,Fine-Tuning Multilingual Language Models for Code Review: An Empirical Study on Industrial C# Projects,Igli Begolli; Meltem Aksoy; Daniel Neider,2025-07-25T13:49:24Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P105,ARXIV-0164,2507.19115v2,Automated Code Review Using Large Language Models at Ericsson: An Experience Report,Shweta Ramesh; Joy Bose; Hamender Singh; A K Raghavan; Sujoy Roychowdhury; Giriprasad Sridhara; Nishrith Saini; Ricardo Britto,2025-07-25T09:50:48Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P106,ARXIV-0165,2507.18476v1,Automated Code Review Using Large Language Models with Symbolic Reasoning,Busra Icoz; Goksel Biricik,2025-07-24T14:50:27Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P107,ARXIV-0171,2506.00296v1,CRScore++: Reinforcement Learning with Verifiable Tool and AI Feedback for Code Review,Manav Nitin Kapadnis; Atharva Naik; Carolyn Rose,2025-05-30T22:58:35Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P108,ARXIV-0173,2505.20206v1,Evaluating Large Language Models for Code Review,Umut Cihan; Arda İçöz; Vahid Haratian; Eray Tüzün,2025-05-26T16:47:29Z,,core,external_duplicate_or_companion,local_arxiv_metadata,Resolve against EXT-0028; do not create a new study
P109,ARXIV-0176,2505.17928v2,Towards Practical Defect-Focused Automated Code Review,Junyi Lu; Lili Jiang; Xiaojia Li; Jianbing Fang; Fengjun Zhang; Li Yang; Chun Zuo,2025-05-23T14:06:26Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P110,ARXIV-0177,2505.16339v1,Rethinking Code Review Workflows with LLM Assistance: An Empirical Study,Fannar Steinn Aðalsteinsson; Björn Borgar Magnússon; Mislav Milicevic; Adam Nirving Davidsson; Chih-Hong Cheng,2025-05-22T07:54:07Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P111,ARXIV-0185,2503.17302v1,Bugdar: AI-Augmented Secure Code Review for GitHub Pull Requests,John Naulty; Eason Chen; Joy Wang; George Digkas; Kostas Chalkias,2025-03-21T16:52:03Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P112,ARXIV-0190,2502.20747v1,Measuring Determinism in Large Language Models for Software Code Review,Eugene Klishevich; Yegor Denisov-Blanch; Simon Obstbaum; Igor Ciobanu; Michal Kosinski,2025-02-28T05:53:16Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P113,ARXIV-0199,2412.20340v2,Distilling Desired Comments for Enhanced Code Review with Large Language Models,Yongda Yu; Lei Zhang; Guoping Rong; Haifeng Shen; Jiahao Zhang; Haoxiang Yan; Guohao Shi; Dong Shao; Ruiqi Pan; Yuan Li; Qiushi Wang; Zhao Tian,2024-12-29T03:49:13Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P114,ARXIV-0202,2412.15676v1,Code Review Automation Via Multi-task Federated LLM -- An Empirical Study,Jahnavi Kumar; Sridhar Chimalakonda,2024-12-20T08:46:46Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P115,ARXIV-0208,2411.11401v3,Deep Learning-based Code Reviews: A Paradigm Shift or a Double-Edged Sword?,Rosalia Tufano; Alberto Martin-Lopez; Ahmad Tayeb; Ozren Dabić; Sonia Haiduc; Gabriele Bavota,2024-11-18T09:24:01Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P116,ARXIV-0217,2409.19801v2,CRScore: Grounding Automated Evaluation of Code Review Comments in Code Claims and Smells,Atharva Naik; Marcus Alenius; Daniel Fried; Carolyn Rose,2024-09-29T21:53:18Z,,core,external_duplicate_or_companion,local_arxiv_metadata,Resolve against EXT-0030; do not create a new study
P117,ARXIV-0224,2407.02824v1,Exploring the Capabilities of LLMs for Code Change Related Tasks,Lishui Fan; Jiakun Liu; Zhongxin Liu; David Lo; Xin Xia; Shanping Li,2024-07-03T05:49:18Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P118,ARXIV-0241,2402.03777v1,Improving Automated Code Reviews: Learning from Experience,Hong Yi Lin; Patanamon Thongtanunam; Christoph Treude; Wachiraphan Charoenwet,2024-02-06T07:48:22Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P119,ARXIV-0242,2402.02172v5,CodeAgent: Autonomous Communicative Agents for Code Review,Xunzhu Tang; Kisub Kim; Yewei Song; Cedric Lothritz; Bei Li; Saad Ezzini; Haoye Tian; Jacques Klein; Tegawende F. Bissyande,2024-02-03T14:43:14Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P120,ARXIV-0244,2402.00905v4,Fine-Tuning and Prompt Engineering for Large Language Models-based Code Review Automation,Chanathip Pornprasit; Chakkrit Tantithamthavorn,2024-02-01T03:10:26Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P121,ARXIV-0246,2401.16310v6,"An Insight into Security Code Review with LLMs: Capabilities, Obstacles, and Influential Factors",Jiaxin Yu; Peng Liang; Yujia Fu; Amjed Tahir; Mojtaba Shahin; Chong Wang; Yangxiao Cai,2024-01-29T17:13:44Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P122,ARXIV-0248,2312.17485v1,The Right Prompts for the Job: Repair Code-Review Defects with Large Language Model,Zelin Zhao; Zhaogui Xu; Jialong Zhu; Peng Di; Yuan Yao; Xiaoxing Ma,2023-12-29T06:12:15Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P123,ARXIV-0276,2207.11627v1,Example Driven Code Review Explanation,Shadikur Rahman; Umme Ayman Koana; Maleknaz Nayebi,2022-07-24T01:14:02Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
