database,exact_query,search_date,date_range,title,authors,year,venue_or_repository,doi_or_official_url,official_source_page,abstract_or_short_summary,source_type,label,label_reason,duplicate_or_version_status,retrieval_note
IEEE Xplore,"((""All Metadata"":""large language model"") OR (""All Metadata"":LLM) OR (""All Metadata"":""generative AI"") OR (""All Metadata"":""AI-assisted"")) AND ((""All Metadata"":""code review"") OR (""All Metadata"":""review comment"") OR (""All Metadata"":""pull request feedback"") OR (""All Metadata"":""automated code review"")) AND ((""All Metadata"":evaluation) OR (""All Metadata"":usefulness) OR (""All Metadata"":relevance) OR (""All Metadata"":actionability) OR (""All Metadata"":grounding) OR (""All Metadata"":hallucination) OR (""All Metadata"":context) OR (""All Metadata"":trust) OR (""All Metadata"":""human-AI"") OR (""All Metadata"":cost) OR (""All Metadata"":latency) OR (""All Metadata"":adoption) OR (""All Metadata"":mitigation))",2026-08-02,2021-01-01 to 2026-08-02,Automated Code Review Using Large Language Models at Ericsson: An Experience Report,Shweta Ramesh; Joy Bose; Hamender Singh; A. K. Raghavan; Sujoy Roychowdhury; Giriprasad Sridhara; Nishrith Saini; Ricardo Britto,2025,IEEE International Conference on Software Maintenance and Evolution (ICSME 2025),https://doi.org/10.1109/ICSME64153.2025.00061,https://doi.org/10.1109/ICSME64153.2025.00061,Industrial experience report describing an LLM-plus-static-analysis review tool and preliminary evaluation with experienced developers.,Conference experience report,core,Direct evaluation of an LLM-based code-review assistant with practitioner feedback.,Published IEEE version; preprint arXiv:2507.19115 is the same work.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
IEEE Xplore,"((""All Metadata"":""large language model"") OR (""All Metadata"":LLM) OR (""All Metadata"":""generative AI"") OR (""All Metadata"":""AI-assisted"")) AND ((""All Metadata"":""code review"") OR (""All Metadata"":""review comment"") OR (""All Metadata"":""pull request feedback"") OR (""All Metadata"":""automated code review"")) AND ((""All Metadata"":evaluation) OR (""All Metadata"":usefulness) OR (""All Metadata"":relevance) OR (""All Metadata"":actionability) OR (""All Metadata"":grounding) OR (""All Metadata"":hallucination) OR (""All Metadata"":context) OR (""All Metadata"":trust) OR (""All Metadata"":""human-AI"") OR (""All Metadata"":cost) OR (""All Metadata"":latency) OR (""All Metadata"":adoption) OR (""All Metadata"":mitigation))",2026-08-02,2021-01-01 to 2026-08-02,Impact of an LLM-based Review Assistant in Practice: A Mixed Open-/Closed-source Case Study,Doriane Olewicki; Leuson Da Silva; Oussama Ben Sghaier; Suhaib Mujahid; Arezou Amini; Benjamin Mah; Marco Castelluccio; Sarra Habchi; Foutse Khomh; Bram Adams,2026,IEEE Transactions on Software Engineering,https://doi.org/10.1109/TSE.2026.3663093,https://doi.org/10.1109/TSE.2026.3663093,"Mixed open- and closed-source field study of reviewer interactions with an LLM assistant, effects on review flow, generated comments, and participant perceptions.",Journal article,core,"Directly studies usefulness, workflow impact, human trust/perception, and adoption in real code review.",,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
IEEE Xplore,"((""All Metadata"":""large language model"") OR (""All Metadata"":LLM) OR (""All Metadata"":""generative AI"") OR (""All Metadata"":""AI-assisted"")) AND ((""All Metadata"":""code review"") OR (""All Metadata"":""review comment"") OR (""All Metadata"":""pull request feedback"") OR (""All Metadata"":""automated code review"")) AND ((""All Metadata"":evaluation) OR (""All Metadata"":usefulness) OR (""All Metadata"":relevance) OR (""All Metadata"":actionability) OR (""All Metadata"":grounding) OR (""All Metadata"":hallucination) OR (""All Metadata"":context) OR (""All Metadata"":trust) OR (""All Metadata"":""human-AI"") OR (""All Metadata"":cost) OR (""All Metadata"":latency) OR (""All Metadata"":adoption) OR (""All Metadata"":mitigation))",2026-08-02,2021-01-01 to 2026-08-02,LLaMA-Reviewer: Advancing Code Review Automation with Large Language Models through Parameter-Efficient Fine-Tuning,Junyi Lu; Lei Yu; Xiaojia Li; Li Yang; Chun Zuo,2023,IEEE International Symposium on Software Reliability Engineering (ISSRE 2023),https://doi.org/10.1109/ISSRE59848.2023.00026,https://doi.org/10.1109/ISSRE59848.2023.00026,Applies parameter-efficient fine-tuning to LLaMA for automated code review and evaluates review-generation performance.,Conference paper,core,Direct model and evaluation study for LLM-based code-review automation.,Published IEEE version; an arXiv preprint was posted in 2023.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
IEEE Xplore,"((""All Metadata"":""large language model"") OR (""All Metadata"":LLM) OR (""All Metadata"":""generative AI"") OR (""All Metadata"":""AI-assisted"")) AND ((""All Metadata"":""code review"") OR (""All Metadata"":""review comment"") OR (""All Metadata"":""pull request feedback"") OR (""All Metadata"":""automated code review"")) AND ((""All Metadata"":evaluation) OR (""All Metadata"":usefulness) OR (""All Metadata"":relevance) OR (""All Metadata"":actionability) OR (""All Metadata"":grounding) OR (""All Metadata"":hallucination) OR (""All Metadata"":context) OR (""All Metadata"":trust) OR (""All Metadata"":""human-AI"") OR (""All Metadata"":cost) OR (""All Metadata"":latency) OR (""All Metadata"":adoption) OR (""All Metadata"":mitigation))",2026-08-02,2021-01-01 to 2026-08-02,Harnessing Large Language Models for Curated Code Reviews,Oussama Ben Sghaier; Martin Weyssow; Houari Sahraoui,2025,Mining Software Repositories (MSR 2025),https://doi.org/10.1109/MSR66628.2025.00039,https://doi.org/10.1109/MSR66628.2025.00039,Studies LLM-assisted curation of code-review data and the quality of review comments used for generation and evaluation.,Conference paper,core,Directly addresses review-comment quality and data curation for useful generated feedback.,Published IEEE version; preprint arXiv:2502.03425 is an earlier version.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
IEEE Xplore,"((""All Metadata"":""large language model"") OR (""All Metadata"":LLM) OR (""All Metadata"":""generative AI"") OR (""All Metadata"":""AI-assisted"")) AND ((""All Metadata"":""code review"") OR (""All Metadata"":""review comment"") OR (""All Metadata"":""pull request feedback"") OR (""All Metadata"":""automated code review"")) AND ((""All Metadata"":evaluation) OR (""All Metadata"":usefulness) OR (""All Metadata"":relevance) OR (""All Metadata"":actionability) OR (""All Metadata"":grounding) OR (""All Metadata"":hallucination) OR (""All Metadata"":context) OR (""All Metadata"":trust) OR (""All Metadata"":""human-AI"") OR (""All Metadata"":cost) OR (""All Metadata"":latency) OR (""All Metadata"":adoption) OR (""All Metadata"":mitigation))",2026-08-02,2021-01-01 to 2026-08-02,Too Noisy To Learn: Enhancing Data Quality for Code Review Comment Generation,Chunhua Liu; Hong Yi Lin; Patanamon Thongtanunam,2025,Mining Software Repositories (MSR 2025),https://doi.org/10.1109/MSR66628.2025.00043,https://doi.org/10.1109/MSR66628.2025.00043,"Uses LLMs to identify noisy, vague, or non-actionable review comments and evaluates whether semantic cleaning improves generated comment relevance and informativeness.",Conference paper,core,"Directly evaluates data-quality, actionability, informativeness, and relevance trade-offs in review-comment generation.",Published IEEE version; preprint arXiv:2502.02757 is the same work.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
IEEE Xplore,"((""All Metadata"":""large language model"") OR (""All Metadata"":LLM) OR (""All Metadata"":""generative AI"") OR (""All Metadata"":""AI-assisted"")) AND ((""All Metadata"":""code review"") OR (""All Metadata"":""review comment"") OR (""All Metadata"":""pull request feedback"") OR (""All Metadata"":""automated code review"")) AND ((""All Metadata"":evaluation) OR (""All Metadata"":usefulness) OR (""All Metadata"":relevance) OR (""All Metadata"":actionability) OR (""All Metadata"":grounding) OR (""All Metadata"":hallucination) OR (""All Metadata"":context) OR (""All Metadata"":trust) OR (""All Metadata"":""human-AI"") OR (""All Metadata"":cost) OR (""All Metadata"":latency) OR (""All Metadata"":adoption) OR (""All Metadata"":mitigation))",2026-08-02,2021-01-01 to 2026-08-02,A GPT-Based Code Review System With Accurate Feedback for Programming Education,Dong-Kyu Lee; Inwhee Joe,2025,IEEE Access 13,https://doi.org/10.1109/ACCESS.2025.3581139,https://doi.org/10.1109/ACCESS.2025.3581139,"Proposes a GPT-4o code-review system for educational feedback with attention to accuracy, token usage, and misuse prevention.",Journal article,core,Directly evaluates code-review feedback and an explicit accuracy–token-cost trade-off.,,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
IEEE Xplore,"((""All Metadata"":""large language model"") OR (""All Metadata"":LLM) OR (""All Metadata"":""generative AI"") OR (""All Metadata"":""AI-assisted"")) AND ((""All Metadata"":""code review"") OR (""All Metadata"":""review comment"") OR (""All Metadata"":""pull request feedback"") OR (""All Metadata"":""automated code review"")) AND ((""All Metadata"":evaluation) OR (""All Metadata"":usefulness) OR (""All Metadata"":relevance) OR (""All Metadata"":actionability) OR (""All Metadata"":grounding) OR (""All Metadata"":hallucination) OR (""All Metadata"":context) OR (""All Metadata"":trust) OR (""All Metadata"":""human-AI"") OR (""All Metadata"":cost) OR (""All Metadata"":latency) OR (""All Metadata"":adoption) OR (""All Metadata"":mitigation))",2026-08-02,2021-01-01 to 2026-08-02,Can Large Language Models Serve as Evaluators for Code Summarization?,Yang Wu; Yao Wan; Zhaoyang Chu; Wenting Zhao; Ye Liu; Hongyu Zhang; Xuanhua Shi; Philip S. Yu,2025,IEEE Transactions on Software Engineering,https://doi.org/10.1109/TSE.2025.3595283,https://doi.org/10.1109/TSE.2025.3595283,"Evaluates role-prompted LLM judges for code-summary quality and measures correlation with human judgments across coherence, consistency, fluency, and relevance.",Journal article,supporting,"Not code review, but closely informs evaluator validity, rubric design, and human-alignment risks for judging generated review comments.",Published IEEE version; preprint arXiv:2412.01333 is an earlier version.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ScienceDirect,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,AICodeReview: Advancing code quality with AI-enhanced reviews,Yonatha Almeida; Danyllo Albuquerque; Emanuel Dantas Filho; Filipe Muniz; K. de Farias Santos; Mirna Perkusich; Hyggo Almeida; Ayla Perkusich,2024,"SoftwareX 26, 101677",https://doi.org/10.1016/j.softx.2024.101677,https://www.sciencedirect.com/science/article/pii/S2352711024000487,Presents and evaluates an AI-enhanced code-review approach intended to improve review efficiency and code quality.,Journal article,core,Directly concerns AI-assisted code review and empirical evaluation.,,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ScienceDirect,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Fine-tuning and prompt engineering for large language models-based code review automation,Chanathip Pornprasit; Chakkrit Tantithamthavorn,2024,"Information and Software Technology 175, 107523",https://doi.org/10.1016/j.infsof.2024.107523,https://www.sciencedirect.com/science/article/pii/S0950584924001289,"Compares fine-tuning, zero-shot, few-shot, and persona prompting for GPT-3.5 and Magicoder against existing automated-review approaches.",Journal article,core,Direct comparative evaluation with practical performance and resource/data-availability trade-offs.,,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ScienceDirect,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Automating modern code review processes with code similarity measurement,Yusuf Kartal; E. Kaan Akdeniz; Kemal Özkan,2024,"Information and Software Technology 173, 107490",https://doi.org/10.1016/j.infsof.2024.107490,https://www.sciencedirect.com/science/article/pii/S0950584924000958,"Compares vectorization and similarity methods for information-retrieval-based automated code review, emphasizing efficiency and effectiveness.",Journal article,exclude,"Automated code review is central, but the evaluated method is information retrieval rather than LLM/generative-AI review comments.",,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ScienceDirect,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Structuring Meaningful Code Review Automation in Developer Community,Zhenzhen Cao; Sijia Lv; Xinlong Zhang; Hui Li; Qian Ma; Tingting Li; Cheng Guo; Shikai Guo,2024,"Engineering Applications of Artificial Intelligence, 106970",https://doi.org/10.1016/j.engappai.2023.106970,https://www.sciencedirect.com/science/article/pii/S0952197623011545,Structures automated code-review support around meaningful developer-community feedback and review-process needs.,Journal article,supporting,"Relevant to meaningfulness and developer-facing review automation, but the accessible metadata does not establish a direct LLM-comment evaluation focus.",,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ScienceDirect,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Using LLMs to enhance code quality: A systematic literature review,Nawaf Alomari; Moussa Redah; Ahmad Ashraf; Mohammad Alshayeb,2026,"Information and Software Technology 190, 107960",https://doi.org/10.1016/j.infsof.2025.107960,https://www.sciencedirect.com/science/article/pii/S095058492500299X,"Systematic review of LLM techniques, metrics, reliability issues, datasets, and validation practices for code-quality enhancement.",Review article,supporting,"Broader than code review but directly informs reliability, benchmark, validation, and metric choices for trade-off-aware evaluation.",,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
SpringerLink,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,DeepCRCEval: Revisiting the Evaluation of Code Review Comment Generation,Junyi Lu; Xiaojia Li; Zihan Hua; Lei Yu; Shiqi Cheng; Li Yang; Fengjun Zhang; Chun Zuo,2025,"Fundamental Approaches to Software Engineering (FASE 2025), LNCS",https://doi.org/10.1007/978-3-031-90900-9_3,https://link.springer.com/chapter/10.1007/978-3-031-90900-9_3,"Introduces a multidimensional evaluation framework for generated review comments using both human and LLM evaluators, motivated by limitations of lexical metrics.",Conference paper,core,Directly develops and validates an evaluation framework for code-review comment generation.,Published Springer version; preprint arXiv:2412.18291 is an earlier version.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
SpringerLink,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Are LLMs reliable code reviewers? systematic overcorrection in requirement conformance judgement,Haolin Jin; Huaming Chen,2026,"Automated Software Engineering 33, Article 90",https://doi.org/10.1007/s10515-026-00638-5,https://link.springer.com/article/10.1007/s10515-026-00638-5,"Measures false rejection, false acceptance, prompt-induced trade-offs, rationale consistency, and mitigation for LLM requirement-conformance judgments.",Journal article,core,"Direct reliability and mitigation evaluation of LLM code reviewers, including explicit error trade-offs.",,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
SpringerLink,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,The price of precision: the cost of preprocessing for automated code revision in code review,Shirin Pirouzkhah; Pooja Rani; Francesco Sovrano; Vincent Hellendoorn; Alberto Bacchelli,2026,"Empirical Software Engineering 31, Article 47",https://doi.org/10.1007/s10664-025-10781-4,https://link.springer.com/article/10.1007/s10664-025-10781-4,"Evaluates how preprocessing choices affect multiple automated code-revision models, including CodeLLaMA and ChatGPT, with statistical tests and several similarity metrics.",Journal article,core,Directly studies evaluation validity and the performance cost/benefit of preprocessing choices in code-review automation.,,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
