candidate_id,title,authors,year,venue_or_repository,doi_or_official_url,source_databases,supplied_label,supplied_label_reason,existing_paper_id,existing_search_candidate_id,screening_status,screening_decision,inclusion_group,evidence_location,decision_rationale,screening_reviewer,screening_date
EXT-0011,Automated Code Review Using Large Language Models at Ericsson: An Experience Report,Shweta Ramesh; Joy Bose; Hamender Singh; A. K. Raghavan; Sujoy Roychowdhury; Giriprasad Sridhara; Nishrith Saini; Ricardo Britto,2025,IEEE International Conference on Software Maintenance and Evolution (ICSME 2025),https://doi.org/10.1109/ICSME64153.2025.00061,IEEE Xplore; Semantic Scholar,core,Direct evaluation of an LLM-based code-review assistant with practitioner feedback.,,ARXIV-0164,duplicate_existing_search_queue,,,,,,
EXT-0012,Impact of an LLM-based Review Assistant in Practice: A Mixed Open-/Closed-source Case Study,Doriane Olewicki; Leuson Da Silva; Oussama Ben Sghaier; Suhaib Mujahid; Arezou Amini; Benjamin Mah; Marco Castelluccio; Sarra Habchi; Foutse Khomh; Bram Adams,2026,IEEE Transactions on Software Engineering,https://doi.org/10.1109/TSE.2026.3663093,IEEE Xplore,core,"Directly studies usefulness, workflow impact, human trust/perception, and adoption in real code review.",,,pending_title_abstract_verification,,,,,,
EXT-0013,LLaMA-Reviewer: Advancing Code Review Automation with Large Language Models through Parameter-Efficient Fine-Tuning,Junyi Lu; Lei Yu; Xiaojia Li; Li Yang; Chun Zuo,2023,IEEE International Symposium on Software Reliability Engineering (ISSRE 2023),https://doi.org/10.1109/ISSRE59848.2023.00026,IEEE Xplore; Semantic Scholar,core,Direct model and evaluation study for LLM-based code-review automation.,P15,,duplicate_existing_corpus,,,,,,
EXT-0014,Harnessing Large Language Models for Curated Code Reviews,Oussama Ben Sghaier; Martin Weyssow; Houari Sahraoui,2025,Mining Software Repositories (MSR 2025),https://doi.org/10.1109/MSR66628.2025.00039,IEEE Xplore,core,Directly addresses review-comment quality and data curation for useful generated feedback.,P18,,duplicate_existing_corpus,,,,,,
EXT-0015,Too Noisy To Learn: Enhancing Data Quality for Code Review Comment Generation,Chunhua Liu; Hong Yi Lin; Patanamon Thongtanunam,2025,Mining Software Repositories (MSR 2025),https://doi.org/10.1109/MSR66628.2025.00043,IEEE Xplore; Semantic Scholar,core,"Directly evaluates data-quality, actionability, informativeness, and relevance trade-offs in review-comment generation.",P08,,duplicate_existing_corpus,,,,,,
EXT-0016,A GPT-Based Code Review System With Accurate Feedback for Programming Education,Dong-Kyu Lee; Inwhee Joe,2025,IEEE Access 13,https://doi.org/10.1109/ACCESS.2025.3581139,IEEE Xplore,core,Directly evaluates code-review feedback and an explicit accuracy–token-cost trade-off.,,,pending_title_abstract_verification,,,,,,
EXT-0017,Can Large Language Models Serve as Evaluators for Code Summarization?,Yang Wu; Yao Wan; Zhaoyang Chu; Wenting Zhao; Ye Liu; Hongyu Zhang; Xuanhua Shi; Philip S. Yu,2025,IEEE Transactions on Software Engineering,https://doi.org/10.1109/TSE.2025.3595283,IEEE Xplore,supporting,"Not code review, but closely informs evaluator validity, rubric design, and human-alignment risks for judging generated review comments.",,,pending_title_abstract_verification,,,,,,
EXT-0018,AICodeReview: Advancing code quality with AI-enhanced reviews,Yonatha Almeida; Danyllo Albuquerque; Emanuel Dantas Filho; Filipe Muniz; K. de Farias Santos; Mirna Perkusich; Hyggo Almeida; Ayla Perkusich,2024,"SoftwareX 26, 101677",https://doi.org/10.1016/j.softx.2024.101677,ScienceDirect,core,Directly concerns AI-assisted code review and empirical evaluation.,,,pending_title_abstract_verification,,,,,,
EXT-0019,Fine-tuning and prompt engineering for large language models-based code review automation,Chanathip Pornprasit; Chakkrit Tantithamthavorn,2024,"Information and Software Technology 175, 107523",https://doi.org/10.1016/j.infsof.2024.107523,ScienceDirect,core,Direct comparative evaluation with practical performance and resource/data-availability trade-offs.,,ARXIV-0244,duplicate_existing_search_queue,,,,,,
EXT-0020,Automating modern code review processes with code similarity measurement,Yusuf Kartal; E. Kaan Akdeniz; Kemal Özkan,2024,"Information and Software Technology 173, 107490",https://doi.org/10.1016/j.infsof.2024.107490,ScienceDirect,exclude,"Automated code review is central, but the evaluated method is information retrieval rather than LLM/generative-AI review comments.",,,pending_title_abstract_verification,,,,,,
EXT-0021,Structuring Meaningful Code Review Automation in Developer Community,Zhenzhen Cao; Sijia Lv; Xinlong Zhang; Hui Li; Qian Ma; Tingting Li; Cheng Guo; Shikai Guo,2024,"Engineering Applications of Artificial Intelligence, 106970",https://doi.org/10.1016/j.engappai.2023.106970,ScienceDirect,supporting,"Relevant to meaningfulness and developer-facing review automation, but the accessible metadata does not establish a direct LLM-comment evaluation focus.",,,pending_title_abstract_verification,,,,,,
EXT-0022,Using LLMs to enhance code quality: A systematic literature review,Nawaf Alomari; Moussa Redah; Ahmad Ashraf; Mohammad Alshayeb,2026,"Information and Software Technology 190, 107960",https://doi.org/10.1016/j.infsof.2025.107960,ScienceDirect,supporting,"Broader than code review but directly informs reliability, benchmark, validation, and metric choices for trade-off-aware evaluation.",,,pending_title_abstract_verification,,,,,,
EXT-0023,DeepCRCEval: Revisiting the Evaluation of Code Review Comment Generation,Junyi Lu; Xiaojia Li; Zihan Hua; Lei Yu; Shiqi Cheng; Li Yang; Fengjun Zhang; Chun Zuo,2025,"Fundamental Approaches to Software Engineering (FASE 2025), LNCS",https://doi.org/10.1007/978-3-031-90900-9_3,Semantic Scholar; SpringerLink,core,Directly develops and validates an evaluation framework for code-review comment generation.,P01,,duplicate_existing_corpus,,,,,,
EXT-0024,Are LLMs reliable code reviewers? systematic overcorrection in requirement conformance judgement,Haolin Jin; Huaming Chen,2026,"Automated Software Engineering 33, Article 90",https://doi.org/10.1007/s10515-026-00638-5,SpringerLink,core,"Direct reliability and mitigation evaluation of LLM code reviewers, including explicit error trade-offs.",P58,,duplicate_existing_corpus,,,,,,
EXT-0025,The price of precision: the cost of preprocessing for automated code revision in code review,Shirin Pirouzkhah; Pooja Rani; Francesco Sovrano; Vincent Hellendoorn; Alberto Bacchelli,2026,"Empirical Software Engineering 31, Article 47",https://doi.org/10.1007/s10664-025-10781-4,SpringerLink,core,Directly studies evaluation validity and the performance cost/benefit of preprocessing choices in code-review automation.,,,pending_title_abstract_verification,,,,,,
EXT-0026,Balancing usefulness and naturalness: an LLM-based curation pipeline for code review comments,Oussama Ben Sghaier; Martin Weyssow; Houari Sahraoui,2026,Empirical Software Engineering,https://doi.org/10.1007/s10664-026-10928-x,SpringerLink,core,Directly addresses a central trade-off in code-review comment quality.,,ARXIV-0014,duplicate_existing_search_queue,,,,,,
EXT-0027,Formal Specification-Based Code Review via LLMs,Jiandong Li; Shaoying Liu,2026,"Theoretical Aspects of Software Engineering (TASE 2026), LNCS 16697",https://doi.org/10.1007/978-3-032-30693-7_11,SpringerLink,core,Directly evaluates an LLM code-review method with grounded formal specifications.,,,pending_title_abstract_verification,,,,,,
EXT-0028,Evaluating LLMs for Code Review,Umut Cihan; Arda İçöz; Vahid Haratian; Eray Tüzün,2025,arXiv,https://doi.org/10.48550/arXiv.2505.20206,Semantic Scholar,core,Direct evaluation of LLM code-review capability.,,ARXIV-0173,duplicate_existing_search_queue,,,,,,
EXT-0029,Prompting and Fine-tuning Large Language Models for Automated Code Review Comment Generation,Md. Asif Haider; Ayesha Binte Mostofa; Sk. Sabit Bin Mosaddek; Anindya Iqbal; Toufique Ahmed,2024,arXiv,https://doi.org/10.48550/arXiv.2411.10129,Semantic Scholar,core,Direct model-strategy evaluation for generated review comments.,P13,,duplicate_existing_corpus,,,,,,
EXT-0030,CRScore: Grounding Automated Evaluation of Code Review Comments in Code Claims and Smells,Atharva Naik; Marcus Alenius; Daniel Fried; Carolyn Rosé,2025,NAACL 2025 / arXiv,https://doi.org/10.48550/arXiv.2409.19801,Semantic Scholar,core,Direct automatic metric for grounded relevance and quality of review comments.,,ARXIV-0217,duplicate_existing_search_queue,,,,,,
