key	source_title	arxiv_url	openalex_doi	crossref_title	crossref_doi	crossref_year	crossref_score	status
p54_pereira2026_crbench	CR-Bench: Evaluating the Real-World Utility of AI Code Review Agents	https://arxiv.org/abs/2603.11078	10.1145/3696630.3728552	SWT-Bench: Testing and Validating Real-World Bug-Fixes with Code Agents	10.52202/079017-2601	2024	0.642	manual_review_required
p57_heumuller2025_relevance_reviews	On Assessing the Relevance of Code Reviews Authored by Generative Models	https://arxiv.org/abs/2512.15466	10.1007/s12559-023-10179-8	Assessing Deep Generative Models in Chemical Composition Space	10.1021/acs.chemmater.2c01860.s001		0.463	manual_review_required
p59_caglar2026_human_cr_classification	Automated Classification of Human Code Review Comments with Large Language Models	https://figshare.com/articles/conference_contribution/Automated_Classification_of_Human_Code_Review_Comments_with_Large_Language_Models/31073632/1	10.1145/3501385.3543957	Automated Code Development for PDE Solvers Using Large Language Models	10.21203/rs.3.rs-7370075/v1	2025	0.636	manual_review_required
p63_mitropoulos2026_confirmation_bias	Measuring and Exploiting Confirmation Bias in LLM-Assisted Security Code Review	https://arxiv.org/abs/2603.18740	10.1145/3774324	Confirmation Bias in LLM Pricing Recommendations	10.2139/ssrn.7111078	2026	0.504	manual_review_required
p66_khan2026_code_review_benchmarks_survey	A Survey of Code Review Benchmarks and Evaluation Practices in Pre-LLM and LLM Era	https://arxiv.org/abs/2602.13377	10.1007/s11704-026-60308-3	A Survey on Benchmarks of LLM-based GUI Agents	10.36227/techrxiv.176591818.87526814/v1	2025	0.516	manual_review_required
p69_jiang2025_deep_assessment_crg	Deep Assessment of Code Review Generation Approaches: Beyond Lexical Similarity	https://arxiv.org/abs/2501.05176	10.1086/662127	Application of Deep Learning in Source Code Similarity Assessment	10.29056/jsav.2024.12.03	2024	0.210	manual_review_required
p72_centellas_claros2026_rethinking_training_data_for_g	Rethinking Training Data for Generating Code Review Comments	https://arxiv.org/abs/2607.25851v1	10.1111/j.1460-2466.1996.tb01475.x	Source code 1. Source code files and source data for Figure 6 and source code files along with instructions for generating the data in Figure 2.	10.7554/elife.34695.013		0.317	manual_review_required
p73_gao2026_evaluating_the_impact_of_expla	Evaluating the Impact of Explainable AI on Trust in AI-Assisted Code Review	https://arxiv.org/abs/2607.24601v1	10.1145/3313831.3376590	Cracking the Code: Enhancing Trust in AI through Explainable Models	10.48047/resmil.v10i1.20	2024	0.411	manual_review_required
p74_charoenwet2026_agentic_code_review_in_the_ter	Agentic Code Review in the Terminal: A Trajectory-Level Analysis of Behavior, Cost, and Human-Alignment	https://arxiv.org/abs/2607.16740v1	10.1109/access.2019.2909530	Variability-Aware Trust in Agentic Clinical AI: Modeling and Measuring Trajectory-Level Uncertainty	10.21203/rs.3.rs-9326470/v1	2026	0.384	manual_review_required
p76_wang2026_swe_review_closing_the_loop_on	SWE-Review: Closing the Loop on Issue Resolution with Agentic Code Review	https://arxiv.org/abs/2607.06065v1	10.1007/s11704-026-60308-3	"Review for ""Closed-Loop Agentic AI in Drug Discovery"""	10.1039/d6md00319b/v2/review1	2026	0.488	manual_review_required
p79_sun2026_improving_llm_based_go_code_re	Improving LLM-Based Go Code Review through Issue-List Generation and Context Augmentation	https://arxiv.org/abs/2606.01859v1	10.1145/3770084	Improving LLM-Based Verilog Code Generation with Data Augmentation and RL	10.23919/date64628.2025.10992897	2025	0.654	manual_review_required
p89_haider2026_understanding_dominant_themes_	Understanding Dominant Themes in Reviewing Agentic AI-authored Code	https://arxiv.org/abs/2601.19287v1	10.2196/17158	Understanding Dominant Themes in Reviewing Agentic AI-authored Code	10.1145/3793302.3793566	2026	1.000	manual_review_required
p91_zhang2026_sphinx_benchmarking_and_modeli	Sphinx: Benchmarking and Modeling for LLM-Driven Pull Request Review	https://arxiv.org/abs/2601.04252v1	10.18653/v1/2025.acl-long.839	An LLM-Agentic Workflow for Data-Driven Modeling: From Image Reconstruction to Thermodynamic Modeling	10.21203/rs.3.rs-8574739/v2	2026	0.407	manual_review_required
p93_meng2025_when_more_retrieval_hurts_retr	When More Retrieval Hurts: Retrieval-Augmented Code Review Generation	https://arxiv.org/abs/2511.05302v2	10.18653/v1/2024.findings-acl.267	Retrieval Augmented Generation for HPC Code Optimization	10.31274/cc-20260223-58	2025	0.484	manual_review_required
p94_li2025_issue_oriented_agent_based_fra	Issue-Oriented Agent-Based Framework for Automated Review Comment Generation	https://arxiv.org/abs/2511.00517v1	10.1080/00461520.2016.1207538	Issue-Oriented Agent-Based Framework for Automated Review Comment Generation	10.1145/3817606	2026	1.000	manual_review_required
p96_mandal2025_grounded_ai_for_code_review_re	Grounded AI for Code Review: Resource-Efficient Large-Model Serving in Enterprise Pipelines	https://arxiv.org/abs/2510.10290v1	10.1371/journal.pdig.0000877	Resource-Efficient Model Deployment for Enterprise AI	10.1007/978-3-032-01940-0_1	2025	0.559	manual_review_required
p98_yu2025_fine_tuning_llms_to_analyze_mu	Fine-Tuning LLMs to Analyze Multiple Dimensions of Code Review: A Maximum Entropy Regulated Long Chain-of-Thought Approach	https://arxiv.org/abs/2509.21170v1	10.48550/arxiv.2401.05561	Efficient Long Chain-of-Thought Elicitation through Synthetic Data Generation and Targeted Fine-Tuning	10.36227/techrxiv.176369747.70179230/v1	2025	0.296	manual_review_required
p103_wong2025_a_note_on_code_quality_score_l	A Note on Code Quality Score: LLMs for Maintainable Large Codebases	https://arxiv.org/abs/2508.02732v1	10.1109/access.2025.3533217	Fortifying Codebases: Secure Code Generation and Vulnerability Assessment with LLMs	10.52783/jisem.v10i40s.7541	2025	0.216	manual_review_required
p104_begolli2025_fine_tuning_multilingual_langu	Fine-Tuning Multilingual Language Models for Code Review: An Empirical Study on Industrial C\# Projects	https://arxiv.org/abs/2507.19271v2	10.1162/coli_a_00502	Adapter Based Fine-Tuning of Pre-Trained Multilingual Language Models for Code-Mixed and Code-Switched Text Classification	10.21203/rs.3.rs-1564359/v1	2022	0.568	manual_review_required
p107_kapadnis2025_crscore_reinforcement_learning	CRScore++: Reinforcement Learning with Verifiable Tool and AI Feedback for Code Review	https://arxiv.org/abs/2506.00296v1	10.1587/transinf.2025edr0002	AI-Augmented Code Review Systems: A Modular Architecture for Intelligent Feedback and Continuous Learning	10.36227/techrxiv.175695606.62787153/v1	2025	0.203	manual_review_required
p109_lu2025_towards_practical_defect_focus	Towards Practical Defect-Focused Automated Code Review	https://arxiv.org/abs/2505.17928v2	10.1109/wacv48630.2021.00257	Towards practical automated software testing	10.14711/thesis-991012758169803412		0.673	manual_review_required
p112_klishevich2025_measuring_determinism_in_large	Measuring Determinism in Large Language Models for Software Code Review	https://arxiv.org/abs/2502.20747v1	10.1038/s43856-024-00717-2	Measuring how changes in code readability attributes affect code quality evaluation by Large Language Models	10.5753/sbes.2025.9603	2025	0.413	manual_review_required
p113_yu2024_distilling_desired_comments_fo	Distilling Desired Comments for Enhanced Code Review with Large Language Models	https://arxiv.org/abs/2412.20340v2	10.1007/s43621-025-00815-8	"Review for ""Distilling and exploiting quantitative insights from Large Language Models for enhanced Bayesian optimization of chemical reactions"""	10.1039/d6dd00052e/v1/review3	2026	0.380	manual_review_required
p114_kumar2024_code_review_automation_via_mul	Code Review Automation Via Multi-task Federated LLM -- An Empirical Study	https://arxiv.org/abs/2412.15676v1	10.1016/j.patter.2024.101098	Merging LoRA Adapters for Multi-Task Code Analysis: An Empirical Study of Linear Combination and Task Interference	10.21203/rs.3.rs-9189872/v1	2026	0.448	manual_review_required
p122_zhao2023_the_right_prompts_for_the_job_	The Right Prompts for the Job: Repair Code-Review Defects with Large Language Model	https://arxiv.org/abs/2312.17485v1	10.48550/arxiv.2303.10130	Evaluating Pre-Trained Large Language Models on Zero Shot Prompts for Parallelization of Source Code	10.2139/ssrn.5114036	2025	0.363	manual_review_required
