ID,BibTeX Key,Source Title,Source Year,Main Topic Area,Main Relevance to Our Paper,Gap / Limitation Type,Source Verification Status
P34,p34_he2025_code_courtroom,From Code to Courtroom: LLMs as the New Software Judges,2025,LLM-as-a-Judge in software engineering,Frames LLMs as judges for software artifacts and discusses conventional metric limitations.,Empirical-evidence gap,Verified public source
P35,p35_mcaleese2024_llm_critics,LLM Critics Help Catch LLM Bugs,2024,LLM critics / verification,Useful for critic-based verification and catching model-generated issues.,Transferability risk,Verified public source
P36,p36_li2024_llms_as_judges,LLMs-as-Judges: A Comprehensive Survey on LLM-based Evaluation Methods,2024,LLM-as-a-Judge survey,General survey on LLM-as-judge methodology and limitations.,Survey-scope mismatch,Verified from Drive PDF / arXiv
P37,p37_sadowski2018_google_mcr,Modern Code Review: A Case Study at Google,2018,Modern code review,Defines industrial motivations and realities of modern code review at scale.,Historical/pre-LLM scope,Verified public source
P38,p38_bacchelli2013_expectations_mcr,"Expectations, Outcomes, and Challenges of Modern Code Review",2013,Modern code review,Shows code review is not only defect finding; includes knowledge transfer and team awareness.,Historical/pre-LLM scope,Verified public source
P39,p39_bosu2015_useful_reviews,Characteristics of Useful Code Reviews: An Empirical Study at Microsoft,2015,Useful code reviews,Empirically studies what makes code review feedback useful in industry.,Historical/pre-LLM scope,Verified public source
P40,p40_ram2018_reviewability,What Makes a Code Change Easier to Review? An Empirical Investigation on Code Change Reviewability,2018,Code change reviewability,"Defines reviewability factors such as change description, size, and coherent commit history.",Input-quality scope,Verified public source / aligned with Drive PDF P40_code_change_reviewability.pdf
P41,p41_widyasari2025_explaining_explanations,Explaining Explanations: An Empirical Study of Explanations in Code Reviews,2025,Explanations in code reviews,Useful for understanding explanation quality in review comments.,Partial-failure coverage,Verified from user-provided ACM Digital Library page and DOI
P42,p42_wasserbaech2024_chatgpt_github,An empirical study on developers' shared conversations with ChatGPT in GitHub pull requests and issues,2024,ChatGPT in GitHub collaboration,Shows how developers share ChatGPT conversations in real GitHub PRs/issues.,Observational-validity risk,Verified from user-provided Springer publication page and DOI
P43,p43_zhang2026_llm_se_survey,A survey on large language models for software engineering,2026,LLMs for software engineering,Broad survey for positioning LLMs in SE and common evaluation issues.,Survey-scope mismatch,Verified from Drive PDF and user-provided Springer link
P44,p44_jiang2025_code_generation_survey,A Survey on Large Language Models for Code Generation,2026,LLMs for code generation,Useful for general evaluation issues in LLM-based coding tasks.,Survey-scope mismatch,Verified from Drive PDF / ACM DOI
P45,p45_zheng2023_code_llm_survey,"A Survey of Large Language Models for Code: Evolution, Benchmarking, and Future Trends",2023,LLMs for code,Background on code-specific LLMs and evaluation trends.,Survey-scope mismatch,Verified from Drive PDF / arXiv
P46,p46_zhou2025_vulnerability_repair,Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead,2025,LLMs for vulnerability detection/repair,Relevant to secure review and vulnerability detection/repair evaluation.,Domain-specific scope,Verified from user-provided ACM Digital Library page and DOI
P47,p47_qu2025_misalignment_survey,Beyond Intentions: A Critical Survey of Misalignment in LLMs,2025,LLM misalignment,"Broad framing for misalignment, hallucination, and evaluation reliability.",Conceptual-scope mismatch,Verified from Drive PDF
P48,p48_patcas2026_code_quality_issues,An evaluation study of large language models for addressing code quality issues,2026,LLMs for code quality issues,Relevant to static-analysis-driven code quality issue repair and evaluation of LLM fixes.,Workflow-decision gap,Verified public source
P49,p49_lee2025_metamon,METAMON: Finding Inconsistencies between Program Documentation and Behavior using Metamorphic LLM Queries,2025,Documentation-behavior inconsistency,Useful for thinking about context/documentation-code inconsistency and hallucination prevention.,Context-quality scope,Verified from user-provided IEEE Xplore publication page and DOI
P50,p50_peng2025_coffe,COFFE: A Code Efficiency Benchmark for Code Generation,2025,Code efficiency benchmark,Background benchmark for non-functional quality and evaluation design.,Task-scope mismatch,Verified from Drive PDF
P51,p51_davila2021_mcr_slr_taxonomy,A Systematic Literature Review and Taxonomy of Modern Code Review,2021,Modern code review taxonomy,Modern code review background; taxonomy/synthesis legitimacy; gaps in MCR support and evaluation.,Historical/pre-LLM scope,Verified from user-provided ScienceDirect official publication page
P52,p52_tufano2021_automating_code_review_activities,Towards Automating Code Review Activities,2021,Code review automation,Pre-LLM code review automation; cost framing; contributor-side and reviewer-side automation tasks.,Preservation/cost gap,Verified from user-provided DOI landing page / IEEE publication metadata
P53,p53_tufano2024_code_review_automation_strengths_weaknesses,Code Review Automation: Strengths and Weaknesses of the State of the Art,2024,Code review automation,Qualitative success/failure taxonomy for code review automation; dataset issues; why quantitative metrics alone are insufficient.,Evaluation-framework gap,Verified from user-provided DOI landing page / IEEE publication metadata
P54,p54_pereira2026_crbench,CR-Bench: Evaluating the Real-World Utility of AI Code Review Agents,2026,Code review agent benchmark,"Directly supports decision-level evaluation for code review agents, false-positive cost, and the trade-off between issue resolution and spurious findings.",Benchmark-scope / workflow-validity gap,Synced from GitHub main references/references.bib
P55,p55_cihan2025_acr_practice,Automated Code Review in Practice,2025,Industrial LLM-based automated code review,"Strong workflow evidence: resolved automated comments, longer PR closure time, faulty reviews, unnecessary corrections, and irrelevant comments.",Industrial generalizability / decision-level gap,Synced from GitHub main references/references.bib
P56,p56_alami2025_human_machine,Human and Machine: How Software Engineers Perceive and Engage with AI-Assisted Code Reviews Compared to Their Peers,2025,Human-centered AI-assisted code review,"Supports the human side of useful-feedback preservation, trust, lack of context, cognitive load, and engagement with LLM feedback.",Human-centered / controlled-evaluation gap,Synced from GitHub main references/references.bib
P57,p57_heumuller2025_relevance_reviews,On Assessing the Relevance of Code Reviews Authored by Generative Models,2025,Evaluation of generated code review relevance,"Directly supports evaluator-validity concerns around single ground truth, usefulness ambiguity, and multi-subjective ranking of generated reviews.",Evaluator-validity / workflow-transfer gap,Synced from GitHub main references/references.bib
P58,p58_jin2026_reliable_code_reviewers,Are LLMs Reliable Code Reviewers? Systematic Overcorrection in Requirement Conformance Judgement,2026,LLM code reviewer reliability,"Important for verifier risk: LLMs may overcorrect and misclassify correct implementations as defective, affecting false suppression and evaluator validity.",Task-scope / verifier-validity gap,Synced from GitHub main references/references.bib
P59,p59_caglar2026_human_cr_classification,Automated Classification of Human Code Review Comments with Large Language Models,2026,Human code review comment classification,Useful for taxonomy construction: introduces fine-grained issue categories for human review comments and highlights evidence-sensitive labels.,Taxonomy-transfer / evidence-sensitivity gap,Synced from GitHub main references/references.bib
P60,p60_ahmed2025_feedback_useful,Hold on! is my feedback useful? evaluating the usefulness of code review comments,2025,Usefulness of code review comments,Directly supports useful-feedback preservation by defining and predicting usefulness of code review comments across datasets.,Usefulness-only / decision-level gap,Synced from GitHub main references/references.bib
P61,p61_oliveira2026_ai_scaffold,AI-Assisted Code Review as a Scaffold for Code Quality and Self-Regulated Learning: An Experience Report,2026,Study AI-assisted PR review as scaffold for code quality and self-regulated learning in capstone projects.,"Supporting evidence for in-workflow AI reviewer effects, human-in-the-loop use, responsiveness, guidance, and over-reliance risk.","Use as supporting evidence for in-workflow deployment, guidance, responsiveness, and over-reliance risk.",Synced from GitHub main references/references.bib
P62,p62_khare2025_deputydev,DeputyDev -- AI Powered Developer Assistant: Breaking the Code Review Logjam through Contextual AI to Boost Developer Productivity,2025,Evaluate the impact of contextual AI review assistant on code review productivity metrics.,Supporting industrial evidence for contextual AI review and productivity metrics such as review duration reduction.,Use as supporting evidence for workflow productivity metrics and contextual AI deployment.,Synced from GitHub main references/references.bib
P63,p63_mitropoulos2026_confirmation_bias,Measuring and Exploiting Confirmation Bias in LLM-Assisted Security Code Review,2026,LLM-assisted security code review bias,Useful for context/provenance risk: prompt framing and PR metadata can bias LLM-assisted security review and increase false negatives.,Security-specific / bias-risk gap,Synced from GitHub main references/references.bib
P64,p64_thornton2026_adversarial_comments,Can Adversarial Code Comments Fool AI Security Reviewers -- Large-Scale Empirical Study of Comment-Based Attacks and Defenses Against LLM Code Analysis,2026,Adversarial comments in AI security review,"Useful for context trade-offs: adversarial comments had limited effect, while comment stripping could remove helpful context for weaker models.",Security-specific / context-generalization gap,Synced from GitHub main references/references.bib
P65,p65_ameen2026_qasecclaw,QASecClaw: A Multi-Agent LLM Approach for False Positive Reduction in Static Application Security Testing,2026,Reduce SAST false positives using multi-agent LLM contextual code review while tracking recall impact.,Specialized evidence for false-positive reduction with LLM-assisted contextual review and the recall trade-off in static-analysis workflows.,Use as supporting evidence for static-analysis-guided mitigation and false-positive versus recall trade-offs.,Synced from GitHub main references/references.bib
P66,p66_khan2026_code_review_benchmarks_survey,A Survey of Code Review Benchmarks and Evaluation Practices in Pre-LLM and LLM Era,2026,Code review benchmark survey,"Directly supports related-work positioning by surveying code-review benchmark papers and extracting datasets, metrics, data sources, and target tasks across pre-LLM and LLM eras.",Survey-scope / decision-level gap,Synced from GitHub main references/references.bib
P67,p67_bernstein2025_trust_me_function,"Trust Me, I Know This Function: Hijacking LLM Static Analysis using Bias",2026,Show that familiar code patterns can bias LLM static-analysis agents and cause missed bugs.,Supporting evidence for LLM-based code analysis bias: familiar-pattern attacks can cause models to overlook small but meaningful bugs in static analysis and review-like settings.,Use as supporting evidence for evaluator/assistant bias and robustness threats in code-analysis-based review.,Synced from GitHub main references/references.bib
P68,p68_li2025_cotdeceptor,CoTDeceptor: Adversarial Code Obfuscation Against CoT-Enhanced LLM Code Agents,2025,LLM code-agent adversarial robustness,Supporting evidence for robustness risks in CoT-enhanced LLM code agents used for code review or security auditing tasks.,Security/adversarial robustness scope gap,Synced from GitHub main references/references.bib
P69,p69_jiang2025_deep_assessment_crg,Deep Assessment of Code Review Generation Approaches: Beyond Lexical Similarity,2025,Critique lexical metrics for code review generation and propose deeper assessment using human and semantic evaluation.,Directly critiques lexical metrics and introduces GradedReviews with human assessment and semantic/ChatGPT-based review scoring.,Use as evidence for limitations of lexical metrics and for designing human-aligned evaluation dimensions.,Synced from GitHub main references/references.bib
P70,p70_guo2023_chatgpt_code_refinement,Exploring the Potential of ChatGPT in Automated Code Refinement: An Empirical Study,2024,Evaluate ChatGPT for applying code review comments to refine code and compare with prior automated code refinement approaches.,Supports code-review automation background by evaluating ChatGPT on code refinement based on review comments and identifying limitations.,"Use as supporting evidence for code-review automation background and model limitations, not as a core mitigation-tradeoff paper.",Synced from GitHub main references/references.bib
P71,p71_caumartin2024_llama_code_refinement,Exploring the Potential of Llama Models in Automated Code Refinement: A Replication Study,2025,"Replicate automated code refinement experiments with open-source Llama and CodeLlama models, including cost and privacy motivation.",Replication of ChatGPT automated code refinement with open-source Llama/CodeLlama models; useful for cost/privacy alternatives and model-choice sensitivity.,"Use as supporting evidence for model-choice, cost, privacy, and replication concerns in code-review automation.",Synced from GitHub main references/references.bib
