rank,title,authors,publication_type,published_date,publication,doi,url,abstract_snippet
15,Execution-free Agentic Program Repair for Enterprise-Scale Development,Saurabh Bodhe; Sanjukta De; Subhayan Roy; Jaydip Pokiya; Indira Vats; Sehajpreet Kaur; Xuemeng Li; Lejin Varghese; Yonas Bedasso; Max Kiehn,research-article,July 2026,FORGE '26: Proceedings of the 2026 IEEE/ACM Third International Conference on AI Foundation Models and Software Engineering,10.1145/3793655.3793739,https://dl.acm.org/doi/10.1145/3793655.3793739,"Automated program repair (APR) has advanced with large language models (LLMs), yet most systems rely on test execution for validation, which is impractical for industrial C++ codebases with complex dependencies and lengthy build cycles. We present ..."
16,From Human to Machine Refactoring: Assessing GPT-4’s Impact on Python Class Quality and Readability,Alessandro Midolo; Emiliano Tramontana; Massimiliano Di Penta,research-article,July 2026,FORGE '26: Proceedings of the 2026 IEEE/ACM Third International Conference on AI Foundation Models and Software Engineering,10.1145/3793655.3793733,https://dl.acm.org/doi/10.1145/3793655.3793733,"Refactoring is a software engineering practice that aims to improve code quality without altering program behavior. Although automated refactoring tools have been extensively studied, their practical applicability remains limited. Recent advances in Large ..."
17,FORGE '26: Proceedings of the 2026 IEEE/ACM Third International Conference on AI Foundation Models and Software Engineering,,proceeding,July 2026,,10.1145/3793655,https://dl.acm.org/doi/proceedings/10.1145/3793655,
18,Images Negotiating With Each Other,Roman Mitch,poster,July 2026,SIGGRAPH Posters '26: Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Posters,10.1145/3799825.3818771,https://dl.acm.org/doi/10.1145/3799825.3818771,"Agentic Images is a rule-based multi-agent drawing engine in which autonomous agents carry source works into a shared canvas and negotiate territory frame by frame. There is no training corpus, no large language model, no diffusion. The claim of agency is ..."
19,SIGGRAPH Posters '26: Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Posters,Chris Redmann; Tuur Stuyck,proceeding,July 2026,,10.1145/3799825,https://dl.acm.org/doi/proceedings/10.1145/3799825,
20,Integrating Static Analysis with Learning-Based Systems for Automated Code Review,Imen Jaoua,short-paper,July 2026,FSE Companion '26: Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,10.1145/3803437.3804441,https://dl.acm.org/doi/10.1145/3803437.3804441,"Code review is a crucial but often complex, subjective, and time-consuming task in software development. Early automation efforts relied on knowledge-based systems (KBS), which offer precise rule-driven feedback but are limited in handling complex, ..."
21,BackportCheck: An Open-Source Tool to Support Backport Decisions in Large Software Ecosystems,Salma Sghaier; Mohamed Anas Daoud; Marouene Chaieb; Moataz Chouchen; Mohammad Hamdaqa; Mohamed Wiem Mkaouer,short-paper,July 2026,FSE Companion '26: Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,10.1145/3803437.3806423,https://dl.acm.org/doi/10.1145/3803437.3806423,"Backporting changes to stable releases is a critical yet high-stakes maintenance task. In practice, large-scale ecosystems like Open-Stack rely on explicit governance rules for stable branches, where many repositories enforce that changes cannot be ..."
22,"Code Reviewer Recommendation for High Risk Diffs at Scale: Workflow, Recommender, and Live Experiments",Aishwarya Girish Paraspatki; Brandon Reznicek; Rui Abreu; Ford Garberson; Audris Mockus; Nachiappan Nagappan; Peter C Rigby,research-article,July 2026,FSE Companion '26: Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,10.1145/3803437.3805220,https://dl.acm.org/doi/10.1145/3803437.3805220,"Code review is an important gate for code changes, but review effort and expertise are limited. Defect prediction and just-in-time risk modeling aim to identify changes that are most likely to introduce defects so that teams can focus additional ..."
23,Who Wrote This Patch? Toward Accountable Automated Program Repair,Huaijin Ran; Haoyi Zhang; Kisub Kim; Xunzhu Tang,short-paper,July 2026,FSE Companion '26: Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,10.1145/3803437.3805552,https://dl.acm.org/doi/10.1145/3803437.3805552,"Automated Program Repair (APR) has evolved from academic curiosity to industrial necessity. Large Language Model-based repair tools now generate patches at unprecedented scale, yet this deployment creates an accountability vacuum: when AI-generated ..."
24,Evaluating Explanatory Artefacts of DSAR-Recovered Software Architectures from Industrial Codebases,Satrio Adi Rukmono; Lina Ochoa; Thijs Bressers; Jacob Krüger; Michel Chaudron,research-article,July 2026,FSE Companion '26: Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,10.1145/3803437.3805259,https://dl.acm.org/doi/10.1145/3803437.3805259,"Understanding large, complex software architectures is difficult and time-consuming. Software architecture recovery aims to extract explanatory artefacts from code, but existing methods often lack generalisability. To address this, we previously proposed ..."
25,A Vision for Context-Aware CI Adoption Decisions,Osamah H. Alaini; Taher A. Ghaleb,short-paper,July 2026,FSE Companion '26: Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,10.1145/3803437.3805586,https://dl.acm.org/doi/10.1145/3803437.3805586,"Continuous Integration (CI) is widely adopted in modern software development, yet adoption decisions are often made without systematic consideration of project context. Platforms such as GitHub Actions lower the barrier to CI adoption but provide limited ..."
26,Sustainable AI Assistance Through Digital Sobriety,Madeline Jennings; Novarun Deb; Ronnie de Souza Santos,research-article,July 2026,FSE Companion '26: Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,10.1145/3803437.3805551,https://dl.acm.org/doi/10.1145/3803437.3805551,"As AI assistants become commonplace in daily life, the demand for solutions that reduce the cost of inference without sacrificing utility is increasing. Existing work on AI sustainability frequently emphasizes hardware and software optimizations; however,..."
27,Does In-IDE Calibration of Large Language Models work at Scale?,Roham Koohestani; Agnia Sergeyuk; David Gros; Claudio Spiess; Sergey Titov; Premkumar Devanbu; Maliheh Izadi,research-article,July 2026,FSE Companion '26: Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,10.1145/3803437.3805234,https://dl.acm.org/doi/10.1145/3803437.3805234,"Code assistants powered by large language models are now embedded in integrated development environments, yet developers lack reliable signals for when to trust generated code. Model confidence could serve as a signal, but only if it accurately reflects ..."
28,ADSDx: Towards Automated Accident Diagnosis for High-level Autonomous Driving Systems,Zongan Huang; Jiarun Dai; Mingyuan Luo; Yuqi Chen; Huijia Sun; Yuan Zhang; Min Yang,research-article,July 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 8",10.1145/3783993,https://dl.acm.org/doi/10.1145/3783993,"Safety remains the primary obstacle to the widespread deployment of high-level autonomous driving systems (ADS). Therefore, manufacturers are in severe need of techniques to detect and mitigate safety-critical ADS faults. Although various ADS testing ..."
29,Knowledge-Guided Prompt Learning for Request Quality Assurance in Public Code Review,Lin Li; Xinchun Yu; Xinyu Chen; Peng Liang,research-article,July 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 8",10.1145/3779056,https://dl.acm.org/doi/10.1145/3779056,"Public Code Review (PCR) is developed in the Software Question Answering (SQA) community, assisting developers in exploring high-quality and efficient review services. Current methods on PCR mainly focus on the reviewer’s perspective, including finding a ..."
30,Using LLMs in Generating Design Rationale for Software Architecture Decisions,Xiyu Zhou; Ruiyin Li; Peng Liang; Beiqi Zhang; Mojtaba Shahin; Zengyang Li; Chen Yang,research-article,July 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 8",10.1145/3785010,https://dl.acm.org/doi/10.1145/3785010,"Design Rationale (DR) for software architecture decisions refers to the reasoning underlying architectural choices, which provides valuable insights into the different phases of the architecting process throughout software development. However, in ..."
31,"Engagement in Code Review: Emotional, Behavioral, and Cognitive Dimensions in Peer vs. LLM Interactions",Adam Alami; Nathan Cassee; Thiago Rocha Silva; Elda Paja; Neil A. Ernst,research-article,July 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3830405,https://dl.acm.org/doi/10.1145/3830405,"Code review is a socio-technical practice, yet how software engineers engage in Large Language Model (LLM)-assisted code reviews compared to human peer-led reviews is less understood, especially as artificial intelligence (AI) tools are increasingly ..."
32,Confidence vs. Competence: Misalignment in Judgment and Performance for Agentic Software Repair,Mingyue Yuan; Jieshan Chen; Dehai Zhao; Gelareh Mohammadi; Yoshifumi Kitamura; Aaron John Quigley; Qinghua Lu; Zhenchang Xing,research-article,July 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3822603,https://dl.acm.org/doi/10.1145/3822603,"While Large Language Model (LLM) agents are increasingly applied to automated software repair, misalignment remains in how humans and agents judge issue conditions and how agents’ pre-execution self-assessments relate to repair competence. Human ..."
33,More than a Judge: An Empirical Study of Agent-Human Interaction in Crowdsourced Testing Assessment,Yue Wang; Yuan Zhao; Shengcheng Yu; Zhenyu Chen; Qing Gu,research-article,July 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3828168,https://dl.acm.org/doi/10.1145/3828168,"Agentic AI is increasingly being integrated into software engineering workflows, and crowdsourced testing is no exception. In this setting, the large volume and uneven quality of submitted test reports still create a substantial review burden for ..."
34,CyDeBoost: A SHAP-Guided Boosting Strategy Framework for Cyberbullying Detection through Mistake-Driven Learning,Shih-Wei Guo; Yao-Chung Fan,research-article,July 2026,"ACM Transactions on the Web (TWEB), Just Accepted",10.1145/3831585,https://dl.acm.org/doi/10.1145/3831585,"The widespread use of online social media has increased the urgency of detecting and mitigating harmful language, such as cyberbullying. Traditional detection systems often struggle with semantically ambiguous and context-dependent expressions, leading to ..."
35,Prompting Without Principles: Are Students Transferring Software Engineering Knowledge to LLM Use?,Leonardo Sousa; Ipek Ozkaya; James Ivers; Celina Cywinska; Bingyu Xie; Mena Kostial; Tapajit Dey; Robert Edman,research-article,July 2026,ICSE-SEET '26: Proceedings of the IEEE/ACM 48th International Conference on Software Engineering,10.1145/3786580.3786990,https://dl.acm.org/doi/10.1145/3786580.3786990,"Generative AI (GenAI), in particular large language models (LLMs), have rapidly become part of software engineers’ toolboxes. While the software engineering community has been actively debating efficacy and extent of use of GenAI tools, little is known ..."
36,ICSE-SEET '26: Proceedings of the IEEE/ACM 48th International Conference on Software Engineering,,proceeding,July 2026,,10.1145/3786580,https://dl.acm.org/doi/proceedings/10.1145/3786580,
37,RovoDev Code Reviewer: A Large-Scale Online Evaluation of LLM-based Code Review Automation at Atlassian,Kla Tantithamthavorn; Yaotian Zou; Andy Wong; Michael Gupta; Zhe Wang; Mike Buller; Ryan Jiang; Matthew Watson; Minwoo Jeong; Kun Chen; Ming Wu,research-article,July 2026,ICSE-SEIP '26: Proceedings of the IEEE/ACM 48th International Conference on Software Engineering: Software Engineering in Practice,10.1145/3786583.3786851,https://dl.acm.org/doi/10.1145/3786583.3786851,"Large Language Models (LLMs)-powered code review automation has the potential to transform code review workflows. Despite the advances of LLM-powered code review comment generation approaches, several practical challenges remain for designing enterprise-..."
38,"Less Effort, More Productivity: Lessons Learned from Developing Millions of Lines of Code with Large Language Model",Yu Duan; Daiyang Zhang; Zhiping Jiang; Zhuoyu Xie; Yiming Liu; Yueshen Xu; Rui Li; Di Cui,research-article,July 2026,ICSE-SEIP '26: Proceedings of the IEEE/ACM 48th International Conference on Software Engineering: Software Engineering in Practice,10.1145/3786583.3786872,https://dl.acm.org/doi/10.1145/3786583.3786872,"With the emergence of large language models (LLMs), developers can contribute code more effectively and efficiently by utilizing LLMs to generate code snippets. Thus, a variety of downstream development tasks, such as feature implementation and program ..."
39,On the Evaluation of Large Language Models in Multilingual Vulnerability Repair,Dong Wang; Junji Yu; Honglin Shu; Michael Fu; Chakkrit Tantithamthavorn; Yasutaka Kamei; Junjie Chen,research-article,July 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 7",10.1145/3771930,https://dl.acm.org/doi/10.1145/3771930,"Various Deep Learning-based approaches with pre-trained language models have been proposed for automatically repairing software vulnerabilities. However, these approaches are limited to a specific programming language (C/C++). Recent advances in Large ..."
40,Find My Code Twin: Improving SNIPPET SEARCH Performance Using LLMs in Practice,Seokjun Ko; Eunbi Jang; Dahyeon Choi; Daeha Ryu; Jinyoung Park; Chang-Seo Park,research-article,July 2026,ICSE-SEIP '26: Proceedings of the IEEE/ACM 48th International Conference on Software Engineering: Software Engineering in Practice,10.1145/3786583.3786881,https://dl.acm.org/doi/10.1145/3786583.3786881,"We present SNIPPET SEARCH, a high-performance code clone detection and code snippet search framework deployed at Samsung Electronics to support multiple programming languages in real-world development environments. The system employs a two-stage approach ..."
41,ICSE-SEIP '26: Proceedings of the IEEE/ACM 48th International Conference on Software Engineering: Software Engineering in Practice,,proceeding,July 2026,,10.1145/3786583,https://dl.acm.org/doi/proceedings/10.1145/3786583,
42,GAS '26: Proceedings of the ACM/IEEE 10th International Workshop on Games and Software Engineering,,proceeding,July 2026,,10.1145/3786171,https://dl.acm.org/doi/proceedings/10.1145/3786171,"GAS is an annual workshop that brings together researchers and practitioners interested in the intersection of game engineering and software engineering. GAS provides a forum to discuss how games, serious games, and gamified systems influence and challenge ..."
43,ICSE-NIER '26: Proceedings of the IEEE/ACM 48th International Conference on Software Engineering,,proceeding,July 2026,,10.1145/3786582,https://dl.acm.org/doi/proceedings/10.1145/3786582,
44,ICSE-SEIS '26: Proceedings of the IEEE/ACM 48th International Conference on Software Engineering,Maria Teresa Baldassarre; Eduardo Santana de Almeida,proceeding,July 2026,,10.1145/3786581,https://dl.acm.org/doi/proceedings/10.1145/3786581,
45,LLM4Code '26: Proceedings of the 3rd International Workshop on Large Language Models For Code,,proceeding,July 2026,,10.1145/3786181,https://dl.acm.org/doi/proceedings/10.1145/3786181,"Welcome to the third edition of the International Workshop on Large Language Models for Code (LLM4Code), co-located with the 48th International Conference on Software Engineering (ICSE 2026). Large Language Models (LLMs) have achieved significant advances ..."
46,Wink: Recovering from Misbehaviors in Coding Agents,Rahul Nanda; Chandra Maddila; Smriti Jha; Euna Mehnaz Khan; Matteo Paltenghi; Satish Chandra,research-article,July 2026,AIware '26: Proceedings of the 3rd ACM International Conference on AI-Powered Software,10.1145/3805760.3814911,https://dl.acm.org/doi/10.1145/3805760.3814911,"Autonomous coding agents, powered by large language models (LLMs), are increasingly being adopted in the software industry to automate complex engineering tasks. However, these agents are prone to a wide range of misbehaviors, such as deviating from the ..."
47,PROMISE '26: Proceedings of the 22nd International Conference on Predictive Models and Data Analytics in Software Engineering,,proceeding,July 2026,,10.1145/3803846,https://dl.acm.org/doi/proceedings/10.1145/3803846,
48,AIware '26: Proceedings of the 3rd ACM International Conference on AI-Powered Software,Tse-Hsun (Peter) Chen; Chao Peng; Baishakhi Ray,proceeding,July 2026,,10.1145/3805760,https://dl.acm.org/doi/proceedings/10.1145/3805760,"Welcome to the 3rd ACM International Conference on AI-Powered Software (AIware 2026), held on 6th and 7th July 2026 in Montreal, Canada, co-located with the ACM International Conference on the Foundations of Software Engineering (FSE 2026). Following the ..."
49,"AI-SQE '26: Proceedings of the 1st International Workshop on AI for Software Quality Evaluation - Judgment, Metrics, Benchmarks, and Beyond",,proceeding,July 2026,,10.1145/3786175,https://dl.acm.org/doi/proceedings/10.1145/3786175,
50,SERS '26: Proceedings of the 2026 1st International Workshop on Software Engineering and Research Software,,proceeding,July 2026,,10.1145/3786172,https://dl.acm.org/doi/proceedings/10.1145/3786172,
51,SWR-Bench: Assessing LLM Performance in Real-World Code Review Comment Generation,Zhengran Zeng; Ruikai Shi; Keke Han; Yixin Li; Kaicheng Sun; Yidong Wang; Zhuohao Yu; Rui Xie; Wei Ye; Shikun Zhang,research-article,June 2026,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 3, Issue FSE",10.1145/3808144,https://dl.acm.org/doi/10.1145/3808144,"Automated Code Review (ACR) is crucial for software quality, yet existing benchmarks often fail to reflect real-world complexities, hindering the evaluation of modern Large Language Models (LLMs). Current benchmarks frequently focus on fine-grained code ..."
52,ScanCoder: Leveraging Human Attention Patterns to Enhance LLMs for Code,Yueke Zhang; Yifan Zhang; Zihan Fang; Greg Trafton; Daniel Levin; Kevin Leach; Yu Huang,research-article,June 2026,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 3, Issue FSE",10.1145/3808150,https://dl.acm.org/doi/10.1145/3808150,"Code comprehension is a fundamental challenge in software engineering that impacts developer productivity and software quality. While Large Language Models (LLMs) demonstrate strong capabilities in code generation and summarization, they process code ..."
53,"Unveiling AI-Driven Web Applications: Insights into Characteristics, Functionality, and Compliance",Liuhuo Wan; Zicong Liu; Chuan Yan; Liujia Wan; Naipeng Dong; Zi Huang; Guangdong Bai,research-article,June 2026,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 3, Issue FSE",10.1145/3808168,https://dl.acm.org/doi/10.1145/3808168,"Collaborative platforms such as Google Workspace, Microsoft Teams, and Zoom increasingly rely on third-party applications (referred to as plugins) to extend their core functionalities, with AI-assisted plugins emerging as a key driver of productivity. ..."
54,Improving LLM-assisted code generation through the use of architectural documents and implementation plans.,Humberto Cervantes; Rick Kazman; Yuanfang Cai,research-article,June 2026,Designing '26: Proceedings of the 3rd International Workshop on Designing Software,10.1145/3786152.3788588,https://dl.acm.org/doi/10.1145/3786152.3788588,"In this paper, we investigate LLM-assisted code generation using architectural documentation as a first-class input. Building on prior work that guides LLMs through Attribute-Driven Design (ADD), we propose a workflow in which the LLM synthesizes an ..."
55,Designing '26: Proceedings of the 3rd International Workshop on Designing Software,Michel R. V. Chaudron; Kiev Gama; Eunsuk Kang; Lu Xiao,proceeding,June 2026,,10.1145/3786152,https://dl.acm.org/doi/proceedings/10.1145/3786152,"The goals of this workshop are to: (1) bring together a group of researchers, practitioners, and educators interested in software design, (2) identify open challenges and new directions for the design of modern software systems, including grand challenges ..."
56,LLM-Driven Collaborative Model for Untangling Commits via Explicit and Implicit Dependency Reasoning,Bo Hou; Xin Tan; Kai Zheng; Fang Liu; Yinghao Zhu; Li Zhang,research-article,June 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3822177,https://dl.acm.org/doi/10.1145/3822177,"Atomic commits, which address a single development concern, are a best practice in software development. In practice, however, developers often produce tangled commits that mix unrelated changes, complicating code review and maintenance. Prior untangling ..."
57,AST '26: Proceedings of the 7th ACM/IEEE International Conference on Automation of Software Test,Breno Miranda; Morena Barboni; Ana Paiva; Markus Borg; Andy Zaidman,proceeding,June 2026,,10.1145/3793654,https://dl.acm.org/doi/proceedings/10.1145/3793654,"The special theme of AST 2026 is ""Adapting test automation to the AI era including sustainability and emerging challenges"". We are seeing that the AI era is causing a transformative shift in test automation, revolutionizing traditional approaches and ..."
58,"FAccT '26: Proceedings of the 2026 ACM Conference on Fairness, Accountability, and Transparency",,proceeding,June 2026,,10.1145/3805689,https://dl.acm.org/doi/proceedings/10.1145/3805689,
59,ACM Sustainability Week '26: Proceedings of the 2026 ACM Sustainability Week,,,June 2026,,10.1145/3765611,https://dl.acm.org/doi/proceedings/10.1145/3765611,
60,When Tools Overlook Domain Knowledge: An Empirical Study of Refactoring in Scientific Software,Rohith Pudari; Ahmed Musa Awon; Neil Ernst; Shurui Zhou,research-article,June 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3821432,https://dl.acm.org/doi/10.1145/3821432,"Refactoring is a critical process for improving code quality, but anecdotal evidence has shown that refactoring in scientific software (Sci-SW ) is not always feasible. The inherently exploratory nature of Sci-SW development, characterized by evolving ..."
61,Leveraging GPT-4o to Evaluate the Usability and Accessibility of Flutter App Interfaces,Shristi Shrestha; Anas Mahmoud,research-article,June 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3821215,https://dl.acm.org/doi/10.1145/3821215,"Over the past few years, Flutter has become a leading framework for cross-platform mobile application (app) development. By enabling developers to build apps for multiple operating systems from a single codebase, Flutter can substantially reduce ..."
62,Integrating Various Software Artifacts for Better LLM-based Bug Localization and Program Repair,Qiong Feng; Xiaotian Ma; Jiayi Sheng; Ziyuan Feng; Wei Song; Peng Liang,research-article,June 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 7",10.1145/3770581,https://dl.acm.org/doi/10.1145/3770581,LLMs have garnered considerable attention for their potential to streamline Automated Program Repair (APR). LLM-based approaches can either insert the correct code using an infilling-style technique or directly generate patches when provided with buggy ...
63,Determining Code Proficiency Levels from Python Textbooks,Ruksit Rojpaisarnkit; Gregorio Robles; Jesus M. Gonzalez-Barahona; Kenichi Matsumoto; Raula Gaikovina Kula,research-article,June 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 7",10.1145/3769864,https://dl.acm.org/doi/10.1145/3769864,"The ability to measure developer proficiency is crucial, as it reflects an individual’s capability to understand and interpret efficient, effective, and well-structured code. It is an essential aspect of ensuring software quality. Although prior work ..."
64,SOAP '26: Proceedings of the 15th ACM SIGPLAN International Workshop on the State Of the Art in Program Analysis,Yue Li; Debasmita Lohar,proceeding,June 2026,,10.1145/3814987,https://dl.acm.org/doi/proceedings/10.1145/3814987,"The 15th ACM SIGPLAN International Workshop on the State Of the Art in Program Analysis (SOAP'26) is co-located with the 47th ACM SIGPLAN International Conference on Programming Language Design and Implementation (PLDI'26). In line with previous editions,..."
65,"Fragmented Infrastructures, Fragmented Learners: The Case for Integrated, Longitudinal Learning Ecosystems in Computing Education",Hasan M. Jamil,opinion,June 2026,"ACM Transactions on Computing Education (TOCE), Volume 26, Issue 4",10.1145/3811544,https://dl.acm.org/doi/10.1145/3811544,"Undergraduate computing education is uniquely shaped by heterogeneous technical infrastructures: students move across programming languages, operating systems, IDEs, auto-graders, version-control platforms, and increasingly large language model (LLM)-..."
66,DIS '26: Proceedings of the 2026 Designing Interactive Systems Conference,Ching Chiuan Yen; Jung-Joo Lee; Ellen Yi-Luen Do; Clement Zheng; Daisy Yoo; Tony Tang,proceeding,June 2026,,10.1145/3800645,https://dl.acm.org/doi/proceedings/10.1145/3800645,
67,Issue-Oriented Agent-Based Framework for Automated Review Comment Generation,Shuochuan Li; Dong Wang; Patanamon Thongtanunam; Zan Wang; Jiuqiao Yu; Junjie Chen,research-article,June 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3817606,https://dl.acm.org/doi/10.1145/3817606,"Code review (CR) is a crucial practice for ensuring software quality. Various automated review comment generation techniques have been proposed to streamline the labor-intensive process. However, existing approaches heavily rely on a single model to ..."
