Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Generative AI solutions for software quality: Assessing industrial readiness,Software Quality Journal,,,,10.1007/s11219-026-09754-7,Andre GheventerPatricia do Amaral GurgelCarlos Henrique BritoRafael Maiani de MelloSabrina RochaRodrigo FeitosaGuilherme Horta Travassos,2026,https://link.springer.com/article/10.1007/s11219-026-09754-7,Article
An exploratory study on effectiveness of GPT-4o in conducting sub-tasks of systematic literature reviews,Automated Software Engineering,,,,10.1007/s10515-026-00629-6,Mohammad ShameemMohammad AlshayebMahmood NiaziSajjad MahmoodAakash AhmadJehad Al Dallal,2026,https://link.springer.com/article/10.1007/s10515-026-00629-6,Article
Software defect detection using large language models: a literature review,Frontiers of Computer Science,,,,10.1007/s11704-025-40672-2,Yu ChenYi ShenTaiyan WangShiwen OuRuipeng WangYuwei LiZulie Pan,2026,https://link.springer.com/article/10.1007/s11704-025-40672-2,Article
Is common sense all you need? Using expert defined rules to identify vulnerability patches instead of machine learning,Empirical Software Engineering,,,,10.1007/s10664-026-10860-0,Aurora PapottiSerena Elisa PontaAntonino SabettaFabio Massacci,2026,https://link.springer.com/article/10.1007/s10664-026-10860-0,Article
An evaluation study of large language models for addressing code quality issues,Empirical Software Engineering,,,,10.1007/s10664-026-10858-8,Rares PatcasSimona Motogna,2026,https://link.springer.com/article/10.1007/s10664-026-10858-8,Article
Code generation with large language models: a survey from neural program synthesis to autonomous software development,Applied Intelligence,,,,10.1007/s10489-026-07230-0,Burak Gülmez,2026,https://link.springer.com/article/10.1007/s10489-026-07230-0,Article
Autonomous smart contract deployment through generative AI and Blockchain in smart urban mobility,Cluster Computing,,,,10.1007/s10586-025-05923-8,Shahbaz SiddiquiAdnan AyubGhufran AhmedAbdul AzizMuhammad Al-Abdullah,2026,https://link.springer.com/article/10.1007/s10586-025-05923-8,Article
Learning-to-rank-based transferable adversarial attacks for software vulnerability prediction models,Cluster Computing,,,,10.1007/s10586-026-05995-0,Xuanye WangLu Lu,2026,https://link.springer.com/article/10.1007/s10586-026-05995-0,Article
Large language models for cyberattack defense: a critical survey,Knowledge and Information Systems,,,,10.1007/s10115-026-02736-y,Lamia Chaari FouratiMirna AwadMariem Ben AliWael Jaafar,2026,https://link.springer.com/article/10.1007/s10115-026-02736-y,Article
Developers’ Dilemma: Opportunities and Pitfalls of Generative AI for Software Development,Business & Information Systems Engineering,,,,10.1007/s12599-026-00998-y,Jan ZachariasAlina PopovaMoritz von ZahnJohannes ChenOliver Hinz,2026,https://link.springer.com/article/10.1007/s12599-026-00998-y,Article
A lightweight intelligent feedback system for student code submissions using large language models,Discover Education,,,,10.1007/s44217-026-01400-5,Areej TheebNor Athiyah AbdullahAli FenjanPantea Keikhosrokiani,2026,https://link.springer.com/article/10.1007/s44217-026-01400-5,Article
Towards sustainable grid security: a lightweight adaptive framework for power system software vulnerability detection,Journal of Engineering and Applied Science,,,,10.1186/s44147-026-00926-7,Xuhua AiYuan YinZijian LinZhaoli ChenWei ZhouYiting Huang,2026,https://link.springer.com/article/10.1186/s44147-026-00926-7,Article
A survey on large language models for software engineering,Science China Information Sciences,,,,10.1007/s11432-025-4670-0,Quanjun ZhangChunrong FangYang XieYaxin ZhangShengcheng YuWeisong SunYun YangZhenyu Chen,2026,https://link.springer.com/article/10.1007/s11432-025-4670-0,Article
Understanding Users’ Affective States During Issue Resolution in Open Source Software Projects,Journal of Computer Science and Technology,,,,10.1007/s11390-025-4478-0,Yu-Qian ZhuangLiang WangKe-Xin SunHong-Yu KuangXian-Ping Tao,2026,https://link.springer.com/article/10.1007/s11390-025-4478-0,Article
Automated test plan generation using large language models,Software Quality Journal,,,,10.1007/s11219-026-09744-9,Susmita HaldarLuiz Fernando Capretz,2026,https://link.springer.com/article/10.1007/s11219-026-09744-9,Article
A generative AI-driven cybersecurity framework for small and medium enterprises software development: an ANN-ISM approach,Scientific Reports,,,,10.1038/s41598-026-37614-8,Mujtaba AwanAbu AlamRafiq Ahmad KhanHathal Salamah AlwageedSarra AyouniAlaa Omran Almagrabi,2026,https://link.springer.com/article/10.1038/s41598-026-37614-8,Article
Innovation of Teaching and Learning Scenes and Models Empowered by Artificial Intelligence: Practice and Experience of AI-Powered Programming Courses,Frontiers of Digital Education,,,,10.1007/s44366-026-0078-y,Xiaohong SuXiaofei XuTiantian Wang,2026,https://link.springer.com/article/10.1007/s44366-026-0078-y,Article
A generative AI cybersecurity risks mitigation model for code generation: using ANN-ISM hybrid approach,Scientific Reports,,,,10.1038/s41598-025-34350-3,Hussein A. Al-Hashimi,2026,https://link.springer.com/article/10.1038/s41598-025-34350-3,Article
The new compiler stack: a survey on the synergy of LLMs and compilers,CCF Transactions on High Performance Computing,,,,10.1007/s42514-025-00270-x,Shuoming ZhangJiacheng ZhaoQiuchu YuChunwei XiaZheng WangXiaobing FengHuimin Cui,2026,https://link.springer.com/article/10.1007/s42514-025-00270-x,Article
Code Reviews on&#xa0;a&#xa0;Budget: Memory-Efficient Fine-Tuning with&#xa0;QLoRA and&#xa0;RAG for&#xa0;Big Code Applications,Social Networks Analysis and Mining,,,,10.1007/978-3-032-14107-1_31,Sumukh Naveen AradhyaMelody MohTeng-Sheng Moh,2026,https://link.springer.com/chapter/10.1007/978-3-032-14107-1_31,Conference paper
Practical Adoption of&#xa0;Green Coding: A Comparative Study Across Organizations in&#xa0;Finland and&#xa0;Globally,Software Business,,,,10.1007/978-3-032-14518-5_28,Ichchha MoktanMuhammad Asif KhanShola OyedejiMikko PuontiMikhail Ola AdisaJari Porras,2026,https://link.springer.com/chapter/10.1007/978-3-032-14518-5_28,Conference paper
Ethical AI Testing and Evaluation Against Governance and Frameworks,Engineering Ethics of AI by Design,,,,10.1007/978-981-95-2909-4_11,Muthu Ramachandran,2026,https://link.springer.com/chapter/10.1007/978-981-95-2909-4_11,Chapter
AI for Cybersecurity in Model Context Protocols (MCPs) and AI Agents,Guide to AI for Cybersecurity,,,,10.1007/978-3-032-25874-8_19,Muthu Ramachandran,2026,https://link.springer.com/chapter/10.1007/978-3-032-25874-8_19,Chapter
PROPER-SDP: PROmpt-Based Project Evolution-awaRe Software Defect Prediction for&#xa0;Edge-Cloud Systems,"The Inclusive Web: Realizing Safe, Accessible, Inclusive, and Sustainable Web Engineering",,,,10.1007/978-3-032-11233-0_6,Inseok YeoSungu LeeDuksan RyuJongmoon Baik,2026,https://link.springer.com/chapter/10.1007/978-3-032-11233-0_6,Conference paper
Enhancing Hotspot Detection with&#xa0;Behavioral Analysis and&#xa0;AI-Assisted Code Review,Computational Collective Intelligence,,,,10.1007/978-3-032-09318-9_25,Michal Szczepanik,2026,https://link.springer.com/chapter/10.1007/978-3-032-09318-9_25,Conference paper
AI-Driven Secure and Compliant Real-Time Cloud Monitoring,Revolutionizing the Cloud,,,,10.1007/978-3-032-07479-9_9,Aditya GuptaChhaya Gunawat,2026,https://link.springer.com/chapter/10.1007/978-3-032-07479-9_9,Chapter
The Diverse and&#xa0;Complex Data Landscape in&#xa0;the&#xa0;Life Sciences Necessitates a&#xa0;Rethinking of&#xa0;Computing and&#xa0;Algorithms,Transforming Life Sciences with Cloud Computing and AI,,,,10.1007/978-3-032-14222-1_2,Zhong WangAdrish SannyasiJonathan Jiang,2026,https://link.springer.com/chapter/10.1007/978-3-032-14222-1_2,Chapter
Prototype &amp; Test: AID Tools and Use Cases,Design Thinking with Artificial Intelligence,,,,10.1007/978-3-032-10543-1_9,Daniel GraffMark A. ClarkDan LiLei Xia,2026,https://link.springer.com/chapter/10.1007/978-3-032-10543-1_9,Chapter
Artificial Intelligence,Bad Programming Practices 101,,,,10.1007/979-8-8688-2506-4_12,Karl Beecher,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2506-4_12,Chapter
Balance Synchronous and Asynchronous Communication,Communication for Digital Product Development,,,,10.1007/979-8-8688-2448-7_2,Laura Dahl,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2448-7_2,Chapter
"Addressing Bias, Hallucinations, and Failure Modes",Building and Training Generative AI Models,,,,10.1007/979-8-8688-2332-9_10,Irena Cronin,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2332-9_10,Chapter
Enhancing Code Quality Using Pre-trained Language Models: A Fine-Tuning Approach for&#xa0;Code Refinement,Proceedings of International Conference on Communication and Computational Technologies,,,,10.1007/978-981-95-3495-1_21,Abhay MagarKrisha JoshiPooja ShahShakti Mishra,2026,https://link.springer.com/chapter/10.1007/978-981-95-3495-1_21,Conference paper
"LLM-Based MaSE, A Software Development Framework for&#xa0;Developing Multi-agent Systems",Advances and Trends in Artificial Intelligence. Theory and Applications,,,,10.1007/978-981-96-8889-0_37,Sahar HajjarzadehZahra Shakeri Hossein AbadBehrouz Far,2026,https://link.springer.com/chapter/10.1007/978-981-96-8889-0_37,Conference paper
"Inner Source, Outer Source, Low Code, and No Code: Pros, Cons and Contexts - Results from an MLR","Systems, Software and Services Process Improvement",,,,10.1007/978-3-032-04288-0_8,Georgijs PitkevicsLakshita DubeyChee Hin ChoaYana KolevaMurat YilmazPaul M. ClarkeAndrew McCarren,2026,https://link.springer.com/chapter/10.1007/978-3-032-04288-0_8,Conference paper
Evaluating Architecture Refactoring Suggestions: A Study of LLMs and Retrieval-Augmented Generation Techniques on Design Review,Software Engineering and Development,,,,10.1007/978-981-92-0202-7_13,Yi-Hui LaiYung-Pin Cheng,2026,https://link.springer.com/chapter/10.1007/978-981-92-0202-7_13,Conference paper
Enhancing Code Assessment and&#xa0;Feedback Generation with&#xa0;GenAI Agents,"Innovative Educational Assessment with Generative AI: Opportunities, Challenges, and Practical Case Studies",,,,10.1007/978-3-032-05306-0_13,Edgar Ceh-VarelaEssa ImhmedCaleb PartenLudwig Scherer,2026,https://link.springer.com/chapter/10.1007/978-3-032-05306-0_13,Chapter
Building a Chatbot for Work Management Using DeepSeek and Orthogonal LoRA,Intelligent Human Computer Interaction,,,,10.1007/978-3-032-26352-0_28,Dinh Cong BangVu Thu DiepPhan Duy Hung,2026,https://link.springer.com/chapter/10.1007/978-3-032-26352-0_28,Conference paper
Case Study: Fault Prediction in an E-Commerce Microservices Pipeline,Fault Detection in Microservice Architectures,,,,10.1007/979-8-8688-2712-9_5,Deepak SharmaAamiruddin Syed,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2712-9_5,Chapter
Secure Code Generation with&#xa0;Parameter-Efficient Fine-Tuning of&#xa0;LLMs,"Proceedings of the Future Technologies Conference (FTC) 2025, Volume 4",,,,10.1007/978-3-032-07992-3_19,Md Anwarul Hasan,2026,https://link.springer.com/chapter/10.1007/978-3-032-07992-3_19,Conference paper
MLflow 3 and the GenAI Agents,Databricks Data Intelligence Platform,,,,10.1007/979-8-8688-2524-8_11,Jason YipNikhil GuptaMarcin Wojtyczka,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2524-8_11,Chapter
Exploring Persuasive Explanations to&#xa0;Motivate the Adoption of SOLID Principles,Computer-Human Interaction Research and Applications,,,,10.1007/978-3-032-16448-3_6,Ingo PribikSebastian LubosAlexander Felfernig,2026,https://link.springer.com/chapter/10.1007/978-3-032-16448-3_6,Conference paper
Balancing the&#xa0;Risks and&#xa0;Benefits of&#xa0;Using Large Language Models to&#xa0;Support Assurance Case Development,"Computer Safety, Reliability, and Security",,,,10.1007/978-3-032-01241-8_14,Simon DiemertErin CyffkaNaweed AnwariOlivia FosterTorin VigerLaure MilletJeffrey Joyce,2026,https://link.springer.com/chapter/10.1007/978-3-032-01241-8_14,Conference paper
LLM-Augmented Approach for&#xa0;Learning of&#xa0;Human-Centric Cybersecurity,"AI Revolution: Research, Ethics and Society",,,,10.1007/978-3-032-12313-8_12,Jouni IsoahoNaeemur RahmanTahir Mohammad,2026,https://link.springer.com/chapter/10.1007/978-3-032-12313-8_12,Conference paper
MARCADE: A Framework for&#xa0;Architecting Resilient and&#xa0;Intelligent Cloud-Native Applications,Model and Data Engineering,,,,10.1007/978-3-032-19865-5_17,Mohamed Abdelghafar TalbiAlaa Eddine LeguefcheMeriem BelguidoumAbdelhack-Djamel Seriai,2026,https://link.springer.com/chapter/10.1007/978-3-032-19865-5_17,Conference paper
Design and&#xa0;Implementation of&#xa0;a&#xa0;Software Tool to&#xa0;Support Agile-SOFL,"Software Fault Prevention, Verification, and Validation",,,,10.1007/978-981-95-6032-5_9,Ran ChenShaoying Liu,2026,https://link.springer.com/chapter/10.1007/978-981-95-6032-5_9,Conference paper
Architecture of Multi-agent System for Automatic Code Template Maintenance,New Trends in Database and Information Systems,,,,10.1007/978-3-032-05727-3_26,Elena AkikMarko VješticaVladimir DimitrieskiSlavica KordićSonja Ristić,2026,https://link.springer.com/chapter/10.1007/978-3-032-05727-3_26,Conference paper
AI-Assisted REST API Design with&#xa0;Large Language Models,Software Architecture as the Backbone of Software Quality,,,,10.1007/978-3-032-24216-7_5,Jorge Martinez-GilChristoph DaxererMario WintererCornelia NeumüllerMatthias Krump,2026,https://link.springer.com/chapter/10.1007/978-3-032-24216-7_5,Conference paper
Digitalization and Cybersecurity,Cybersecurity for Network and Information Security,,,,10.1007/978-3-031-99790-7_1,Dietmar P. F. Möller,2026,https://link.springer.com/chapter/10.1007/978-3-031-99790-7_1,Chapter
DCKG: A Dual-View Collaborative Knowledge Graph for&#xa0;Pull Request Recommendation,Behavioural and Social Computing,,,,10.1007/978-981-95-7141-3_29,Lijie LiDongxu LiQilong HanXiaodi XuYe Wang,2026,https://link.springer.com/chapter/10.1007/978-981-95-7141-3_29,Conference paper
Enhancing Scenario-Based Modeling Using Large Language Models,Model-Based Software and Systems Engineering,,,,10.1007/978-3-031-96841-9_3,David HarelGuy KatzAssaf MarronSmadar Szekely,2026,https://link.springer.com/chapter/10.1007/978-3-031-96841-9_3,Conference paper
Is This Mission Possible? A Study on&#xa0;Developer Challenges in&#xa0;Using Generative AI for&#xa0;Secure Software Development in&#xa0;Industry,ICT Systems Security and Privacy Protection,,,,10.1007/978-3-032-27993-4_1,Sathwik AmburiTiago GasibaTobias FertigUlrike LechnerMaria Pinto-Albuquerque,2026,https://link.springer.com/chapter/10.1007/978-3-032-27993-4_1,Conference paper
Autonomous Multi-agent Code Review and Refactoring Framework Using Large Language Models and LangGraph,Proceedings of the 6th International Conference on Artificial Intelligence and Smart Energy,,,,10.1007/978-3-032-23544-2_26,Savarapu Chandra SekharLeela Venkata Sai GubbalaCharitha Sri MulagadaKorampalli Yashwanth Krishna KishoreMallampalli Rama Naga Siva Nandu,2026,https://link.springer.com/chapter/10.1007/978-3-032-23544-2_26,Conference paper
Using Generative AI to Personalize Teaching and Learning in Higher Education Contexts,Higher Education in the Arab World,,,,10.1007/978-3-031-99068-7_2,Nada DabbaghGhania Zgheib,2026,https://link.springer.com/chapter/10.1007/978-3-031-99068-7_2,Chapter
Benchmarking Large Language Models: A Comprehensive Comparison of Architectures and Their Implications,Congress on Smart Computing Technologies,,,,10.1007/978-981-96-6250-0_42,Achintya ShahYashvi ShahHrushik MehtaDhrumil PanchalNilesh PatilDeepali Patil,2026,https://link.springer.com/chapter/10.1007/978-981-96-6250-0_42,Conference paper
Impact of AI Tools on Software Security,Artificial Intelligence for Sustainable Innovation Management and Risk Management,,,,10.1007/978-3-031-95310-1_127,Hamed FawarehTha’er Habaashneh,2026,https://link.springer.com/chapter/10.1007/978-3-031-95310-1_127,Chapter
LLMs in&#xa0;Coding and&#xa0;Their Impact on&#xa0;the&#xa0;Commercial Software Engineering Landscape,Advances in Computational Intelligence Systems,,,,10.1007/978-3-032-07938-1_28,Vladislav BelozerovPeter J. BarclayAskhan Sami,2026,https://link.springer.com/chapter/10.1007/978-3-032-07938-1_28,Conference paper
Test Amplification for&#xa0;REST APIs via&#xa0;Single and&#xa0;Multi-agent LLM Systems,Testing Software and Systems,,,,10.1007/978-3-032-05188-2_11,Robbe NooyensTolgahan BardakciMutlu BeyazıtSerge Demeyer,2026,https://link.springer.com/chapter/10.1007/978-3-032-05188-2_11,Conference paper
Enhancing Python Code Maintainability Through Large Language Model-Based Approaches,Product-Focused Software Process Improvement,,,,10.1007/978-3-032-12089-2_9,Karthik ShivashankarAntonio Martini,2026,https://link.springer.com/chapter/10.1007/978-3-032-12089-2_9,Conference paper
Revitalizing Cultural Heritage with AI Vibe Coding: The Development of the “Nine-Nine Dispelling Cold Chart” Interactive Webpage,Advances in Intelligent Information Hiding and Multimedia Signal Processing,,,,10.1007/978-3-032-22592-4_14,Yu-Hui LinHung-Cheng Chen,2026,https://link.springer.com/chapter/10.1007/978-3-032-22592-4_14,Conference paper
The Art of Prompting,Agentic AI for Engineers,,,,10.1007/979-8-8688-2361-9_6,Dhivya Nagasubramanian,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2361-9_6,Chapter
AI-Driven DevOps Automation for Cloud-Native Application Modernization,ICT for Global Innovations and Solutions,,,,10.1007/978-3-032-02853-2_9,Akshay Mittal,2026,https://link.springer.com/chapter/10.1007/978-3-032-02853-2_9,Conference paper
The price of precision: the cost of preprocessing for automated code revision in code review,Empirical Software Engineering,,,,10.1007/s10664-025-10781-4,Shirin PirouzkhahPooja RaniFrancesco SovranoVincent HellendoornAlberto Bacchelli,2025,https://link.springer.com/article/10.1007/s10664-025-10781-4,Article
Repository-level code completion with adaptive segmentation and fused retrieval,Empirical Software Engineering,,,,10.1007/s10664-025-10762-7,Yuanyuan ShenPinle QinKaiyi ZhaoFuwei ZhangFan ZhangGuiji Li,2025,https://link.springer.com/article/10.1007/s10664-025-10762-7,Article
State of the Art of the Security of Code Generated by LLMs: A Multivocal Literature Review,Programming and Computer Software,,,,10.1134/S0361768825700446,Leonardo Criollo RamírezXavier LimónÁngel J. Sánchez-GarcíaJuan Carlos Pérez-Arriaga,2025,https://link.springer.com/article/10.1134/S0361768825700446,Article
Self-reflection enhances large language models towards substantial academic response,npj Artificial Intelligence,,,,10.1038/s44387-025-00045-3,Baoxue LiChunhui Zhao,2025,https://www.nature.com/articles/s44387-025-00045-3,Article
"Large language models: applications, limitations, challenges, and recommendations in cybersecurity, digital forensics, and ethical hacking",Annals of Telecommunications,,,,10.1007/s12243-025-01134-9,Jean Paul A. YaacoubHassan N. NouraOla SalmanGuy Pujolle,2025,https://link.springer.com/article/10.1007/s12243-025-01134-9,Article
"Semantic and structural fusion for malware detection: Leveraging CodeBERT, GraphCodeBERT, and AST-GCN",International Journal of Information Security,,,,10.1007/s10207-025-01142-9,Hyojin ShinJiYoung Woo,2025,https://link.springer.com/article/10.1007/s10207-025-01142-9,Article
AI-Powered Static &amp; Dynamic Analysis for Continuous Security in DevSecOps,SN Computer Science,,,,10.1007/s42979-025-04382-7,Praveen Chaitanya Jakku,2025,https://link.springer.com/article/10.1007/s42979-025-04382-7,Article
Rise of Generative Artificial Intelligence&#xa0;in Science,Scientometrics,,,,10.1007/s11192-025-05413-z,Liangping DingCornelia LawsonPhilip Shapira,2025,https://link.springer.com/article/10.1007/s11192-025-05413-z,Article
GTVD: a multi-level aggregation vulnerability detection method based on full-dependency program graph,Cluster Computing,,,,10.1007/s10586-025-05506-7,Haitao HeShibo LiYuxiang LiYang Li,2025,https://link.springer.com/article/10.1007/s10586-025-05506-7,Article
CodeRankEval: Benchmarking and Analyzing LLM Performance for Code Ranking,Journal of Computer Science and Technology,,,,10.1007/s11390-025-5514-9,Li-Guo ChenZheng XiaoYi-Jiang XuRui-Chuan AnXin WangYang-Ning LiYing-Hui LiYi-Dong WangZheng-Ran ZengQing GaoShi-Kun Zhang,2025,https://link.springer.com/article/10.1007/s11390-025-5514-9,Article
ROS-XGB: a machine learning model for software defect prediction,International Journal of System Assurance Engineering and Management,,,,10.1007/s13198-025-02906-1,Digvijay Narayan SharmaDilip Kumar Yadav,2025,https://link.springer.com/article/10.1007/s13198-025-02906-1,Article
A review of large language models and the recommendation task,Discover Artificial Intelligence,,,,10.1007/s44163-025-00334-5,Jacob MunsonThomas CuezzeSiddat NesarDominique Zosso,2025,https://link.springer.com/article/10.1007/s44163-025-00334-5,Article
Federated reasoning LLMs: a survey,Frontiers of Computer Science,,,,10.1007/s11704-025-50480-3,Shuyue WeiYongxin TongZimu ZhouYi XuJingkai GaoTongyu WeiTianran HeWeifeng Lv,2025,https://link.springer.com/article/10.1007/s11704-025-50480-3,Article
Integrating LLM-based code optimization with human-like exclusionary reasoning for computational education,"Journal of King Saud University Computer and Information Sciences ",,,,10.1007/s44443-025-00074-7,Yi RongTianfeng DuRoubing LiWenting Bao,2025,https://link.springer.com/article/10.1007/s44443-025-00074-7,Article
‘AI models are capable of novel research’: OpenAI’s chief scientist on what to expect,Nature,,,,10.1038/d41586-025-01485-2,Elizabeth Gibney,2025,https://www.nature.com/articles/d41586-025-01485-2,Article
A survey of binary code representation technology,Frontiers of Information Technology & Electronic Engineering,,,,10.1631/FITEE.2400088,Taiyan WangQingsong XieLu YuZulie PanMin Zhang,2025,https://link.springer.com/article/10.1631/FITEE.2400088,Article
Supporting the identification of prevalent quality issues in code changes by analyzing reviewers’ feedback,Software Quality Journal,,,,10.1007/s11219-025-09720-9,Umar IftikharJürgen BörstlerNauman Bin AliOliver Kopp,2025,https://link.springer.com/article/10.1007/s11219-025-09720-9,Article
A fine-tuned large language model based molecular dynamics agent for code generation to obtain material thermodynamic parameters,Scientific Reports,,,,10.1038/s41598-025-92337-6,Zhuofan ShiChunxiao XinTong HuoYuntao JiangBowen WuXingyue ChenWei QinXinjian MaGang HuangZhenyu WangXiang Jing,2025,https://link.springer.com/article/10.1038/s41598-025-92337-6,Article
Exploring the potential of general purpose LLMs in automated software refactoring: an empirical study,Automated Software Engineering,,,,10.1007/s10515-025-00500-0,Bo LiuYanjie JiangYuxia ZhangNan NiuGuangjie LiHui Liu,2025,https://link.springer.com/article/10.1007/s10515-025-00500-0,Article
CodeDoctor: multi-category code review comment generation,Automated Software Engineering,,,,10.1007/s10515-025-00491-y,Yingling LiYuhan WuZi’ao WangLei HuangJunjie WangJianping LiMinying Huang,2025,https://link.springer.com/article/10.1007/s10515-025-00491-y,Article
LLM-based code generation and system migration in language-driven engineering,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-025-00798-x,Daniel BuschAlexander BainczykSteven SmythBernhard Steffen,2025,https://link.springer.com/article/10.1007/s10009-025-00798-x,Article
"<Emphasis FontCategory=""NonProportional"">BadCodePrompt</Emphasis>: backdoor attacks against prompt engineering of large language models for code generation",Automated Software Engineering,,,,10.1007/s10515-024-00485-2,Yubin QuSong HuangYanzhou LiTongtong BaiXiang ChenXingya WangLong LiYongming Yao,2025,https://link.springer.com/article/10.1007/s10515-024-00485-2,Article
AI-driven mock interview assessment: leveraging generative language models for automated evaluation,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-025-02529-9,Padma Jyothi UppalapatiMadhavi DabbiruVenkata Rao Kasukurthi,2025,https://link.springer.com/article/10.1007/s13042-025-02529-9,Article
DeepCRCEval: Revisiting the Evaluation of Code Review Comment Generation,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-031-90900-9_3,Junyi LuXiaojia LiZihan HuaLei YuShiqi ChengLi YangFengjun ZhangChun Zuo,2025,https://link.springer.com/chapter/10.1007/978-3-031-90900-9_3,Conference paper
