search_run_id,database,query_version,exact_query,search_date,date_range,retrieved_count,deduplicated_count,title_abstract_screened,full_text_assessed,included_count,reviewer,notes
S2026-08-06-SEMANTIC-COMPLETE,Semantic Scholar,expanded-pairwise,"16 phrase-level conjunctions crossing {large language model; LLM; generative AI; AI-assisted} with {code review; review comment; pull request feedback; automated code review}",2026-08-06,2021-01-01 to 2026-08-02,963,427,,,,Codex,"Complete retained bulk-API run. Exact API strings and per-query counts are in data/search/semantic-scholar/semantic-scholar-run.json; 39 of 71 historical baseline titles matched exactly after normalization."
S2026-08-06-PUBLISHER,ACM Digital Library,Q1-retry,"\"code review\" AND \"large language model\"",2026-08-06,2021-01-01 to 2026-08-06,,,,,,Codex,"Direct HTTP returned 403 with cf-mitigated: challenge. Headless Chrome reached Cloudflare Turnstile security verification but no result page. A manual browser run is required."
S2026-08-06-PUBLISHER,IEEE Xplore,Q1-retry,"\"code review\" AND \"large language model\"",2026-08-06,2021-01-01 to 2026-08-06,,,,,,Codex,"The official REST search endpoint and public search page produced no HTTP response before the bounded client timeout from this network. Manual or institutional execution is required."
S2026-08-06-PUBLISHER,ScienceDirect,Q1-retry,"\"code review\" AND \"large language model\"",2026-08-06,2021-01-01 to 2026-08-06,,,,,,Codex,"The official search page produced no HTTP response before the bounded client timeout from this network. Manual or institutional execution is required."
S2026-08-06-PUBLISHER,SpringerLink,Q1-retry,"\"code review\" AND \"large language model\"",2026-08-06,2021-01-01 to 2026-08-06,,,,,,Codex,"The official search page produced no HTTP response before the bounded client timeout from this network. Manual or institutional execution is required."
S2026-08-06-SCHOLAR,Google Scholar,Q1,"\"code review\" \"large language model\"",2026-08-06,2021-01-01 to 2026-08-06,,,,,,Codex,"Headless Chrome reached Google Scholar, which refused the request as automated traffic. Google Scholar must be executed manually; automated scraping is not used."
S2026-08-06-SCOPUS,Scopus,Q1,"TITLE-ABS-KEY(\"code review\" AND \"large language model\")",2026-08-06,2021-01-01 to 2026-08-06,,,,,,Codex,"The official Elsevier Scopus API endpoint produced no HTTP response before the bounded client timeout. A valid API key and institutional access may also be required; manual or authenticated execution remains pending."
S2026-08-06-IEEE-COMPLETE,IEEE Xplore,Q1-browser,"""large language model"" AND ""code review""",2026-08-06,2021-01-01 to 2026-08-02,69,69,,,,Codex,"Complete visible native result set retained in data/search/ieee-xplore-search-2026-08-06.csv. The interface showed 69 results and all 69 unique document links were captured."
S2026-08-06-SPRINGER-COUNT,SpringerLink,Q1-browser,"""large language model"" AND ""code review""",2026-08-06,2021-01-01 to 2026-08-02,155,,,,,Codex,"Native count verified with English filter; advertised CSV export did not complete, so this is not marked as a complete retained search."
S2026-08-06-SCIENCEDIRECT-RETRY,ScienceDirect,Q1-browser,"""large language model"" AND ""code review""",2026-08-06,2021-01-01 to 2026-08-02,,,,,,Codex,"The official search route returned Site Unavailable in the cloud browser; no count or result set was recorded."
S2026-08-06-ACM-RETRY-2,ACM Digital Library,Q1-browser-retry,"""large language model"" AND ""code review""",2026-08-06,2021-01-01 to 2026-08-02,,,,,,Codex,"A fresh cloud-browser session opened the ACM home page and search route. After one wait-and-reload recovery attempt, Cloudflare still displayed Performing security verification and stated that it was verifying the browser was not a bot. No count or result set was recorded."
S2026-08-06-ACM-COMPLETE,ACM Digital Library,Q1-manual-browser,"""large language model"" AND ""code review""",2026-08-06,"No native filter; eligibility window 2021-01-01 to 2026-08-02",449,449,,,,Mahdi Malverdi / Codex,"Complete manual-browser result set sorted by descending electronic-publication date and retained as raw HTML, parsed CSV, and JSON manifest. All 449 record URLs are unique. The planned publication window must be applied during screening."
S2026-08-06-SPRINGER-COMPLETE,SpringerLink,Q1-manual-export,"""large language model"" AND ""code review""",2026-08-06,2021-01-01 to 2026-08-02,155,155,,,,Mahdi Malverdi / Codex,"Complete native CSV export retained with 155 unique DOIs and 155 unique record URLs. Exported publication years range from 2022 through 2026; title/abstract screening remains pending."
S2026-08-06-SCIENCEDIRECT-COMPLETE,ScienceDirect,Q1-manual-browser,"""large language model"" AND ""code review""",2026-08-06,"Native year filter 2021-2026; eligibility cutoff 2026-08-02",318,318,,,,Mahdi Malverdi / Codex,"Complete four-page browser result set retained as compressed HTML, parsed CSV, and JSON manifest. Ranks 1-318 and all 318 PII record URLs are unique. The exact 2026-08-02 cutoff must be enforced during screening."
