rank,scholar_id,title,result_url,authors_publication,publication_year,snippet
20,IRM0u4WbSIoJ,Coding Agents in the Wild: Failure Modes and Rejection Patterns of AI-Generated Pull Requests,https://ieeexplore.ieee.org/abstract/document/11534612/,"M Hindi, Y Mahmood, L Mohammed, S Bouktif… - IEEE …, 2026 - ieeexplore.ieee.org",2026,"73 روز پیش - … of rejection reasons and validate a large language model (LLM)-based classifier on a … technical reality where repository guardrails—code review processes, CI gates, and …"
21,JQI0MzMdDCIJ,[PDF][PDF] Design and Development of an AI-Powered Code Review Assistant,https://www.theijire.com/archiver/archives/design_and_development_of_an_ai_powered_code_review_assistant.pdf,"N Bharti, RS Pandey - 2026 - theijire.com",2026,74 روز پیش - … The AI aspect was driven by the installed Large Language Model (GPT-based model) to understand the code and produce reviews. Both simulated and actual GitHub …
22,_z8ssRPcA2QJ,Research on Security Vulnerability Patterns of Code Generated by Large Language Models,https://ieeexplore.ieee.org/abstract/document/11604380/,"J Wang, Y Zhou, D Guo, X Jia, S Li… - 2026 IEEE 3rd …, 2026 - ieeexplore.ieee.org",2026,76 روز پیش - … The defects of human-written code are more individualized and thus require continuous governance through code review and security training for developers. …
23,137LD7CYyq4J,SE-Blackboard: A Shared-State Architecture for Multi-Agent Software Engineering Pipelines,https://ieeexplore.ieee.org/abstract/document/11527206/,"E Liu, Q Zhu, X Dong - IEEE Access, 2026 - ieeexplore.ieee.org",2026,"78 روز پیش - … ABSTRACT Multi-agent large language model (LLM) systems are increasingly used for … , bug fixing, and code review, representing a shift from monolithic tools toward …"
24,yOtsgl4kegEJ,When Less Is More: Monolingual Fine-Tuning of Language Models for Industrial C# Code Review,https://ieeexplore.ieee.org/abstract/document/11599952/,"I Begolli, M Aksoy, D Neider - 2026 IEEE International …, 2026 - ieeexplore.ieee.org",2026,"80 روز پیش - … shown promise in automating code review tasks, most … large language model, and a general-purpose instruction-tuned model – across three core automated code review …"
25,nCpWqtJJBLsJ,A RAG and fine-tuned large-model-based intelligent code analysis method for 3D design software in power grid engineering,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/14138/141381F/A-RAG-and-fine-tuned-large-model-based-intelligent-code/10.1117/12.3108579.short,"C Xia, L Zhou, X Zhang - Sixth International Conference on …, 2026 - spiedigitallibrary.org",2026,85 روز پیش - … approaches in key metrics such as code review speed and defect detection rate. … Scenario 1 (Base Model): All training data is used to build a single large language model …
26,2d7tDkUSee0J,Comment and Control: Hijacking Agentic Workflows via Context-Grounded Evolution,https://arxiv.org/abs/2605.11229,"N Fendley, Z Liu, A Guan, J Zhong, Y Cao - arXiv preprint arXiv …, 2026 - arxiv.org",2026,"87 روز پیش - … so-called agentic workflows, which integrate Large Language Model (LLM) agents for tasks such as code review and data synchronization. While bringing convenience for …"
27,eecEyDbVybgJ,QASecClaw: A Multi-Agent LLM Approach for False Positive Reduction in Static Application Security Testing,https://ui.adsabs.harvard.edu/abs/2026arXiv260501885R/abstract,"M Ruhul Ameen, MTU Alam, A Islam - arXiv e-prints, 2026 - ui.adsabs.harvard.edu",2026,"92 روز پیش - … Large Language Model based contextual code review. A SAST engine first reports candidate vulnerabilities, and a Large Language Model … that Large Language Model …"
28,5jItKqupXJMJ,QASecClaw: A Multi-Agent LLM Approach for False Positive Reduction in Static Application Security Testing,https://arxiv.org/abs/2605.01885,"MR Ameen, MTU Alam, A Islam - arXiv preprint arXiv:2605.01885, 2026 - arxiv.org",2026,"95 روز پیش - … We present QASecClaw, a multi-agent approach that combines conventional SAST with coding-specialized Large Language Model (LLM)-based contextual code review. …"
29,UBQ3iuAqxIEJ,[PDF][PDF] AI ASSISTANTS IN SOFTWARE DEVELOPMENT: ANALYSIS OF SECURITY RISKS IN GENERATED CODE,https://elartu.tntu.edu.ua/bitstream/lib/52010/1/%D0%B6%D1%83%D1%80%D0%BD%D0%B0%D0%BB_%D0%93%D1%80%D0%B0%D0%B0%D0%BB%D1%8C%20%D0%BD%D0%B0%D1%83%D0%BA%D0%B8%2067_2026_%D0%A4%D0%BB%D0%B5%D1%88%D0%BA%D0%B0%D1%80%D1%82%D0%BA%D0%B8.pdf#page=682,"D Boichuk - GRAIL OF SCIENCE, 2026 - elartu.tntu.edu.ua",2026,"95 روز پیش - … At the process level, code review practices must evolve to … to security practices, code review standards, or developer … implications of large language model code assistants. …"
30,63mCzgIrZz0J,Detecting Confusion Comments with LLMs,https://ieeexplore.ieee.org/abstract/document/11604063/,"W Hammami, M Chaieb, H Korbi… - 2026 Intelligence in …, 2026 - ieeexplore.ieee.org",2026,100 روز پیش - … whether a lightweight large language model can reliably … tools that enhance understanding during code review. … to confusion detection in code review discussions. We first …
31,BZrzetX_EqQJ,ACREF: Enhancing Code Refinement Tasks for Large Language Models Using LLM-as-a-Judge,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6642016,"L Mi, L Xu, C Liu, W Mu, Z Li, L Huangfu - Available at SSRN 6642016 - papers.ssrn.com",,"103 روز پیش - … code review has become a fundamental practice in modern software engineering. Beyond defect detection, code review … using a large language model under the LLM-as-a-…"
32,hN-OF9Xtb_YJ,[فهرست منابع][C] ИНФОРМАТИЗАЦИЯ ОБРАЗОВАНИЯ: ТЕОРИЯ И ПРАКТИКА,,"СА СИВИНСКИЙ - … ТЕОРИЯ И ПРАКТИКА Омск, 21–22 …",,
33,arCwZyYguOsJ,Evaluating Large Language Models for Psychometric Simulation Studies in R: Integrating Best Practices in Simulation and Prompt Design,https://osf.io/preprints/psyarxiv/9tfej,"M Abulela, E Brown, G Gorgun, K Nickodem, N Kim… - osf.io",,"111 روز پیش - … While large language model (LLM) capabilities have been widely investigated across … across code quality (through expert code review), executability (through actually …"
34,Hs1GkR6oTScJ,Scientific Software in the Age of Vibe Coding,https://ieeexplore.ieee.org/abstract/document/11482007/,"G O'Brien, NU Eisty - Computing in Science & Engineering, 2026 - ieeexplore.ieee.org",2026,112 روز پیش - … Large language model-based tools are rapidly becoming part of everyday scientific … who use development practices like testing or code review the least would also rate …
35,5Q-farJ0oScJ,Project Evolution-aware Prompting of LLMs for Just-in-time Defect Prediction in Edge-cloud Systems,https://ieeexplore.ieee.org/abstract/document/11481603/,"I Yeo, S Lee, D Ryu, J Baik - Journal of Web Engineering, 2026 - ieeexplore.ieee.org",2026,"114 روز پیش - … change level, allowing developers to focus code review and testing efforts on the riskiest … To identify the most effective large language model (LLM) for JIT defect prediction, …"
36,yHGzXhV2UnQJ,Agentic Code Review: A Multi-Agent Framework with Meta-Cognitive Reflection and Human-in-the-Loop Alignment,https://ieeexplore.ieee.org/abstract/document/11542535/,"A Saleem, Z Adnan, SA Ryan, A Jamil… - 2026 IEEE 2nd …, 2026 - ieeexplore.ieee.org",2026,"135 روز پیش - … Abstract—Automated code review remains a persistent challenge in software … and produce excessive false positives, while large language model (LLM)-based approaches …"
37,ve7LsCqema8J,PowerRecall: A Knowledge Graph Enhanced Heterogeneous Multi-Path Retrieval Framework for Power Software Code Review,https://ieeexplore.ieee.org/abstract/document/11601893/,"Y Li, R Kang, J Tang, Q Zhang… - … on Electrical, Control …, 2026 - ieeexplore.ieee.org",2026,"139 روز پیش - … , while general-purpose Large Language Model (LLM) based … This paper proposes PowerRecall, a code review … for automated code review in high-reliability industries. …"
38,rDGCz-92Qu4J,Automated Code Review Systems Using CodeBERT with Multi-Anchor Space-Aware Temporal Convolutional Neural Network,https://www.sciencedirect.com/science/article/pii/S2590118426000122,"D Prabakar, R Bhardwaj, CS Sandeep, M Tiwari… - Journal of Computer …, 2026 - Elsevier",2026,"144 روز پیش - … In this paper, propose an automated code review … to address three key code review tasks in a unified manner: … -based and large language model–driven approaches. The …"
39,-5WCpwOTc1AJ,Intelligent Code Analysis and Automated Testing Technologies for Power Grid Software Systems,https://ieeexplore.ieee.org/abstract/document/11509395/,"J Zhao - 2026 2nd International Conference on Power …, 2026 - ieeexplore.ieee.org",2026,146 روز پیش - … Although recent studies on Large Language Model (LLM)-… Large Language Model (LLM)-centered testing workflows … Code review automation research further shows that …
40,_hkAZF-Nst0J,Research and evaluation of methods for automatic review of software code using Large Linguistic Models,https://repository.utm.md/handle/5014/35491,A HAEȚCHII - 2026 - repository.utm.md,2026,"160 روز پیش - … area, which examines the role of code review in software engineering, reviews existing … Next, based on the requirements, a large language model is determined, prompting …"
41,B8QwhzMcdywJ,AI-Augmented Technical Debt Management in Legacy Software Systems,https://ieeexplore.ieee.org/abstract/document/11476061/,"S Pandya - SoutheastCon 2026, 2026 - ieeexplore.ieee.org",2026,"167 روز پیش - … Rather than relying on ad hoc commit messages, largelanguage-model processing is … During pullrequest creation and code review, static analysis results and predicted …"
42,M61jt64tl1wJ,Can Adversarial Code Comments Fool AI Security Reviewers--Large-Scale Empirical Study of Comment-Based Attacks and Defenses Against LLM Code Analysis,https://arxiv.org/abs/2602.16741,"S Thornton - arXiv preprint arXiv:2602.16741, 2026 - arxiv.org",2026,"169 روز پیش - … Our results present a contrasting picture for security code review specifically: where CodeCrash finds significant degradation in code reasoning tasks, we find non-…"
43,MzRcswinfkMJ,Bridging the Gap Using GPT-4 to Summarize and Explain Static Analysis Warnings at Scale,https://ieeexplore.ieee.org/abstract/document/11395881/,"A Surti - 2026 IEEE 5th International Conference on AI in …, 2026 - ieeexplore.ieee.org",2026,"169 روز پیش - … We investigate how GPT-4, a Large Language Model (LLM), can assist in … [6] explored ChatGPT’s ability to generate helpful code review comments. Zhang et al. [7] …"
44,H_F6H1eJhOIJ,[PDF][PDF] CodeMedic: An AI-Powered Code Review and Assistance Platform,https://www.academia.edu/download/126242635/ShishirResearchPaperMain.pdf,BT SCHOLAR - academia.edu,,"170 روز پیش - … Traditionally, code review has been a manual process … , AI-powered code review and debugging platform … ofthe-art large language model capable of understanding …"
45,bZhVaX5cdB4J,Following Dragons: Code Review-Guided Fuzzing,https://ui.adsabs.harvard.edu/abs/2026arXiv260210487H/abstract,"V Hoang Luu, A Pasdar, W Charoenwet… - arXiv e …, 2026 - ui.adsabs.harvard.edu",2026,"171 روز پیش - … Meanwhile, developers routinely surface risk-relevant insights during code review, yet this … We then automate the workflow using a large language model with carefully …"
46,0cgindcS118J,[PDF][PDF] Supervised learning algorithms: An in-depth study,https://www.academia.edu/download/129097205/adarsh_new_research.pdf,"D SINGH, A KUMAR, BT SCHOLAR - academia.edu",,"172 روز پیش - … , AIpowered code review and debugging platform … -the-art large language model capable of understanding … This section compares the existing manual code review …"
47,mWNu784N7psJ,Following Dragons: Code Review-Guided Fuzzing,https://arxiv.org/abs/2602.10487,"VH Luu, A Pasdar, W Charoenwet, T Murray… - arXiv preprint arXiv …, 2026 - arxiv.org",2026,"175 روز پیش - … Meanwhile, developers routinely surface risk-relevant insights during code review, … We then automate the workflow using a large language model with carefully designed …"
48,T6iAiheYrv0J,A Prompt-Constrained Feedback Control Mechanism for Large Language Model-Based Peer Code Review Systems,https://dl.acm.org/doi/abs/10.1145/3806980.3807027,"X Cui - Proceedings of the 2026 International Conference on …, 2026 - dl.acm.org",2026,"181 روز پیش - … , examining its effectiveness in regulating large language model behavior within a peer code review system rather than functioning as a purely pedagogical intervention. …"
49,I9Q-REQ8M-kJ,Failure-aware enhancements for large language model (LLM) code generation: An empirical study on decision framework,https://ieeexplore.ieee.org/abstract/document/11576529/,"J Shen, Z Peng, L Owen - 2026 IEEE International Conference …, 2026 - ieeexplore.ieee.org",2026,185 روز پیش - … The hypothesis is that explicit code review can identify incomplete implementations … Self-Critique’s code review identified this gap and the LLM’s critique noted “The …
50,spoMCLhzf8sJ,Understanding dominant themes in reviewing agentic ai-authored code,https://dl.acm.org/doi/abs/10.1145/3793302.3793566,"MA Haider, T Zimmermann - … of the 23rd International Conference on …, 2026 - dl.acm.org",2026,"190 روز پیش - … In this paper, we present a large-scale empirical study of code review dynamics in … themes using topic modeling combined with large language model (LLM)-assisted …"
51,Y_czQXTSeEkJ,How should self-deprecation comments be classified? A toxicity analysis study on Zephyr,https://dl.acm.org/doi/abs/10.1145/3786164.3788447,"SC Kadiyala, J Sarker, B Trinkenreich - Proceedings of the 5th …, 2026 - dl.acm.org",2026,"200 روز پیش - … how self-deprecation appears in code review comments and how software engineering … We then combined a Large Language Model-based, context-aware judgment with …"
52,ENzCa8JhVAUJ,Nemesis: An Adversarial Multi-Agent AI Framework for Proactive Vulnerability Discovery and Patch Synthesis,https://ieeexplore.ieee.org/abstract/document/11448038/,"V Kharde - 2026 International Conference on Emerging Trends …, 2026 - ieeexplore.ieee.org",2026,"209 روز پیش - … Despite advancements in automation, current security code review tools, including AI-… Nemesis is a multi-agent AI framework where specialized Large Language Model (…"
53,S0TdRTwy0gQJ,iCoder: A multi agent software development platform,https://www.sciencedirect.com/science/article/pii/S0950584926002132,"Y You, D Ning, S Cai, J Bai, J Zheng, J Chen - Information and Software …, 2026 - Elsevier",2026,211 روز پیش - … dependency modeling and code review play a decisive role in quality assurance. … within prompts to guide the large language model in completing tasks across stages such …
54,E3Gaizg-STgJ,AI-Augmented Software Engineering for Rapid Feature Delivery and Operations Automation,https://ieeexplore.ieee.org/abstract/document/11393761/,"S Karuppuchamy - 2026 IEEE 16th Annual Computing and …, 2026 - ieeexplore.ieee.org",2026,"213 روز پیش - … This approach embeds large language model (LLM)–based assistants into every phase—coding, testing, code review, CI/CD, and operations—with multi-layered …"
55,RuU9LpuPrPMJ,[PDF][PDF] A Modular Semantic Kernel Agent for Automated Code Review and Refactoring Feedback,https://www.orclever.com/pdfs/oprd/a-modular-semantic-kernel-agent-for-automated-code-review-and-refactoring-feedback.pdf,"S Dursun, B Önel, T Işıkkent, S Çelik… - … of Research and …, 2025 - orclever.com",2025,"218 روز پیش - … This paper introduces a modular Large Language Model (LLM)based agent, designed using Microsoft’s Semantic Kernel framework, for automated code review and …"
56,50cD00CUimYJ,Development of a Relational Database and LLM-Based Algorithm for Building Code Review in Early Design Stage,http://journal-kibim.apub.co.kr/articles/xml/Bgrk/,"S Hong, B Park, S Choo - Journal of KIBIM, 2025 - journal-kibim.apub.co.kr",2025,"218 روز پیش - … ) of Korean building regulations with a large language model (LLM)-based question–… and LLM-driven reasoning for building code review. Practically, it provides a pathway …"
57,wHf0iAYTK-sJ,Research Status and Analysis of LLM-based Methods for Code Audit,https://ieeexplore.ieee.org/abstract/document/11429962/,"H Lu, Y Bao, H Yuan - 2025 5th International Conference on …, 2025 - ieeexplore.ieee.org",2025,237 روز پیش - … Code audit technology based on the large language model (LLM) has become a re… code review tools in an industry setting and find that 73.8% of automated code review …
58,g5jK6sI7O8EJ,Hybrid Intelligence for Automated Code Review: Integrating Static Analysis with Large Language Models,https://ieeexplore.ieee.org/abstract/document/11580587/,"K Vidyavathi, S Krishna, R Natarajan… - 2025 International …, 2025 - ieeexplore.ieee.org",2025,"238 روز پیش - … The bot reason integrates large language model (LLM) reasoning for code quality, security, and maintenance issues directly into GitHub's PR workflow, in conjunction with …"
59,XEcmruWNnQoJ,CommitMessageGen-Agent: A Dependable Multi-Agent Approach for Reproducible Commit Message Generation,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5871505,"D An, G Yang - Available at SSRN 5871505 - papers.ssrn.com",,"243 روز پیش - … are essential for effective collaboration, code review, and maintenance. However, time … Furthermore, recent large language model approaches frequently suffer from poor …"
60,DH-CU3S_kQYJ,"Engagement in Code Review: Emotional, Behavioral, and Cognitive Dimensions in Peer vs. LLM Interactions",https://dl.acm.org/doi/abs/10.1145/3830405,"A Alami, N Cassee, T Rocha Silva, E Paja… - ACM Transactions on …, 2025 - dl.acm.org",2025,"245 روز پیش - … Code review is a socio-technical practice, yet how software engineers engage in Large Language Model (… We also prompted them to discuss their submitted code review …"
61,ZQwo9qN5nEkJ,Investigating Violations of Coding Standards in Large Language Models,https://ieeexplore.ieee.org/abstract/document/11450900/,"YB Park, HY Lim, J Kim, KI Kim - 2025 Global Congress on …, 2025 - ieeexplore.ieee.org",2025,"247 روز پیش - … Index TermsÐstatic code analysis, coding standard, large language model, PU … on code review best practices and compare them to adopt best practices for code review. …"
62,UEYBL2ojCasJ,[PDF][PDF] MULTI-AGENT SYSTEM FOR AUTOMATED CODE REVIEWS,https://trepo.tuni.fi/bitstream/handle/10024/232334/PremasunderaSavidya.pdf?sequence=2,S Premasundera - 2025 - trepo.tuni.fi,2025,249 روز پیش - … Although recent Large Language Model (LLM) … LLM-based automated code review system in which four … architecture for automated code review that combines domain…
63,Es42iZNbFWEJ,설계 초기단계 건축 법규 검토를 위한 관계성 DB 구축 및 LLM 기반 알고리즘 개발,https://scholar.kyobobook.co.kr/article/detail/4010071839636,"홍순민， 박봉균， 추승연 - KIBIM Magazine, 2025 - scholar.kyobobook.co.kr",2025,"249 روز پیش - … ) of Korean building regulations with a large language model (LLM)-based question–… and LLM-driven reasoning for building code review. Practically, it provides a pathway …"
64,X8Jnwi3XH64J,An Agentic-AI Solution for Intelligent Code Review,https://ieeexplore.ieee.org/abstract/document/11318443/,"TMN Nimraka, MT Prabhashana… - 2025 9th SLAAI …, 2025 - ieeexplore.ieee.org",2025,"260 روز پیش - … The system’s core is a multi-agent architecture where specialist Large Language Model (LLM) agents analyze code for different classes of issues-including bugs, security …"
65,-cRl2iSmWuMJ,SGCR: A Specification-Grounded Framework for Trustworthy LLM Code Review,https://ieeexplore.ieee.org/abstract/document/11334311/,"K Wang, B Mao, S Jia, Y Ding, D Han… - 2025 40th IEEE/ACM …, 2025 - ieeexplore.ieee.org",2025,"263 روز پیش - … Specification-Grounded Code Review (SGCR), a novel framework designed to enhance the reliability, controllability, and trustworthiness of LLM-based code review. The …"
66,Tr7ubKsYAbYJ,LLM Tools for Programming,https://ieeexplore.ieee.org/abstract/document/11280153/,"M Čerňanský, P Hafner… - … Conference on Emerging …, 2025 - ieeexplore.ieee.org",2025,"266 روز پیش - … Among the most significant advances are Large Language Model (LLM) based tools, which … The Code Review (Fig. 5) goes beyond simple inline suggestions by providing …"
67,KMSWM3FLrlgJ,Enhancing Hotspot Detection with Behavioral Analysis and AI-Assisted Code Review,https://link.springer.com/chapter/10.1007/978-3-032-09318-9_25,"M Szczepanik - International Conference on Computational Collective …, 2025 - Springer",2025,"270 روز پیش - … To address t his, we leverage historical change data, structural complexity metrics, and large-language model (LLM) evaluations to identify critical hotspots more effectively. …"
68,Lkf8NCj1EIsJ,When More Retrieval Hurts: Retrieval-Augmented Code Review Generation,https://arxiv.org/abs/2511.05302,"Q Meng, X Zhang, Z Ren, J Visser - arXiv preprint arXiv:2511.05302, 2025 - arxiv.org",2025,272 روز پیش - … -augmented generation perspective for code review. We view retrieval augmentation … code review generation that combines a learned retriever with a large language model…
69,YrmM0sPi7V0J,Smartdoc: A context-aware agentic method comment generation plugin,https://dl.acm.org/doi/abs/10.1145/3786151.3788601,"V Etemadi, G Robles - Proceedings of the 3rd ACM/IEEE International …, 2026 - dl.acm.org",2026,"278 روز پیش - … refactoring, bug fixing, code review or testing. Program … full-context to enrich Large Language Model (LLM) prompts… centered constraints on large language model output. In …"
70,TrE9F32M8kMJ,Role-Aware Intelligent Agent Framework for Enhanced Code Generation Using Large Language Model,https://ieeexplore.ieee.org/abstract/document/11341145/,"AK Roshan, M Sughasiny - 2025 International Conference on …, 2025 - ieeexplore.ieee.org",2025,"286 روز پیش - … -T5 to guide prompt creation and task interpretation and divides the process into four stages such as role definition, demand optimization, code writing, and code review. …"
71,X4botfiqWJUJ,[HTML][HTML] Software Engineering Agent via Self-Abstraction from Grounded Experience,https://www.salesforce.com/blog/sage-swe/,LLMJA Ensemble - salesforce.com,,"288 روز پیش - … Large language model (LLM)-based software engineering (SWE-) agents have … on realistic software engineering tasks such as code review, bug fixing, and repository-level …"
72,vkbTP0kIJesJ,icodereviewer: Improving secure code review with mixture of prompts,https://ieeexplore.ieee.org/abstract/document/11334620/,"Y Peng, K Kim, L Meng, K Liu - 2025 40th IEEE/ACM …, 2025 - ieeexplore.ieee.org",2025,"295 روز پیش - … code review process. Despite the progress, current automated approaches on secure code review, … , which is an automated secure code review approach based on large …"
